original_varname,new_varname,object_name,quantity_name,annotated_object_name
delta_front__mean_of_slope,river-delta_front__mean_of_slope,river-delta_front,mean_of_slope,(river-delta-contains-part-front)
delta_front_sediment__repose_angle,river-delta_front_sediment__repose_angle,river-delta_front_sediment,repose_angle,((river-delta-has-part-front)-contains-sediment)
delta_front_sediment_grain__mean_diameter,river-delta_front_sediment_grain__mean_of_diameter,river-delta_front_sediment_grain,mean_of_diameter,((river-delta-has-part-front)-contains-(sediment-has-form-grain))
delta_front_toe__mean_of_elevation,river-delta-front-toe__mean_of_elevation,river-delta-front-toe,mean_of_elevation,river-delta-front-toe
delta_plain~lower-and-upper__area,river-delta_plain~lower-and-plain~upper__area,river-delta_plain~lower-and-plain~upper,area,(river-delta-contains-part-plain~lower-and-plain~upper)
delta_plain~lower__area,river-delta_plain~lower__area,river-delta_plain~lower,area,(river-delta-contains-part-plain~lower)
delta_plain~lower__mean_of_slope,river-delta_plain~lower__mean_of_slope,river-delta_plain~lower,mean_of_slope,(river-delta-contains-part-plain~lower)
delta_plain~subaqueous__area,river-delta_plain~subaqueous__area,river-delta_plain~subaqueous,area,(river-delta-contains-part-plain~subaqueous)
delta_plain~subaqueous__mean_of_slope,river-delta_plain~subaqueous__mean_of_slope,river-delta_plain~subaqueous,mean_of_slope,(river-delta-contains-part-plain~subaqueous)
delta_plain~subaqueous_plain~total__area_ratio,river-delta_plain_plain~subaqueous__area_ratio,river-delta_plain_plain~subaqueous,area_ratio,(river-delta-contains-part-(plain-as-medium-plain~subaqueous))
delta_plain~total__area,river-delta_plain__area,river-delta_plain,area,(river-delta-contains-part-plain)
delta_plain~total_boundary__diameter,river-delta_plain_boundary__diameter,river-delta_plain_boundary,diameter,(river-delta-contains-part-(plain-has-abstraction-boundary))
delta_plain~total_boundary__perimeter,river-delta_plain_boundary__perimeter,river-delta_plain_boundary,perimeter,(river-delta-contains-part-(plain-has-abstraction-boundary))
delta_plain~upper__area,river-delta_plain~upper__area,river-delta_plain~upper,area,(river-delta-contains-part-plain~upper)
delta_plain~upper__mean_of_slope,river-delta_plain~upper__mean_of_slope,river-delta_plain~upper,mean_of_slope,(river-delta-contains-part-plain~upper)
delta_plain~upper_boundary~seaward__length,river-delta_plain~upper_boundary~seaward__length,river-delta_plain~upper_boundary~seaward,length,(river-delta-contains-part-(plain~upper-has-abstraction-boundary~seaward))
delta_plain~upper_vegetation__mean_of_height,river-delta_plain~upper_vegetation__mean_of_height,river-delta_plain~upper_vegetation,mean_of_height,(river-delta-contains-part-(plain~upper-is-location-of-vegetation))
delta_plain~upper~farmed__area_fraction,river-delta_plain~upper~farmed__area_fraction,river-delta_plain~upper~farmed,area_fraction,(river-delta-as-medium-plain~upper~farmed)
delta_plain~upper~residential__area_fraction,river-delta_plain~upper~residential__area_fraction,river-delta_plain~upper~residential,area_fraction,(river-delta-as-medium-plain~upper~residential)
delta_plain~upper~urban__area_fraction,river-delta_plain~upper~urban__area_fraction,river-delta_plain~upper~urban,area_fraction,(river-delta-as-medium-plain~upper~urban)
delta_plain~upper~vegetated__area_fraction,river-delta_plain~upper~vegetated__area_fraction,river-delta_plain~upper~vegetated,area_fraction,(river-delta-as-medium-plain~upper~vegetated)
delta_shoreline__geodetic_latitude,river-delta_shoreline__geodetic_latitude,river-delta_shoreline,geodetic_latitude,(river-delta-has-abstraction-shoreline)
delta_shoreline__length,river-delta_shoreline__length,river-delta_shoreline,length,(river-delta-has-abstraction-shoreline)
delta_shoreline__longitude,river-delta_shoreline__longitude,river-delta_shoreline,longitude,(river-delta-has-abstraction-shoreline)
delta_shoreline__progradation_rate,river-delta_shoreline_progradation__length-per-time_rate,river-delta_shoreline_progradation,length-per-time_rate,((river-delta-has-abstraction-shoreline)-undergoes-process-progradation)
delta_shoreline__x_coordinate,river-delta_shoreline__x_coordinate,river-delta_shoreline,x_coordinate,(river-delta-has-abstraction-shoreline)
delta_shoreline__y_coordinate,river-delta_shoreline__y_coordinate,river-delta_shoreline,y_coordinate,(river-delta-has-abstraction-shoreline)
delta_shoreline_sediment_wave~ocean__reworking_depth,river-delta_shoreline_sediment_reworking_ocean_water_wave__depth,river-delta_shoreline_sediment_reworking_ocean_water_wave,depth,(((river-delta-has-abstraction-shoreline)-contains-sediment)-undergoes-process-reworking-by-in-(ocean-contains-(water-has-form-wave)))
delta_x-section__area,river-delta_x-section__area,river-delta_x-section,area,(river-delta-has-abstraction-x-section)
delta_x-section__dip_angle,river-delta_x-section__dip_angle,river-delta_x-section,dip_angle,(river-delta-has-abstraction-x-section)
delta_x-section__strike_angle,river-delta_x-section__strike_angle,river-delta_x-section,strike_angle,(river-delta-has-abstraction-x-section)
delta~subaerial__volume,river-delta~subaerial__volume,river-delta~subaerial,volume,river-delta~subaerial
delta~subaqueous__volume,river-delta~subaqueous__volume,river-delta~subaqueous,volume,river-delta~subaqueous
dihydrogen_molecule_h-h__bond_length,dihydrogen_molecule_bond-h-h__length,dihydrogen_molecule_bond-h-h,length,((dihydrogen-has-form-molecule)-contains-bond-h-h)
dinitrogen_molecule_n-n__bond_length,dinitrogen_molecule_bond-n-n__length,dinitrogen_molecule_bond-n-n,length,((dinitrogen-has-form-molecule)-contains-bond-n-n)
dioxygen_molecule_o-o__bond_length,dioxygen_molecule_bond-o-o__length,dioxygen_molecule_bond-o-o,length,((dioxygen-has-form-molecule)-contains-bond-o-o)
earth-to-mars__travel_time,earth_mars_travel__duration,earth_mars_travel,duration,(earth-as-source-mars-as-sink-travel)
earth-to-sun__average_distance,earth_sun__average_of_distance,earth_sun,average_of_distance,(earth-as-viewpoint-sun)
earth-to-sun__mean_distance,earth_sun__mean_of_distance,earth_sun,mean_of_distance,(earth-as-viewpoint-sun)
earth__bond_albedo,earth__bond_albedo,earth,bond_albedo,earth
earth__coriolis_frequency,earth__coriolis_frequency,earth,coriolis_frequency,earth
earth__escape_speed,earth_gravity_projectile_escape__speed,earth_gravity_projectile_escape,speed,((earth-is-source-of-gravity)-as-source-projectile-undergoes-process-escape)
earth__geometric_albedo,earth__geometric_albedo,earth,geometric_albedo,earth
earth__mass,earth__mass,earth,mass,earth
earth__max_of_orbital_speed,earth__max_of_orbital_speed,earth,max_of_orbital_speed,earth
earth__mean_mass-to-volume_density,earth__mean_of_mass-per-volume_density,earth,mean_of_mass-per-volume_density,earth
earth__mean_of_orbital_speed,earth__mean_of_orbital_speed,earth,mean_of_orbital_speed,earth
earth__min_of_orbital_speed,earth__min_of_orbital_speed,earth,min_of_orbital_speed,earth
earth__orbital_energy,earth__orbital_energy,earth,orbital_energy,earth
earth__orbital_period,earth__orbital_period,earth,orbital_period,earth
earth__orbital_speed,earth__orbital_speed,earth,orbital_speed,earth
earth__precise_orbital_speed,earth__precise_orbital_speed,earth,precise_orbital_speed,earth
earth__range_of_elevation,earth__range_of_elevation,earth,range_of_elevation,earth
earth__rotation_angular_speed,earth_rotation__angular_speed,earth_rotation,angular_speed,(earth-undergoes-process-rotation)
earth__rotation_kinetic_energy,earth_rotation__kinetic_energy,earth_rotation,kinetic_energy,(earth-undergoes-process-rotation)
earth__rotation_period,earth_rotation__period,earth_rotation,period,(earth-undergoes-process-rotation)
earth__rotation_rate,earth_rotation__length-per-time_rate,earth_rotation,length-per-time_rate,(earth-undergoes-process-rotation)
earth__rotational_inertia,earth__rotational_inertia,earth,rotational_inertia,earth
earth__sidereal_day,earth_sidereal-day__duration,earth_sidereal-day,duration,(earth-participates-in-sidereal-day)
earth__solar_azimuth_angle,earth_surface_viewpoint_sun__azimuth_angle,earth_surface_viewpoint_sun,azimuth_angle,(((earth-has-abstraction-surface)-is-location-of-viewpoint)-as-perspective-sun)
earth__solar_constant,sun_earth__solar_constant,sun_earth,solar_constant,(sun-as-main-earth-as-main)
earth__solar_elevation_angle,earth_surface_viewpoint_sun__elevation_angle,earth_surface_viewpoint_sun,elevation_angle,(((earth-has-abstraction-surface)-is-location-of-viewpoint)-as-perspective-sun)
earth__solar_irradiation_constant,sun_earth__solar_constant,sun_earth,solar_constant,(sun-as-main-earth-as-main)
earth__solar_zenith_angle,earth_surface_viewpoint_sun__zenith_angle,earth_surface_viewpoint_sun,zenith_angle,(((earth-has-abstraction-surface)-is-location-of-viewpoint)-as-perspective-sun)
earth__standard_gravity_constant,earth__standard_gravitational_acceleration,earth,standard_gravitational_acceleration,earth
earth__transverse_orbital_speed,earth__transverse_orbital_speed,earth,transverse_orbital_speed,earth
earth__visual_geometric_albedo,earth__visual_geometric_albedo,earth,visual_geometric_albedo,earth
earth__volume,earth__volume,earth,volume,earth
earth_atmosphere__thickness,earth_atmosphere__thickness,earth_atmosphere,thickness,(earth-is-surrounded-by-atmosphere)
earth_atmosphere__volume,earth_atmosphere__volume,earth_atmosphere,volume,(earth-is-surrounded-by-atmosphere)
earth_axis__nutation_period,earth_axis_nutation__period,earth_axis_nutation,period,((earth-has-abstraction-axis)-undergoes-process-nutation)
earth_axis__nutation_rate,earth_axis_nutation__length-per-time_rate,earth_axis_nutation,length-per-time_rate,((earth-has-abstraction-axis)-undergoes-process-nutation)
earth_axis__precession_period,earth_axis_precession__period,earth_axis_precession,period,((earth-has-abstraction-axis)-undergoes-process-precession)
earth_axis__precession_rate,earth_axis_precession__length-per-time_rate,earth_axis_precession,length-per-time_rate,((earth-has-abstraction-axis)-undergoes-process-precession)
earth_axis__tilt_angle,earth_axis__tilt_angle,earth_axis,tilt_angle,(earth-has-abstraction-axis)
