encoded_name,label_name,has-source-phenomenon,has-primary-participant-phenomenon,has-containing-phenomenon,is-modeled-by,undergoes-process,has-in-participant-phenomenon,has-medium-participant-phenomenon,has-sink-participant-phenomenon,has-source-participant-phenomenon,has-abstraction,has-phenomenon,has-part,has-location,is-observed-by,has-form,measured-below,has-matter,is-part-of-containing-phenomenon,has-denominator-participant-phenomenon,has-numerator-participant-phenomenon,is-expressed-as,has-containing-medium-phenomenon,has-trajectory,measured-at,has-adjacent-participant-phenomenon,measured-above,drives,has-primary-participant-phenomenon2,has-role,has-participating-primary-phenomenon,has-perspective-participant-phenomenon,surrounds,measured-wrt,contains-matter,has-sink-phenomenon,referenced-with-property,reference-for-computing,orbits-around,has-first-participant-phenomenon,has-second-participant-phenomenon,has-model-location,has-domain,has-location-of-origin,has-subtrahend-participant-phenomenon,has-minuend-participant-phenomenon,has-primary-matter,measured-to,measured-from,participates-in,has-participating-medium-phenomenon,undergoes-process2,has-part2,measured-since,measured-along,has-phenomenon2,has-matter2,has-role2,has-process,has-process2,has-form2
channel-contains-part-(exit-contains-((water-as-medium-sediment~suspended-undergoes-process-flowing)-has-abstraction-x-section)),channel_exit_water_sediment~suspended_flowing_x-section,,exit-contains-((water-as-medium-sediment~suspended-undergoes-process-flowing)-has-abstraction-x-section),,,,,,,,,,,,,,,,channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exit-contains-((water-as-medium-sediment~suspended-undergoes-process-flowing)-has-abstraction-x-section),exit_water_sediment~suspended_flowing_x-section,,(water-as-medium-sediment~suspended-undergoes-process-flowing)-has-abstraction-x-section,exit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(water-as-medium-sediment~suspended-undergoes-process-flowing)-has-abstraction-x-section,water_sediment~suspended_flowing_x-section,,,,,,,,,,x-section,water-as-medium-sediment~suspended-undergoes-process-flowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
valley-contains-(channel-has-abstraction-centerline),valley_channel_centerline,,channel-has-abstraction-centerline,valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(channel-contains-water)-as-main-(channel-has-part-bottom-has-abstraction-surface)-as-main,channel_water_channel_bottom_surface,,channel-contains-water,,,,,,,,,,,,,,,,,,,,,,,,,,channel-has-part-bottom-has-abstraction-surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel-contains-(water-undergoes-process-flowing),channel_water_flowing,,water-undergoes-process-flowing,channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel-contains-((water-undergoes-process-flowing)-undergoes-process-dissipation),channel_water_flowing_dissipation,,(water-undergoes-process-flowing)-undergoes-process-dissipation,channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(water-undergoes-process-flowing)-undergoes-process-dissipation,water_flowing_dissipation,,water-undergoes-process-flowing,,,dissipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel-contains-(water-participates-in-hydraulic-jump),channel_water_hydraulic-jump,,water-participates-in-hydraulic-jump,channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water-participates-in-hydraulic-jump,water_hydraulic-jump,,hydraulic-jump,,,,,,,,,,,,,,,,,,,,,,,,,,,,water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
