encoded_name,label_name,has-source-phenomenon,has-primary-participant-phenomenon,has-containing-phenomenon,is-modeled-by,undergoes-process,has-in-participant-phenomenon,has-medium-participant-phenomenon,has-sink-participant-phenomenon,has-source-participant-phenomenon,has-abstraction,has-phenomenon,has-part,has-location,is-observed-by,has-form,measured-below,has-matter,is-part-of-containing-phenomenon,has-denominator-participant-phenomenon,has-numerator-participant-phenomenon,is-expressed-as,has-containing-medium-phenomenon,has-trajectory,measured-at,has-adjacent-participant-phenomenon,measured-above,drives,has-primary-participant-phenomenon2,has-role,has-participating-primary-phenomenon,has-perspective-participant-phenomenon,surrounds,measured-wrt,contains-matter,has-sink-phenomenon,referenced-with-property,reference-for-computing,orbits-around,has-first-participant-phenomenon,has-second-participant-phenomenon,has-model-location,has-domain,has-location-of-origin,has-subtrahend-participant-phenomenon,has-minuend-participant-phenomenon,has-primary-matter,measured-to,measured-from,participates-in,has-participating-medium-phenomenon,undergoes-process2,has-part2,measured-since,measured-along,has-phenomenon2,has-matter2,has-role2,has-process,has-process2,has-form2
atmosphere-is-source-of-(rainfall-contains-water),atmosphere_rainfall_water,atmosphere,rainfall-contains-water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rainfall-contains-water,rainfall_water,,water,rainfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(model-undergoes-process-simulation)-models-(land-as-main-crop-as-in-allocation),model_simulation_land_crop_allocation,,land-as-main-crop-as-in-allocation,,model-undergoes-process-simulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model-undergoes-process-simulation,model_simulation,,model,,,simulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-as-main-crop-as-in-allocation,land_crop_allocation,,land,,,allocation,crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(model-undergoes-process-simulation)-models-(land-as-medium-crop),model_simulation_land_crop,,land-as-medium-crop,,model-undergoes-process-simulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-as-medium-crop,land_crop,,crop,,,,,land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(model-undergoes-process-simulation)-models-(crop-undergoes-process-production),model_simulation_crop_production,,crop-undergoes-process-production,,model-undergoes-process-simulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crop-undergoes-process-production,crop_production,,crop,,,production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(model-undergoes-process-simulation)-models-(land-as-sink-nitrogen-fertilizer-undergoes-process-application),model_simulation_land_nitrogen-fertilizer_application,,land-as-sink-nitrogen-fertilizer-undergoes-process-application,,model-undergoes-process-simulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-as-sink-nitrogen-fertilizer-undergoes-process-application,land_nitrogen-fertilizer_application,,nitrogen-fertilizer,,,application,,,land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nitrogen-fertilizer-undergoes-process-application,nitrogen-fertilizer_application,,nitrogen-fertilizer,,,application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(land-has-abstraction-surface)-as-source-water-undergoes-process-evapotranspiration,land_surface_water_evapotranspiration,,water,,,evapotranspiration,,,,land-has-abstraction-surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-has-abstraction-surface,land_surface,,,,,,,,,,surface,land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atmosphere-contains-(air-as-medium-water~vapor),atmosphere_air_water~vapor,,air-as-medium-water~vapor,atmosphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air-as-medium-water~vapor,air_water~vapor,,water~vapor,,,,,air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(land-has-part-subsurface)-contains-(water-undergoes-process-runoff),land_subsurface_water_runoff,,water-undergoes-process-runoff,land-has-part-subsurface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-has-part-subsurface,land_subsurface,,,,,,,,,,,land,subsurface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water-undergoes-process-runoff,water_runoff,,water,,,runoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(land-has-abstraction-surface)-is-location-of-(air-contains-radiation~longwave~downwelling),land_surface_air_radiation~longwave~downwelling,,air-contains-radiation~longwave~downwelling,,,,,,,,,,,land-has-abstraction-surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air-contains-radiation~longwave~downwelling,air_radiation~longwave~downwelling,,radiation~longwave~downwelling,air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(land-has-abstraction-surface)-is-location-of-(air-contains-radiation~longwave~downward),land_surface_air_radiation~longwave~downward,,air-contains-radiation~longwave~downward,,,,,,,,,,,land-has-abstraction-surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air-contains-radiation~longwave~downward,air_radiation~longwave~downward,,radiation~longwave~downward,air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(land-has-abstraction-surface)-is-location-of-(air-contains-radiation~shortwave~downwelling),land_surface_air_radiation~shortwave~downwelling,,air-contains-radiation~shortwave~downwelling,,,,,,,,,,,land-has-abstraction-surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air-contains-radiation~shortwave~downwelling,air_radiation~shortwave~downwelling,,radiation~shortwave~downwelling,air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(land-has-abstraction-surface)-contains-(soil-as-medium-water),land_surface_soil_water,,soil-as-medium-water,land-has-abstraction-surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soil-as-medium-water,soil_water,,water,,,,,soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(land-has-abstraction-surface~0-to-10cm-below)-contains-(soil-as-medium-water),land_surface~0-to-10cm-below_soil_water,,soil-as-medium-water,land-has-abstraction-surface~0-to-10cm-below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-has-abstraction-surface~0-to-10cm-below,land_surface~0-to-10cm-below,,,,,,,,,,surface~0-to-10cm-below,land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(land-has-abstraction-surface~100-to-200cm-below)-contains-(soil-as-medium-water),land_surface~100-to-200cm-below_soil_water,,soil-as-medium-water,land-has-abstraction-surface~100-to-200cm-below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-has-abstraction-surface~100-to-200cm-below,land_surface~100-to-200cm-below,,,,,,,,,,surface~100-to-200cm-below,land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(land-has-abstraction-surface~10-to-40cm-below)-contains-(soil-as-medium-water),land_surface~10-to-40cm-below_soil_water,,soil-as-medium-water,land-has-abstraction-surface~10-to-40cm-below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-has-abstraction-surface~10-to-40cm-below,land_surface~10-to-40cm-below,,,,,,,,,,surface~10-to-40cm-below,land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(land-has-abstraction-surface~40-to-100cm-below)-contains-(soil-as-medium-water),land_surface~40-to-100cm-below_soil_water,,soil-as-medium-water,land-has-abstraction-surface~40-to-100cm-below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-has-abstraction-surface~40-to-100cm-below,land_surface~40-to-100cm-below,,,,,,,,,,surface~40-to-100cm-below,land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(land-has-abstraction-surface~0-to-100cm-below)-contains-(soil-as-medium-water),land_surface~0-to-100cm-below_soil_water,,soil-as-medium-water,land-has-abstraction-surface~0-to-100cm-below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-has-abstraction-surface~0-to-100cm-below,land_surface~0-to-100cm-below,,,,,,,,,,surface~0-to-100cm-below,land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(land-has-abstraction-surface~0-to-10cm-below)-is-location-of-soil,land_surface~0-to-10cm-below_soil,,soil,,,,,,,,,,,land-has-abstraction-surface~0-to-10cm-below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(land-has-abstraction-surface~100-to-200cm-below)-is-location-of-soil,land_surface~100-to-200cm-below_soil,,soil,,,,,,,,,,,land-has-abstraction-surface~100-to-200cm-below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(land-has-abstraction-surface~10-to-40cm-below)-is-location-of-soil,land_surface~10-to-40cm-below_soil,,soil,,,,,,,,,,,land-has-abstraction-surface~10-to-40cm-below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(land-has-abstraction-surface~40-to-100cm-below)-is-location-of-soil,land_surface~40-to-100cm-below_soil,,soil,,,,,,,,,,,land-has-abstraction-surface~40-to-100cm-below,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(land-has-abstraction-surface)-is-location-of-radiation~shortwave~downward,land_surface_radiation~shortwave~downward,,radiation~shortwave~downward,,,,,,,,,,,land-has-abstraction-surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
observation-observes-(land-as-main-crop-as-in-allocation),observation_land_crop_allocation,,land-as-main-crop-as-in-allocation,,,,,,,,,,,,observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
observation-observes-(land-as-medium-crop),observation_land_crop,,land-as-medium-crop,,,,,,,,,,,,observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
observation-observes-(crop-as-sink-nitrogen-fertilizer-undergoes-process-application),observation_crop_nitrogen-fertilizer_application,,crop-as-sink-nitrogen-fertilizer-undergoes-process-application,,,,,,,,,,,,observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crop-as-sink-nitrogen-fertilizer-undergoes-process-application,crop_nitrogen-fertilizer_application,,nitrogen-fertilizer,,,application,,,crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crop-as-main-nitrogen-fertilizer-as-in,crop_nitrogen-fertilizer,,crop,,,,nitrogen-fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-as-medium-crop-undergoes-process-production,land_crop_production,,crop,,,production,,land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nitrogen-fertilizer-undergoes-process-usage-vs-application,nitrogen-fertilizer_usage-vs-application,,nitrogen-fertilizer,,,usage-vs-application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmer-as-main-crop-as-source,farmer_crop,,farmer,,,,,,,crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(atmosphere-has-part-bottom)-contains-(air-as-medium-water~vapor),atmosphere_bottom_air_water~vapor,,air-as-medium-water~vapor,atmosphere-has-part-bottom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atmosphere-has-part-bottom,atmosphere_bottom,,,,,,,,,,,atmosphere,bottom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel-has-part-bed,channel_bed,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(channel-has-part-bed)-measured-below-river-bank,channel_bed_river-bank,,channel-has-part-bed,,,,,,,,,,,,,,river-bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(channel-has-part-bed)-as-medium-water,channel_bed_water,,water,,,,,channel-has-part-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(channel-has-part-bottom)-contains-((sediment-has-form-grain)-as-medium-water),channel_bottom_sediment_grain_water,,(sediment-has-form-grain)-as-medium-water,channel-has-part-bottom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel-has-part-bottom,channel_bottom,,,,,,,,,,,,bottom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(sediment-has-form-grain)-as-medium-water,sediment_grain_water,,water,,,,,sediment-has-form-grain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sediment-has-form-grain,sediment_grain,,,,,,,,,,,,,,,,,sediment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
channel-contains-water,channel_water,,water,channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(land-has-abstraction-surface)-is-location-of-wind,land_surface_wind,,wind,,,,,,,,,,,land-has-abstraction-surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-is-location-of-((vegetation-contains-part-canopy)-as-sink-water-undergoes-process-interception),land_vegetation_canopy_water_interception,,(vegetation-contains-part-canopy)-as-sink-water-undergoes-process-interception,,,,,,,,,,,land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(vegetation-contains-part-canopy)-as-sink-water-undergoes-process-interception,vegetation_canopy_water_interception,,water,,,interception,,,vegetation-contains-part-canopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegetation-contains-part-canopy,vegetation_canopy,,canopy,,,,,,,,,,,,,,,,vegetation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(soil-contains-macropores)-measured-below-(land-has-abstraction-surface),soil_macropores_land_surface,,soil-contains-macropores,,,,,,,,,,,,,,land-has-abstraction-surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soil-contains-macropores,soil_macropores,,macropores,soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(soil-contains-macropores)-as-medium-water,soil_macropores_water,,water,,,,,soil-contains-macropores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soil-has-form-layer~topmost,soil_layer~topmost,,,,,,,,,,,,,,,,,soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(soil-has-form-layer~topmost)-as-sink-water-undergoes-process-infiltration,soil_layer~topmost_water_infiltration,,water,,,infiltration,,,soil-has-form-layer~topmost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soil~saturated-as-medium-water,soil~saturated_water,,water,,,,,soil~saturated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water-undergoes-process-flowing,water_flowing,,water,,,flowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water-measured-below-(land-has-abstraction-surface),water_land_surface,,water,,,,,,,,,,,,,,land-has-abstraction-surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aquifer~left-as-source-((stream-has-form-channel)-contains-part-reach)-as-sink-water-undergoes-process-baseflow,aquifer~left_stream_channel_reach_water_baseflow,,water,,,baseflow,,,(stream-has-form-channel)-contains-part-reach,aquifer~left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(stream-has-form-channel)-contains-part-reach,stream_channel_reach,,reach,,,,,,,,,,,,,,,,stream-has-form-channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stream-has-form-channel,stream_channel,,,,,,,,,,,stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aquifer~right-as-source-((stream-has-form-channel)-contains-part-reach)-as-sink-water-undergoes-process-baseflow,aquifer~right_stream_channel_reach_water_baseflow,,water,,,baseflow,,,(stream-has-form-channel)-contains-part-reach,aquifer~right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
((river-has-form-channel)-contains-part-bed)-as-source-((stream-has-form-channel)-contains-part-reach)-as-sink-water-undergoes-process-leakage,river_channel_bed_stream_channel_reach_water_leakage,,water,,,leakage,,,(stream-has-form-channel)-contains-part-reach,(river-has-form-channel)-contains-part-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(river-has-form-channel)-contains-part-bed,river_channel_bed,,bed,,,,,,,,,,,,,,,,river-has-form-channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
river-has-form-channel,river_channel,,,,,,,,,,,river,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(river-has-form-channel-has-part-bed)-as-source-water~outgoing,river_channel_bed_water~outgoing,,water~outgoing,,,,,,,river-has-form-channel-has-part-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
river-has-form-channel-has-part-bed,river_channel_bed,,,,,,,,,,,river,bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(river-has-form-channel-has-part-bed)-as-sink-water~incoming,river_channel_bed_water~incoming,,water~incoming,,,,,,river-has-form-channel-has-part-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(river-has-form-channel-has-part-bed)-as-medium-water,river_channel_bed_water,,water,,,,,river-has-form-channel-has-part-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(river-has-form-channel)-contains-water,river_channel_water,,water,river-has-form-channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
((stream-has-form-channel)-contains-part-reach)-as-sink-water,stream_channel_reach_water,,water,,,,,,(stream-has-form-channel)-contains-part-reach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
((stream-has-form-channel)-contains-part-reach)-as-source-water,stream_channel_reach_water,,water,,,,,,,(stream-has-form-channel)-contains-part-reach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
((land-has-part-subsurface)-contains-aquifer~left)-as-source-(river-has-form-channel-has-part-bed)-as-sink-water,land_subsurface_aquifer~left_river_channel_bed_water,,water,,,,,,river-has-form-channel-has-part-bed,(land-has-part-subsurface)-contains-aquifer~left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(land-has-part-subsurface)-contains-aquifer~left,land_subsurface_aquifer~left,,aquifer~left,land-has-part-subsurface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
((land-has-part-subsurface)-contains-aquifer~right)-as-source-(river-has-form-channel-has-part-bed)-as-sink-water,land_subsurface_aquifer~right_river_channel_bed_water,,water,,,,,,river-has-form-channel-has-part-bed,(land-has-part-subsurface)-contains-aquifer~right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(land-has-part-subsurface)-contains-aquifer~right,land_subsurface_aquifer~right,,aquifer~right,land-has-part-subsurface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(land-has-abstraction-surface)-is-location-of-(snow-undergoes-process-accumulation),land_surface_snow_accumulation,,snow-undergoes-process-accumulation,,,,,,,,,,,land-has-abstraction-surface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snow-undergoes-process-accumulation,snow_accumulation,,snow,,,accumulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(land-has-abstraction-surface-has-form-terrain~left)-is-location-of-((stream-has-form-channel-has-part-reach)-contains-water),land_surface_terrain~left_stream_channel_reach_water,,(stream-has-form-channel-has-part-reach)-contains-water,,,,,,,,,,,land-has-abstraction-surface-has-form-terrain~left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-has-abstraction-surface-has-form-terrain~left,land_surface_terrain~left,,,,,,,,,,surface,land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(stream-has-form-channel-has-part-reach)-contains-water,stream_channel_reach_water,,water,stream-has-form-channel-has-part-reach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stream-has-form-channel-has-part-reach,stream_channel_reach,,,,,,,,,,,stream,reach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(land-has-abstraction-surface-has-form-terrain~right)-is-location-of-((stream-has-form-channel-has-part-reach)-contains-water),land_surface_terrain~right_stream_channel_reach_water,,(stream-has-form-channel-has-part-reach)-contains-water,,,,,,,,,,,land-has-abstraction-surface-has-form-terrain~right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-has-abstraction-surface-has-form-terrain~right,land_surface_terrain~right,,,,,,,,,,surface,land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
land-is-location-of-((vegetation-contains-part-canopy)-as-source-water-undergoes-process-evaporation),land_vegetation_canopy_water_evaporation,,(vegetation-contains-part-canopy)-as-source-water-undergoes-process-evaporation,,,,,,,,,,,land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(vegetation-contains-part-canopy)-as-source-water-undergoes-process-evaporation,vegetation_canopy_water_evaporation,,water,,,evaporation,,,,vegetation-contains-part-canopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soil-as-sink-water-undergoes-process-interception,soil_water_interception,,water,,,interception,,,soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air-undergoes-process-isochoric-process,air_isochoric-process,,air,,,isochoric-process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air-as-medium-(helium-has-form-plume),air_helium_plume,,helium-has-form-plume,,,,,air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
helium-has-form-plume,helium_plume,,,,,,,,,,,,,,,,,helium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air-as-medium-radiation~visible,air_radiation~visible,,radiation~visible,,,,,air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air-as-medium-water~vapor~dew-point,air_water~vapor~dew-point,,water~vapor~dew-point,,,,,air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air~saturated-contains-water~vapor,air~saturated_water~vapor,,water~vapor,air~saturated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aircraft-undergoes-process-flight,aircraft_flight,,aircraft,,,flight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
airfoil-has-abstraction-enclosing-curve,airfoil_enclosing-curve,,,,,,,,,,enclosing-curve,airfoil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
air~dry-as-numerator-water~vapor-as-denominator,air~dry_water~vapor,,,,,,,,,,,,,,,,,,,water~vapor,air~dry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aluminum-undergoes-process-isobaric-process,aluminum_isobaric-process,,aluminum,,,isobaric-process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anvil-undergoes-process-isobaric-process,anvil_isobaric-process,,anvil,,,isobaric-process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atmosphere-contains-(aerosol-as-medium-dust),atmosphere_aerosol_dust,,aerosol-as-medium-dust,atmosphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aerosol-as-medium-dust,aerosol_dust,,dust,,,,,aerosol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atmosphere-contains-(aerosol-contains-radiation~incoming~shortwave~absorbed),atmosphere_aerosol_radiation~incoming~shortwave~absorbed,,aerosol-contains-radiation~incoming~shortwave~absorbed,atmosphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aerosol-contains-radiation~incoming~shortwave~absorbed,aerosol_radiation~incoming~shortwave~absorbed,,radiation~incoming~shortwave~absorbed,aerosol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(atmosphere-contains-aerosol)-as-sink-radiation~incoming~shortwave-undergoes-process-absorption,atmosphere_aerosol_radiation~incoming~shortwave_absorption,,radiation~incoming~shortwave,,,absorption,,,atmosphere-contains-aerosol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atmosphere-contains-aerosol,atmosphere_aerosol,,aerosol,atmosphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
