entity_label,entity_class,plural,tagged_variables
2-hydroxy-4-methoxybenzophenone,matter,,
2-isopropyl-6-methyl-4-pyrimidinol,matter,,
2-methyl-2-butene,matter,,
"2-methyl-4,6-dinitrophenol",matter,,
2-methylanthracene,matter,,
2-methylbutane,matter,,
2-methylnaphthalene,matter,,
2-methylpentane,matter,,
2-naphthylamine,matter,,
2-nitroaniline,matter,,
2-nitrophenol,matter,,
2-nitropropane,matter,,
2-nitrotoluene,matter,,
2-picoline,matter,,
2-sigma-csu,operation,,
"2,2-dichloro-1,1,1-trifluoroethane",matter,,
"2,2-dichloropropane",matter,,
"2,2'-biquinoline",matter,,
"2,3-dichloropropene",matter,,
"2,3-dimethylbutane",matter,,
"2,3,3-trimethylpentane",matter,,
"2,3,4-trimethylpentane",matter,,
"2,3,4,5-tetrachlorophenol",matter,,
"2,3,4,6-tetrachlorophenol",matter,,
"2,3,4,6,7,8-hexachlorodibenzofuran",matter,,
"2,3,4,7,8-pentachlorodibenzofuran",matter,,
"2,3,5-trimethylnaphthalene",matter,,
"2,3,5,6-tetramethylphenol",matter,,
"2,3,6-trimethylnaphthalene",matter,,
"2,3,7,8-tetrachlorodibenzo-p-dioxin",matter,,
"2,3,7,8-tetrachlorodibenzofuran",matter,,
"2,4-d",matter,,
"2,4-d-methyl-ester",matter,,
"2,4-db",matter,,
"2,4-di-tert-pentylphenol",matter,,
"2,4-dichlorophenol",matter,,
"2,4-dihydroxybenzophenone",matter,,
"2,4-dimethylpentane",matter,,
"2,4-dimethylphenol",matter,,
"2,4-dinitrophenol",matter,,
"2,4-dinitrotoluene",matter,,
"2,4,5-t",matter,,
"2,4,5-trichlorophenol",matter,,
"2,4,5-trichlorophenoxybutyric-acid",matter,,
"2,4,6-trichlorophenol",matter,,
"2,4,6-trimethylphenol",matter,,
"2,5-dichloroaniline",matter,,
"2,6-di-tert-butyl-4-methylphenol",matter,,
"2,6-di-tert-butylphenol",matter,,
"2,6-dichlorobenzamide",matter,,
"2,6-dichlorophenol",matter,,
"2,6-diethylaniline",matter,,
"2,6-dimethylnaphthalene",matter,,
"2,6-dinitrotoluene",matter,,
20C,attribute,,"water~liquid~20C__shear_dynamic_viscosity, water~liquid~20C__volume_dynamic_viscosity, water~liquid~20C__shear_kinematic_viscosity, water~liquid~20C__volume_kinematic_viscosity, water~liquid~20C__mass-per-volume_density, water~20C__vapor_pressure, water~liquid~20C_air__surface_tension"
254nm,attribute,,
25ft,attribute,,
2m,attribute,,"land_surface~2m-above_air__temperature, land_surface~2m-above_air__month-specific_anomaly_of_temperature"
2x-critical-level,attribute,,
"3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane-1-carboxylic-acid",matter,,
3-(trifluoromethyl)aniline,matter,,
3-(trifluoromethyl)phenylurea,matter,,
3-beta-coprostanol,matter,,
3-chloropropene,matter,,
3-chlorotoluene,matter,,
3-ethylphenol,matter,,
3-hydroxy-carbofuran,matter,,
3-methyl-1h-indole,matter,,
3-methylcholanthrene,matter,,
3-methylpentane,matter,,
3-nitro-4-hydroxyphenylarsonic-acid,matter,,
3-nitroaniline,matter,,
3-nitrophenol,matter,,
3-nitrotoluene,matter,,
3-phenoxybenzyl-alcohol,matter,,
3-tert-butyl-4-hydroxyanisole,matter,,
"3,3'-dichlorobenzidine",matter,,
"3,3'-dimethylbenzidine",matter,,
"3,4-dichloroaniline",matter,,
"3,4-dichlorophenyl-isocyanate",matter,,
"3,5-dichloroaniline",matter,,
"3,5-dichlorobenzoic-acid",matter,,
"3,5-dimethylphenol",matter,,
"3,5-dinitroaniline",matter,,
"3,5,6-trichloro-2-pyridinol",matter,,
4-(4-chlorophenoxy)aniline,matter,,
"4-amino-2,6-dinitrotoluene",matter,,
4-aminobiphenyl,matter,,
4-bromophenyl-phenyl-ether,matter,,
4-chloro-2-hydroxyaniline,matter,,
4-chloro-2-methylphenol,matter,,
4-chloro-3-hydroxyaniline,matter,,
4-chloro-3-methylphenol,matter,,
4-chloroaniline,matter,,
