original_name,variable_name,object_name,quantity_name,phenomena,processes,matter,roles,forms,properties,operations,propertytypes,propertyroles,propertyquantifications,trajectories,domains,attributes,abstractions,models,directions,parts,reference,object_pattern,quantity_pattern
chocolate_carbohydrate~total__mass_concentration,chocolate_carbohydrate__mass_concentration,chocolate_carbohydrate,mass_concentration,,,"carbohydrate, chocolate",,,mass_concentration,,,,,,,,,,,,,MATTER_MATTER,PROPERTY
chocolate_cholesterol__mass_concentration,chocolate_cholesterol__mass_concentration,chocolate_cholesterol,mass_concentration,,,"cholesterol, chocolate",,,mass_concentration,,,,,,,,,,,,,MATTER_MATTER,PROPERTY
chocolate_fat~monounsaturated__mass_concentration,chocolate_fat~monounsaturated__mass_concentration,chocolate_fat~monounsaturated,mass_concentration,,,"chocolate, fat",,,mass_concentration,,,,,,,monounsaturated,,,,,,MATTER_MATTER~ATTRIBUTE,PROPERTY
chocolate_fat~polyunsaturated__mass_concentration,chocolate_fat~polyunsaturated__mass_concentration,chocolate_fat~polyunsaturated,mass_concentration,,,"chocolate, fat",,,mass_concentration,,,,,,,polyunsaturated,,,,,,MATTER_MATTER~ATTRIBUTE,PROPERTY
chocolate_fat~saturated__mass_concentration,chocolate_fat~saturated__mass_concentration,chocolate_fat~saturated,mass_concentration,,,"chocolate, fat",,,mass_concentration,,,,,,,saturated,,,,,,MATTER_MATTER~ATTRIBUTE,PROPERTY
chocolate_fat~total__mass_concentration,chocolate_fat__mass_concentration,chocolate_fat,mass_concentration,,,"chocolate, fat",,,mass_concentration,,,,,,,,,,,,,MATTER_MATTER,PROPERTY
chocolate_flavanol__mass_concentration,chocolate_flavanol__mass_concentration,chocolate_flavanol,mass_concentration,,,"chocolate, flavanol",,,mass_concentration,,,,,,,,,,,,,MATTER_MATTER,PROPERTY
chocolate_lecithin__mass_concentration,chocolate_lecithin__mass_concentration,chocolate_lecithin,mass_concentration,,,"chocolate, lecithin",,,mass_concentration,,,,,,,,,,,,,MATTER_MATTER,PROPERTY
chocolate_liquor__mass_concentration,chocolate_liquor__mass_concentration,chocolate_liquor,mass_concentration,,,"chocolate, liquor",,,mass_concentration,,,,,,,,,,,,,MATTER_MATTER,PROPERTY
chocolate~liquid__apparent_viscosity,chocolate~liquid__apparent_viscosity,chocolate~liquid,apparent_viscosity,,,chocolate,,,apparent_viscosity,,,,,,,liquid,,,,,,MATTER~ATTRIBUTE,PROPERTY
chocolate~liquid__casson_model_k_parameter,chocolate~liquid__casson-model_a_parameter,chocolate~liquid,casson-model_a_parameter,,,chocolate,,,casson-model_a_parameter,,,,,,,liquid,,,,,,MATTER~ATTRIBUTE,PROPERTY
chocolate~liquid__herschel_bulkley_coefficient,chocolate~liquid__herschel-bulkley_coefficient,chocolate~liquid,herschel-bulkley_coefficient,,,chocolate,,,herschel-bulkley_coefficient,,,,,,,liquid,,,,,,MATTER~ATTRIBUTE,PROPERTY
chocolate~liquid__herschel_bulkley_exponent,chocolate~liquid__herschel-bulkley_exponent,chocolate~liquid,herschel-bulkley_exponent,,,chocolate,,,herschel-bulkley_exponent,,,,,,,liquid,,,,,,MATTER~ATTRIBUTE,PROPERTY
chocolate~liquid__kinematic_shear_viscosity,chocolate~liquid__shear_kinematic_viscosity,chocolate~liquid,shear_kinematic_viscosity,,,chocolate,,,shear_kinematic_viscosity,,,,,,,liquid,,,,,,MATTER~ATTRIBUTE,PROPERTY
chocolate~liquid__yield_stress,chocolate~liquid__yield_stress,chocolate~liquid,yield_stress,,,chocolate,,,yield_stress,,,,,,,liquid,,,,,,MATTER~ATTRIBUTE,PROPERTY
chocolate~liquid_water__volume_fraction,chocolate~liquid_water__volume_fraction,chocolate~liquid_water,volume_fraction,,,"chocolate, water",,,volume_fraction,,,,,,,liquid,,,,,,MATTER~ATTRIBUTE_MATTER,PROPERTY
coal__thermal_energy_content,coal__thermal_energy-per-volume_density,coal,thermal_energy-per-volume_density,coal,,,,,,,,,,,,,,,,,,PHENOMENON,thermal_energy-per-volume_density
concrete_rubber__kinetic_friction_coefficient,concrete_rubber__kinetic_friction_coefficient,concrete_rubber,kinetic_friction_coefficient,,,"concrete, rubber",,,kinetic_friction_coefficient,,,,,,,,,,,,,MATTER_MATTER,PROPERTY
consumer__price_index,market-basket__consumer_price_index,market-basket,consumer_price_index,market-basket,,,,,,,,,,,,,,,,,,PHENOMENON,consumer_price_index
delta__mass,river-delta__mass,river-delta,mass,river-delta,,,,,,,,,,,,,,,,,,PHENOMENON,mass
delta__mean_subsidence_rate,river-delta_subsidence__mean_of_rate,river-delta_subsidence,mean_of_rate,river-delta,subsidence,,,,,"mean, rate",,,,,,,,,,,,PHENOMENON_PROCESS,OPERATION_of_OPERATION
delta__volume,river-delta__volume,river-delta,volume,river-delta,,,,,,,,,,,,,,,,,,PHENOMENON,volume
delta_apex-to-shoreline__min_of_distance,river-delta_apex_shoreline__min_of_distance,river-delta_apex_shoreline,min_of_distance,river-delta,,,,,distance,min,,,,,,,"shoreline, apex",,,,,PHENOMENON_ABSTRACTION_ABSTRACTION,OPERATION_of_PROPERTY
delta_apex__elevation,river-delta_apex__elevation,river-delta_apex,elevation,river-delta,,,,,elevation,,,,,,,,apex,,,,,PHENOMENON_ABSTRACTION,PROPERTY
delta_apex__latitude,river-delta_apex__latitude,river-delta_apex,latitude,river-delta,,,,,latitude,,,,,,,,apex,,,,,PHENOMENON_ABSTRACTION,PROPERTY
delta_apex__longitude,river-delta_apex__longitude,river-delta_apex,longitude,river-delta,,,,,longitude,,,,,,,,apex,,,,,PHENOMENON_ABSTRACTION,PROPERTY
delta_apex__opening_angle,river-delta_apex__opening_angle,river-delta_apex,opening_angle,river-delta,,,,,opening_angle,,,,,,,,apex,,,,,PHENOMENON_ABSTRACTION,PROPERTY
delta_beds~bottomset_sediment_clay__volume_fraction,river-delta_bottomset-beds_sediment_clay__volume_fraction,river-delta_bottomset-beds_sediment_clay,volume_fraction,"bottomset-beds, river-delta",,"sediment, clay",,,volume_fraction,,,,,,,,,,,,,PHENOMENON_PHENOMENON_MATTER_MATTER,PROPERTY
delta_beds~bottomset_sediment_sand__volume_fraction,river-delta_bottomset-beds_sediment_sand__volume_fraction,river-delta_bottomset-beds_sediment_sand,volume_fraction,"bottomset-beds, river-delta",,"sediment, sand",,,volume_fraction,,,,,,,,,,,,,PHENOMENON_PHENOMENON_MATTER_MATTER,PROPERTY
delta_beds~bottomset_sediment_silt__volume_fraction,river-delta_bottomset-beds_sediment_silt__volume_fraction,river-delta_bottomset-beds_sediment_silt,volume_fraction,"bottomset-beds, river-delta",,"sediment, silt",,,volume_fraction,,,,,,,,,,,,,PHENOMENON_PHENOMENON_MATTER_MATTER,PROPERTY
delta_beds~foreset__mean_of_slope,river-delta_foreset-beds__mean_of_slope,river-delta_foreset-beds,mean_of_slope,"foreset-beds, river-delta",,,,,slope,mean,,,,,,,,,,,,PHENOMENON_PHENOMENON,OPERATION_of_PROPERTY
delta_beds~foreset_sediment_clay__volume_fraction,river-delta_foreset-beds_sediment_clay__volume_fraction,river-delta_foreset-beds_sediment_clay,volume_fraction,"foreset-beds, river-delta",,"sediment, clay",,,volume_fraction,,,,,,,,,,,,,PHENOMENON_PHENOMENON_MATTER_MATTER,PROPERTY
delta_beds~foreset_sediment_sand__volume_fraction,river-delta_foreset-beds_sediment_sand__volume_fraction,river-delta_foreset-beds_sediment_sand,volume_fraction,"foreset-beds, river-delta",,"sediment, sand",,,volume_fraction,,,,,,,,,,,,,PHENOMENON_PHENOMENON_MATTER_MATTER,PROPERTY
delta_beds~foreset_sediment_silt__volume_fraction,river-delta_foreset-beds_sediment_silt__volume_fraction,river-delta_foreset-beds_sediment_silt,volume_fraction,"foreset-beds, river-delta",,"sediment, silt",,,volume_fraction,,,,,,,,,,,,,PHENOMENON_PHENOMENON_MATTER_MATTER,PROPERTY
delta_beds~topset_sediment_clay__volume_fraction,river-delta_topset-beds_sediment_clay__volume_fraction,river-delta_topset-beds_sediment_clay,volume_fraction,"river-delta, topset-beds",,"sediment, clay",,,volume_fraction,,,,,,,,,,,,,PHENOMENON_PHENOMENON_MATTER_MATTER,PROPERTY
delta_beds~topset_sediment_sand__volume_fraction,river-delta_topset-beds_sediment_sand__volume_fraction,river-delta_topset-beds_sediment_sand,volume_fraction,"river-delta, topset-beds",,"sediment, sand",,,volume_fraction,,,,,,,,,,,,,PHENOMENON_PHENOMENON_MATTER_MATTER,PROPERTY
delta_beds~topset_sediment_silt__volume_fraction,river-delta_topset-beds_sediment_silt__volume_fraction,river-delta_topset-beds_sediment_silt,volume_fraction,"river-delta, topset-beds",,"sediment, silt",,,volume_fraction,,,,,,,,,,,,,PHENOMENON_PHENOMENON_MATTER_MATTER,PROPERTY
delta_beds~topset~lower_sediment_silt__volume_fraction,river-delta_topset-beds~lower_sediment_silt__volume_fraction,river-delta_topset-beds~lower_sediment_silt,volume_fraction,"river-delta, topset-beds",,"sediment, silt",,,volume_fraction,,,,,,,lower,,,,,,PHENOMENON_PHENOMENON~ATTRIBUTE_MATTER_MATTER,PROPERTY
delta_beds~topset~upper_sediment_silt__volume_fraction,river-delta_topset-beds~upper_sediment_silt__volume_fraction,river-delta_topset-beds~upper_sediment_silt,volume_fraction,"river-delta, topset-beds",,"sediment, silt",,,volume_fraction,,,,,,,upper,,,,,,PHENOMENON_PHENOMENON~ATTRIBUTE_MATTER_MATTER,PROPERTY
delta_channel~main_entrance__azimuth_angle_of_velocity,river-delta_channel~main_entrance__azimuth_angle_of_velocity,river-delta_channel~main_entrance,azimuth_angle_of_velocity,river-delta,,,entrance,channel,"azimuth_angle, velocity",azimuth_angle,,,,,,main,,,,,,PHENOMENON_FORM~ATTRIBUTE_ROLE,PROPERTY_of_PROPERTY
delta_channel~main_entrance__elevation_angle_of_velocity,river-delta_channel~main_entrance__elevation_angle_of_velocity,river-delta_channel~main_entrance,elevation_angle_of_velocity,river-delta,,,entrance,channel,"elevation_angle, velocity",elevation_angle,,,,,,main,,,,,,PHENOMENON_FORM~ATTRIBUTE_ROLE,PROPERTY_of_PROPERTY
delta_channel~main_entrance__max_of_depth,river-delta_channel~main_entrance__max_of_depth,river-delta_channel~main_entrance,max_of_depth,river-delta,,,entrance,channel,depth,max,,,,,,main,,,,,,PHENOMENON_FORM~ATTRIBUTE_ROLE,OPERATION_of_PROPERTY
delta_channel~main_entrance__mean_depth,river-delta_channel~main_entrance__mean_of_depth,river-delta_channel~main_entrance,mean_of_depth,river-delta,,,entrance,channel,depth,mean,,,,,,main,,,,,,PHENOMENON_FORM~ATTRIBUTE_ROLE,OPERATION_of_PROPERTY
delta_channel~main_entrance__width,river-delta_channel~main_entrance__width,river-delta_channel~main_entrance,width,river-delta,,,entrance,channel,width,,,,,,,main,,,,,,PHENOMENON_FORM~ATTRIBUTE_ROLE,PROPERTY
delta_channel~main_entrance_center__elevation,river-delta_channel~main_entrance_center__elevation,river-delta_channel~main_entrance_center,elevation,river-delta,,,entrance,channel,elevation,,,,,,,main,center,,,,,PHENOMENON_FORM~ATTRIBUTE_ROLE_ABSTRACTION,PROPERTY
delta_channel~main_entrance_center__latitude,river-delta_channel~main_entrance_center__latitude,river-delta_channel~main_entrance_center,latitude,river-delta,,,entrance,channel,latitude,,,,,,,main,center,,,,,PHENOMENON_FORM~ATTRIBUTE_ROLE_ABSTRACTION,PROPERTY
delta_channel~main_entrance_center__longitude,river-delta_channel~main_entrance_center__longitude,river-delta_channel~main_entrance_center,longitude,river-delta,,,entrance,channel,longitude,,,,,,,main,center,,,,,PHENOMENON_FORM~ATTRIBUTE_ROLE_ABSTRACTION,PROPERTY
delta_channel~main_entrance_water_sediment_clay__volume_fraction,river-delta_channel~main_entrance_water_sediment_clay__volume_fraction,river-delta_channel~main_entrance_water_sediment_clay,volume_fraction,river-delta,,"sediment, water, clay",entrance,channel,volume_fraction,,,,,,,main,,,,,,PHENOMENON_FORM~ATTRIBUTE_ROLE_MATTER_MATTER_MATTER,PROPERTY
delta_channel~main_entrance_water_sediment_sand__volume_fraction,river-delta_channel~main_entrance_water_sediment_sand__volume_fraction,river-delta_channel~main_entrance_water_sediment_sand,volume_fraction,river-delta,,"sediment, water, sand",entrance,channel,volume_fraction,,,,,,,main,,,,,,PHENOMENON_FORM~ATTRIBUTE_ROLE_MATTER_MATTER_MATTER,PROPERTY
delta_channel~main_entrance_water_sediment_sand_grain__mean_of_diameter,river-delta_channel~main_entrance_water_sediment_sand_grain__mean_of_diameter,river-delta_channel~main_entrance_water_sediment_sand_grain,mean_of_diameter,"river-delta, grain",,"sediment, water, sand",entrance,"channel, grain",diameter,mean,,,,,,main,,,,,,PHENOMENON_FORM~ATTRIBUTE_ROLE_MATTER_MATTER_MATTER_PHENOMENON,OPERATION_of_PROPERTY
delta_channel~main_entrance_water_sediment_silt__volume_fraction,river-delta_channel~main_entrance_water_sediment_silt__volume_fraction,river-delta_channel~main_entrance_water_sediment_silt,volume_fraction,river-delta,,"sediment, water, silt",entrance,channel,volume_fraction,,,,,,,main,,,,,,PHENOMENON_FORM~ATTRIBUTE_ROLE_MATTER_MATTER_MATTER,PROPERTY
delta_channel~main_entrance_water_sediment~suspended__mass_concentration,river-delta_channel~main_entrance_water_sediment~suspended__mass_concentration,river-delta_channel~main_entrance_water_sediment~suspended,mass_concentration,river-delta,,"sediment, water",entrance,channel,mass_concentration,,,,,,,"suspended, main",,,,,,PHENOMENON_FORM~ATTRIBUTE_ROLE_MATTER_MATTER~ATTRIBUTE,PROPERTY
delta_channel~main_entrance_water_sediment~suspended__mass_flow_rate,river-delta_channel~main_entrance_water_sediment~suspended_flowing__mass_rate,river-delta_channel~main_entrance_water_sediment~suspended_flowing,mass_rate,river-delta,flowing,"sediment, water",entrance,channel,mass_rate,,,,,,,"suspended, main",,,,,,PHENOMENON_FORM~ATTRIBUTE_ROLE_MATTER_MATTER~ATTRIBUTE_PROCESS,PROPERTY
delta_channel~main_entrance_water_sediment~suspended__mass_transport_rate,river-delta_channel~main_entrance_water_sediment~suspended_transport__mass_rate,river-delta_channel~main_entrance_water_sediment~suspended_transport,mass_rate,river-delta,transport,"sediment, water",entrance,channel,mass_rate,,,,,,,"suspended, main",,,,,,PHENOMENON_FORM~ATTRIBUTE_ROLE_MATTER_MATTER~ATTRIBUTE_PROCESS,PROPERTY
delta_channel~main_entrance_water_sediment~suspended__volume_concentration,river-delta_channel~main_entrance_water_sediment~suspended__volume_concentration,river-delta_channel~main_entrance_water_sediment~suspended,volume_concentration,river-delta,,"sediment, water",entrance,channel,volume_concentration,,,,,,,"suspended, main",,,,,,PHENOMENON_FORM~ATTRIBUTE_ROLE_MATTER_MATTER~ATTRIBUTE,PROPERTY
delta_channel~main_entrance_water_x-section__volume_flow_rate,river-delta_channel~main_entrance_water_flowing_x-section__volume_rate,river-delta_channel~main_entrance_water_flowing_x-section,volume_rate,river-delta,flowing,water,entrance,channel,volume_rate,,,,,,,main,x-section,,,,,PHENOMENON_FORM~ATTRIBUTE_ROLE_MATTER_PROCESS_ABSTRACTION,PROPERTY
delta_channel~main_entrance_water_x-section__volume_flux,river-delta_channel~main_entrance_water_x-section__volume_flux,river-delta_channel~main_entrance_water_x-section,volume_flux,river-delta,,water,entrance,channel,volume_flux,,,,,,,main,x-section,,,,,PHENOMENON_FORM~ATTRIBUTE_ROLE_MATTER_ABSTRACTION,PROPERTY
delta_channel~main_entrance_water_x-section__wetted_area,river-delta_channel~main_entrance_water_x-section__wetted_area,river-delta_channel~main_entrance_water_x-section,wetted_area,river-delta,,water,entrance,channel,wetted_area,,,,,,,main,x-section,,,,,PHENOMENON_FORM~ATTRIBUTE_ROLE_MATTER_ABSTRACTION,PROPERTY
delta_channel~main_entrance_water_x-section__wetted_perimeter,river-delta_channel~main_entrance_water_x-section__wetted_perimeter,river-delta_channel~main_entrance_water_x-section,wetted_perimeter,river-delta,,water,entrance,channel,wetted_perimeter,,,,,,,main,x-section,,,,,PHENOMENON_FORM~ATTRIBUTE_ROLE_MATTER_ABSTRACTION,PROPERTY
delta_channel~main_entrance_water_x-section__width-to-depth_ratio,river-delta_channel~main_entrance_water_x-section__width-to-depth_ratio,river-delta_channel~main_entrance_water_x-section,width-to-depth_ratio,river-delta,,water,entrance,channel,width-to-depth_ratio,,,,,,,main,x-section,,,,,PHENOMENON_FORM~ATTRIBUTE_ROLE_MATTER_ABSTRACTION,PROPERTY
delta_channel~main_entrance_water_x_section_top__width,river-delta_channel~main_entrance_water_x-section_top__width,river-delta_channel~main_entrance_water_x-section_top,width,river-delta,,water,entrance,channel,width,,,,,,,main,x-section,,,top,,PHENOMENON_FORM~ATTRIBUTE_ROLE_MATTER_ABSTRACTION_PART,PROPERTY
delta_channel~main_entrance_x-section__area,river-delta_channel~main_entrance_x-section__area,river-delta_channel~main_entrance_x-section,area,river-delta,,,entrance,channel,area,,,,,,,main,x-section,,,,,PHENOMENON_FORM~ATTRIBUTE_ROLE_ABSTRACTION,PROPERTY
delta_channel~main_entrance_x_section_top__width,river-delta_channel~main_entrance_x-section_top__width,river-delta_channel~main_entrance_x-section_top,width,river-delta,,,entrance,channel,width,,,,,,,main,x-section,,,top,,PHENOMENON_FORM~ATTRIBUTE_ROLE_ABSTRACTION_PART,PROPERTY
delta_distributary-network__drainage_density,river-delta_distributary-network__drainage_density,river-delta_distributary-network,drainage_density,"distributary-network, river-delta",,,,,drainage_density,,,,,,,,,,,,,PHENOMENON_PHENOMENON,PROPERTY
delta_distributary-network__total_length,river-delta_distributary-network__length,river-delta_distributary-network,length,"distributary-network, river-delta",,,,,length,,,,,,,,,,,,,PHENOMENON_PHENOMENON,PROPERTY
delta_distributary-network_water__max_of_depth,river-delta_distributary-network_water__max_of_depth,river-delta_distributary-network_water,max_of_depth,"distributary-network, river-delta",,water,,,depth,max,,,,,,,,,,,,PHENOMENON_PHENOMENON_MATTER,OPERATION_of_PROPERTY
delta_distributary__length,river-delta_distributary__length,river-delta_distributary,length,"distributary, river-delta",,,,,length,,,,,,,,,,,,,PHENOMENON_PHENOMENON,PROPERTY
delta_distributary__slope,river-delta_distributary__slope,river-delta_distributary,slope,"distributary, river-delta",,,,,slope,,,,,,,,,,,,,PHENOMENON_PHENOMENON,PROPERTY
delta_distributary_outlet__count,river-delta_distributary_outlet__count,river-delta_distributary_outlet,count,"distributary, river-delta",,,outlet,,count,,,,,,,,,,,,,PHENOMENON_PHENOMENON_ROLE,PROPERTY
delta_distributary_outlet__top_width,river-delta_distributary_outlet_top__width,river-delta_distributary_outlet_top,width,"distributary, river-delta",,,outlet,,width,,,,,,,,,,,top,,PHENOMENON_PHENOMENON_ROLE_PART,PROPERTY
delta_distributary_outlet_center__elevation,river-delta_distributary_outlet_center__elevation,river-delta_distributary_outlet_center,elevation,"distributary, river-delta",,,outlet,,elevation,,,,,,,,center,,,,,PHENOMENON_PHENOMENON_ROLE_ABSTRACTION,PROPERTY
delta_distributary_outlet_center__latitude,river-delta_distributary_outlet_center__latitude,river-delta_distributary_outlet_center,latitude,"distributary, river-delta",,,outlet,,latitude,,,,,,,,center,,,,,PHENOMENON_PHENOMENON_ROLE_ABSTRACTION,PROPERTY
delta_distributary_outlet_center__longitude,river-delta_distributary_outlet_center__longitude,river-delta_distributary_outlet_center,longitude,"distributary, river-delta",,,outlet,,longitude,,,,,,,,center,,,,,PHENOMENON_PHENOMENON_ROLE_ABSTRACTION,PROPERTY
delta_distributary_outlet_side~left__elevation,river-delta_distributary_outlet_side~left__elevation,river-delta_distributary_outlet_side~left,elevation,"distributary, river-delta",,,outlet,,elevation,,,,,,,left,,,,side,,PHENOMENON_PHENOMENON_ROLE_PART~ATTRIBUTE,PROPERTY
delta_distributary_outlet_side~left__latitude,river-delta_distributary_outlet_side~left__latitude,river-delta_distributary_outlet_side~left,latitude,"distributary, river-delta",,,outlet,,latitude,,,,,,,left,,,,side,,PHENOMENON_PHENOMENON_ROLE_PART~ATTRIBUTE,PROPERTY
delta_distributary_outlet_side~left__longitude,river-delta_distributary_outlet_side~left__longitude,river-delta_distributary_outlet_side~left,longitude,"distributary, river-delta",,,outlet,,longitude,,,,,,,left,,,,side,,PHENOMENON_PHENOMENON_ROLE_PART~ATTRIBUTE,PROPERTY
delta_distributary_outlet_side~right__elevation,river-delta_distributary_outlet_side~right__elevation,river-delta_distributary_outlet_side~right,elevation,"distributary, river-delta",,,outlet,,elevation,,,,,,,right,,,,side,,PHENOMENON_PHENOMENON_ROLE_PART~ATTRIBUTE,PROPERTY
delta_distributary_outlet_side~right__latitude,river-delta_distributary_outlet_side~right__latitude,river-delta_distributary_outlet_side~right,latitude,"distributary, river-delta",,,outlet,,latitude,,,,,,,right,,,,side,,PHENOMENON_PHENOMENON_ROLE_PART~ATTRIBUTE,PROPERTY
delta_distributary_outlet_side~right__longitude,river-delta_distributary_outlet_side~right__longitude,river-delta_distributary_outlet_side~right,longitude,"distributary, river-delta",,,outlet,,longitude,,,,,,,right,,,,side,,PHENOMENON_PHENOMENON_ROLE_PART~ATTRIBUTE,PROPERTY
delta_distributary_outlet_water_x-section__mean_of_depth,river-delta_distributary_outlet_water_x-section__mean_of_depth,river-delta_distributary_outlet_water_x-section,mean_of_depth,"distributary, river-delta",,water,outlet,,depth,mean,,,,,,,x-section,,,,,PHENOMENON_PHENOMENON_ROLE_MATTER_ABSTRACTION,OPERATION_of_PROPERTY
delta_distributary_outlet_water_x-section__volume_flow_rate,river-delta_distributary_outlet_water_flowing_x-section__volume_rate,river-delta_distributary_outlet_water_flowing_x-section,volume_rate,"distributary, river-delta",flowing,water,outlet,,volume_rate,,,,,,,,x-section,,,,,PHENOMENON_PHENOMENON_ROLE_MATTER_PROCESS_ABSTRACTION,PROPERTY
delta_distributary_outlet_water_x-section__volume_flux,river-delta_distributary_outlet_water_x-section__volume_flux,river-delta_distributary_outlet_water_x-section,volume_flux,"distributary, river-delta",,water,outlet,,volume_flux,,,,,,,,x-section,,,,,PHENOMENON_PHENOMENON_ROLE_MATTER_ABSTRACTION,PROPERTY
delta_front__mean_of_slope,river-delta_front__mean_of_slope,river-delta_front,mean_of_slope,"river-delta, front",,,,,slope,mean,,,,,,,,,,front,,PHENOMENON_PHENOMENON,OPERATION_of_PROPERTY
delta_front_sediment__repose_angle,river-delta_front_sediment__repose_angle,river-delta_front_sediment,repose_angle,"river-delta, front",,sediment,,,repose_angle,,,,,,,,,,,front,,PHENOMENON_PHENOMENON_MATTER,PROPERTY
delta_front_sediment_grain__mean_diameter,river-delta_front_sediment_grain__mean_of_diameter,river-delta_front_sediment_grain,mean_of_diameter,"river-delta, front, grain",,sediment,,grain,diameter,mean,,,,,,,,,,front,,PHENOMENON_PHENOMENON_MATTER_PHENOMENON,OPERATION_of_PROPERTY
delta_front_toe__mean_of_elevation,river-delta-front-toe__mean_of_elevation,river-delta-front-toe,mean_of_elevation,river-delta-front-toe,,,,,,,,,,,,,,,,,,PHENOMENON,mean_of_elevation
delta_plain~lower-and-upper__area,river-delta_plain~lower-and-plain~upper__area,river-delta_plain~lower-and-plain~upper,area,"river-delta, plain",,,,,area,,,,,,,"lower, upper",,,,,,PHENOMENON_PHENOMENON~ATTRIBUTE-and-PHENOMENON~ATTRIBUTE,PROPERTY
delta_plain~lower__area,river-delta_plain~lower__area,river-delta_plain~lower,area,"river-delta, plain",,,,,area,,,,,,,lower,,,,,,PHENOMENON_PHENOMENON~ATTRIBUTE,PROPERTY
delta_plain~lower__mean_of_slope,river-delta_plain~lower__mean_of_slope,river-delta_plain~lower,mean_of_slope,"river-delta, plain",,,,,slope,mean,,,,,,lower,,,,,,PHENOMENON_PHENOMENON~ATTRIBUTE,OPERATION_of_PROPERTY
delta_plain~subaqueous__area,river-delta_plain~subaqueous__area,river-delta_plain~subaqueous,area,"river-delta, plain",,,,,area,,,,,,,subaqueous,,,,,,PHENOMENON_PHENOMENON~ATTRIBUTE,PROPERTY
delta_plain~subaqueous__mean_of_slope,river-delta_plain~subaqueous__mean_of_slope,river-delta_plain~subaqueous,mean_of_slope,"river-delta, plain",,,,,slope,mean,,,,,,subaqueous,,,,,,PHENOMENON_PHENOMENON~ATTRIBUTE,OPERATION_of_PROPERTY
delta_plain~subaqueous_plain~total__area_ratio,river-delta_plain_plain~subaqueous__area_ratio,river-delta_plain_plain~subaqueous,area_ratio,"river-delta, plain",,,,,area_ratio,,,,,,,subaqueous,,,,,,PHENOMENON_PHENOMENON_PHENOMENON~ATTRIBUTE,PROPERTY
delta_plain~total__area,river-delta_plain__area,river-delta_plain,area,"river-delta, plain",,,,,area,,,,,,,,,,,,,PHENOMENON_PHENOMENON,PROPERTY
delta_plain~total_boundary__diameter,river-delta_plain_boundary__diameter,river-delta_plain_boundary,diameter,"river-delta, plain",,,,,diameter,,,,,,,,boundary,,,,,PHENOMENON_PHENOMENON_ABSTRACTION,PROPERTY
delta_plain~total_boundary__perimeter,river-delta_plain_boundary__perimeter,river-delta_plain_boundary,perimeter,"river-delta, plain",,,,,perimeter,,,,,,,,boundary,,,,,PHENOMENON_PHENOMENON_ABSTRACTION,PROPERTY
delta_plain~upper__area,river-delta_plain~upper__area,river-delta_plain~upper,area,"river-delta, plain",,,,,area,,,,,,,upper,,,,,,PHENOMENON_PHENOMENON~ATTRIBUTE,PROPERTY
delta_plain~upper__mean_of_slope,river-delta_plain~upper__mean_of_slope,river-delta_plain~upper,mean_of_slope,"river-delta, plain",,,,,slope,mean,,,,,,upper,,,,,,PHENOMENON_PHENOMENON~ATTRIBUTE,OPERATION_of_PROPERTY
delta_plain~upper_boundary~seaward__length,river-delta_plain~upper_boundary~seaward__length,river-delta_plain~upper_boundary~seaward,length,"river-delta, plain",,,,,length,,,,,,,"seaward, upper",boundary,,,,,PHENOMENON_PHENOMENON~ATTRIBUTE_ABSTRACTION~ATTRIBUTE,PROPERTY
delta_plain~upper_vegetation__mean_of_height,river-delta_plain~upper_vegetation__mean_of_height,river-delta_plain~upper_vegetation,mean_of_height,"river-delta, vegetation, plain",vegetation,,,,height,mean,,,,,,upper,,,,,,PHENOMENON_PHENOMENON~ATTRIBUTE_PHENOMENON,OPERATION_of_PROPERTY
delta_plain~upper~farmed__area_fraction,river-delta_plain~upper~farmed__area_fraction,river-delta_plain~upper~farmed,area_fraction,"river-delta, plain",,,,,area_fraction,,,,,,,"farmed, upper",,,,,,PHENOMENON_PHENOMENON~ATTRIBUTE~ATTRIBUTE,PROPERTY
delta_plain~upper~residential__area_fraction,river-delta_plain~upper~residential__area_fraction,river-delta_plain~upper~residential,area_fraction,"river-delta, plain",,,,,area_fraction,,,,,,,"residential, upper",,,,,,PHENOMENON_PHENOMENON~ATTRIBUTE~ATTRIBUTE,PROPERTY
delta_plain~upper~urban__area_fraction,river-delta_plain~upper~urban__area_fraction,river-delta_plain~upper~urban,area_fraction,"river-delta, plain",,,,,area_fraction,,,,,,,"upper, urban",,,,,,PHENOMENON_PHENOMENON~ATTRIBUTE~ATTRIBUTE,PROPERTY
delta_plain~upper~vegetated__area_fraction,river-delta_plain~upper~vegetated__area_fraction,river-delta_plain~upper~vegetated,area_fraction,"river-delta, plain",,,,,area_fraction,,,,,,,"vegetated, upper",,,,,,PHENOMENON_PHENOMENON~ATTRIBUTE~ATTRIBUTE,PROPERTY
delta_shoreline__geodetic_latitude,river-delta_shoreline__geodetic_latitude,river-delta_shoreline,geodetic_latitude,river-delta,,,,,geodetic_latitude,,,,,,,,shoreline,,,,,PHENOMENON_ABSTRACTION,PROPERTY
delta_shoreline__length,river-delta_shoreline__length,river-delta_shoreline,length,river-delta,,,,,length,,,,,,,,shoreline,,,,,PHENOMENON_ABSTRACTION,PROPERTY
