original_name,variable_name,object_name,quantity_name,phenomena,processes,matter,roles,forms,properties,operations,propertytypes,propertyroles,propertyquantifications,trajectories,domains,attributes,abstractions,models,directions,parts,reference,object_pattern,quantity_pattern
land_surface~0-to-10cm-below_soil__temperature,land_surface~0-to-10cm-below_soil__temperature,land_surface~0-to-10cm-below_soil,temperature,land,,soil,,,temperature,,,,,,,0-to-10cm,surface,,,,,PHENOMENON_ABSTRACTION~ATTRIBUTE-below_MATTER,PROPERTY
land_surface~100-to-200cm-below_soil__temperature,land_surface~100-to-200cm-below_soil__temperature,land_surface~100-to-200cm-below_soil,temperature,land,,soil,,,temperature,,,,,,,100-to-200cm,surface,,,,,PHENOMENON_ABSTRACTION~ATTRIBUTE-below_MATTER,PROPERTY
land_surface~10-to-40cm-below_soil__temperature,land_surface~10-to-40cm-below_soil__temperature,land_surface~10-to-40cm-below_soil,temperature,land,,soil,,,temperature,,,,,,,10-to-40cm,surface,,,,,PHENOMENON_ABSTRACTION~ATTRIBUTE-below_MATTER,PROPERTY
land_surface~40-to-100cm-below_soil__temperature,land_surface~40-to-100cm-below_soil__temperature,land_surface~40-to-100cm-below_soil,temperature,land,,soil,,,temperature,,,,,,,40-to-100cm,surface,,,,,PHENOMENON_ABSTRACTION~ATTRIBUTE-below_MATTER,PROPERTY
land_surface_radiation~shortwave~downward__energy_flux,land_surface_radiation~shortwave~downward__energy_flux,land_surface_radiation~shortwave~downward,energy_flux,"radiation, land",radiation,,,,energy_flux,,,,,,,shortwave,surface,,downward,,,PHENOMENON_ABSTRACTION_PHENOMENON~ATTRIBUTE~DIRECTION,PROPERTY
soil__downward_heat_energy_flux,soil__downward_component_of_heat_energy_flux,soil,downward_component_of_heat_energy_flux,soil,,,,,,,,,,,,,,,,,,PHENOMENON,downward_component_of_heat_energy_flux
wind__speed,wind__speed,wind,speed,wind,,,,,,,,,,,,,,,,,,PHENOMENON,speed
land_crop__observed_allocated_area,observation_land_crop_allocation__area,observation_land_crop_allocation,area,land,"observation, allocation",,crop,,area,,,,,,,,,,,,,PROCESS_PHENOMENON_ROLE_PROCESS,PROPERTY
land_crop__observed_mass-per-area_yield,observation_land_crop__mass-per-area_yield,observation_land_crop,mass-per-area_yield,land,observation,,crop,,mass-per-area_yield,,,,,,,,,,,,,PROCESS_PHENOMENON_ROLE,PROPERTY
crop_fertilizer~nitrogen__observed_applied_mass,observation_crop_nitrogen-fertilizer_application__mass,observation_crop_nitrogen-fertilizer_application,mass,,"application, observation",nitrogen-fertilizer,crop,,mass,,,,,,,,,,,,,PROCESS_ROLE_MATTER_PROCESS,PROPERTY
crop_fertilizer~nitrogen__yield_elasticity,crop_nitrogen-fertilizer__yield_elasticity,crop_nitrogen-fertilizer,yield_elasticity,,,nitrogen-fertilizer,crop,,yield_elasticity,,,,,,,,,,,,,ROLE_MATTER,PROPERTY
crop__supply_elasticity,crop__supply_elasticity,crop,supply_elasticity,crop,,,,,,,,,,,,,,,,,,PHENOMENON,supply_elasticity
land_crop__production_cost-per-area,land_crop_production__cost-per-area,land_crop_production,cost-per-area,land,production,,crop,,cost-per-area,,,,,,,,,,,,,PHENOMENON_ROLE_PROCESS,PROPERTY
fertilizer~nitrogen__usage-cost-per-applied-mass,nitrogen-fertilizer_usage-vs-application__cost-per-mass,nitrogen-fertilizer_usage-vs-application,cost-per-mass,,"application, usage",nitrogen-fertilizer,,,cost-per-mass,,,,,,,,,,,,,MATTER_PROCESS-vs-PROCESS,PROPERTY
farmer_crop__received_price-per-mass,farmer_crop__received_price-per-mass,farmer_crop,received_price-per-mass,,,,"farmer, crop",,received_price-per-mass,,,,,,,,,,,,,ROLE_ROLE,PROPERTY
soil_water__van-genuchten_beta_parameter,soil_water__van-genuchten_alpha_parameter,soil_water,van-genuchten_alpha_parameter,,,"water, soil",,,van-genuchten_alpha_parameter,,,,,,,,,,,,,MATTER_MATTER,PROPERTY
atmosphere_bottom_air_water~vapor__partial_pressure,atmosphere_bottom_air_water~vapor__partial_pressure,atmosphere_bottom_air_water~vapor,partial_pressure,atmosphere,,"water, air",,vapor,partial_pressure,,,,,,,,,,,bottom,,PHENOMENON_PART_MATTER_MATTER~FORM,PROPERTY
channel_bed__thickness,channel_bed__thickness,channel_bed,thickness,,,,,channel,thickness,,,,,,,,,,,bed,,FORM_PART,PROPERTY
channel_bed_below-channel-bank__depth,channel_bed_below-river-bank__depth,channel_bed_below-river-bank,depth,river-bank,,,,channel,depth,,,,,,,,,,,bed,,FORM_PART_below-PHENOMENON,PROPERTY
channel_bed_water__hydraulic_conductivity,channel_bed_water__hydraulic_conductivity,channel_bed_water,hydraulic_conductivity,,,water,,channel,hydraulic_conductivity,,,,,,,,,,,bed,,FORM_PART_MATTER,PROPERTY
channel_bottom_sediment_grain_water__hydraulic_conductivity,channel_bottom_sediment_grain_water__hydraulic_conductivity,channel_bottom_sediment_grain_water,hydraulic_conductivity,grain,,"sediment, water",,"channel, grain",hydraulic_conductivity,,,,,,,,,,,bottom,,FORM_PART_MATTER_PHENOMENON_MATTER,PROPERTY
channel_water__discharge_coefficient,channel_water__discharge_coefficient,channel_water,discharge_coefficient,,,water,,channel,discharge_coefficient,,,,,,,,,,,,,FORM_MATTER,PROPERTY
land_surface_wind__speed,land_surface_wind__speed,land_surface_wind,speed,"land, wind",,,,,speed,,,,,,,,surface,,,,,PHENOMENON_ABSTRACTION_PHENOMENON,PROPERTY
land_vegetation_canopy_water__interception_storage_factor,land_vegetation_canopy_water_interception__storage_factor,land_vegetation_canopy_water_interception,storage_factor,"vegetation, canopy, land","interception, vegetation",water,,,storage_factor,,,,,,,,,,,,,PHENOMENON_PHENOMENON_PHENOMENON_MATTER_PROCESS,PROPERTY
snow-or-ice__melt_factor,snow-or-ice__melt_factor,snow-or-ice,melt_factor,snow-or-ice,,,,,,,,,,,,,,,,,,PHENOMENON,melt_factor
