trajectory_direction_id,trajectory_direction_label,synonym,wikipedia_page
downward,downward,,
eastward,eastward,,
incoming,incoming,"into, inward",
northward,northward,,
outgoing,outgoing,"outward, out-of, moving-away-from",
southward,southward,,
upward,upward,,
westward,westward,,
downwelling,downwelling,,https://en.wikipedia.org/wiki/Downwelling
upwelling,upwelling,,https://en.wikipedia.org/wiki/Upwelling
