attribute_id,attribute_label,property_id,value,unit,canonical_unit,attribute,synonym,wikipedia_page
less-than-125-mm,less-than-125-mm,diameter,less-than-125,mm,L,,,
less-than-128-mm,less-than-128-mm,diameter,less-than-128,mm,L,,,
less-than-13.2-mm,less-than-13.2-mm,diameter,less-than-13.2,mm,L,,,
less-than-150-um,less-than-150-um,diameter,less-than-150,um,L,,,
less-than-1536-mm,less-than-1536-mm,diameter,less-than-1536,mm,L,,,
less-than-16-mm,less-than-16-mm,diameter,less-than-16,mm,L,,,
less-than-177-um,less-than-177-um,diameter,less-than-177,um,L,,,
less-than-180-mm,less-than-180-mm,diameter,less-than-180,mm,L,,,
less-than-192-mm,less-than-192-mm,diameter,less-than-192,mm,L,,,
less-than-19-mm,less-than-19-mm,diameter,less-than-19,mm,L,,,
less-than-1-mm,less-than-1-mm,diameter,less-than-1,mm,L,,,
less-than-2.36-mm,less-than-2.36-mm,diameter,less-than-2.36,mm,L,,,
less-than-2.38-mm,less-than-2.38-mm,diameter,less-than-2.38,mm,L,,,
less-than-2.83-mm,less-than-2.83-mm,diameter,less-than-2.83,mm,L,,,
less-than-2.8-mm,less-than-2.8-mm,diameter,less-than-2.8,mm,L,,,
less-than-2048-mm,less-than-2048-mm,diameter,less-than-2048,mm,L,,,
less-than-22.4-mm,less-than-22.4-mm,diameter,less-than-22.4,mm,L,,,
less-than-256-mm,less-than-256-mm,diameter,less-than-256,mm,L,,,
less-than-25-mm,less-than-25-mm,diameter,less-than-25,mm,L,,,
less-than-26.5-mm,less-than-26.5-mm,diameter,less-than-26.5,mm,L,,,
less-than-2-mm,less-than-2-mm,diameter,less-than-2,mm,L,,,
less-than-3.35-mm,less-than-3.35-mm,diameter,less-than-3.35,mm,L,,,
less-than-31.5-mm,less-than-31.5-mm,diameter,less-than-31.5,mm,L,,,
less-than-32-mm,less-than-32-mm,diameter,less-than-32,mm,L,,,
less-than-35-um,less-than-35-um,diameter,less-than-35,um,L,,,
less-than-37.5-mm,less-than-37.5-mm,diameter,less-than-37.5,mm,L,,,
less-than-384-mm,less-than-384-mm,diameter,less-than-384,mm,L,,,
less-than-4.75-mm,less-than-4.75-mm,diameter,less-than-4.75,mm,L,,,
less-than-45-mm,less-than-45-mm,diameter,less-than-45,mm,L,,,
less-than-4-mm,less-than-4-mm,diameter,less-than-4,mm,L,,,
less-than-5.6-mm,less-than-5.6-mm,diameter,less-than-5.6,mm,L,,,
less-than-50-mm,less-than-50-mm,diameter,less-than-50,mm,L,,,
less-than-512-mm,less-than-512-mm,diameter,less-than-512,mm,L,,,
less-than-53-mm,less-than-53-mm,diameter,less-than-53,mm,L,,,
less-than-6.3-mm,less-than-6.3-mm,diameter,less-than-6.3,mm,L,,,
less-than-62.5-um,less-than-62.5-um,diameter,less-than-62.5,um,L,,,
less-than-63-mm,less-than-63-mm,diameter,less-than-63,mm,L,,,
less-than-64-mm,less-than-64-mm,diameter,less-than-64,mm,L,,,
less-than-7.5-mm,less-than-7.5-mm,diameter,less-than-7.5,mm,L,,,
less-than-75-mm,less-than-75-mm,diameter,less-than-75,mm,L,,,
less-than-768-mm,less-than-768-mm,diameter,less-than-768,mm,L,,,
less-than-8-mm,less-than-8-mm,diameter,less-than-8,mm,L,,,
