attribute_id,attribute_label,noun,matter_id,property_id,value,synonym,plural_of,wikipedia_page
immersed,immersed,,,,,,,
immiscible,immiscible,,,miscibility,,,,https://en.wikipedia.org/wiki/Miscibility
incandescent,incandescent,,,,,,,
incident,incident,,,,,,,
incoming,incoming,,,,,,,
industrial,industrial,,,,,,,
inert,inert,,,,,,,https://en.wikipedia.org/wiki/Chemically_inert
inhibited,inhibited,,,,,,,
initial,initial,,,,,,,
inner,inner,,,,,,,
inorganic,inorganic,,,,,,,https://en.wikipedia.org/wiki/Inorganic_compound
insoluble,insoluble,,,solubility,,,,
instantaneous,instantaneous,,,,,,,
internal,internal,,,,,,,
intrinsic,intrinsic,,,,,,,
irrigated,irrigated,,,,,,,
isentropic,isentropic,,,,,,,https://en.wikipedia.org/wiki/Isentropic_process
isobaric,isobaric,,,,,,,https://en.wikipedia.org/wiki/Isobaric_process
isochoric,isochoric,,,,,,,https://en.wikipedia.org/wiki/Isochoric_process
isometric,isometric,,,,,,,
isothermal,isothermal,,,,,,,https://en.wikipedia.org/wiki/Isothermal_process
kinetic,kinetic,,,,,,,
lake-covered,lake-covered,,,coverage,,,,
lateral,lateral,,,orientation,,,,
left,left,,,,,,,
leq,leq,,,,,liquid_equivalent,,
level~free-convection,level~free-convection,,,level,,,,
level~freezing,level~freezing,,,level,,,,
level~lifting-condensation,level~lifting-condensation,,,level,,,,
level~mean,level~mean,,,level,,,,
linear,linear,,,,,,,
liquid,liquid,,,phase,liquid,,,https://en.wikipedia.org/wiki/Liquid
living,living,,,,,,,
longest,longest,,,,,,,https://en.wiktionary.org/wiki/longest#Adjective
longwave,longwave,,,wavelength,,,,
lost,lost,,,,,,,
low-type,low-type,,,type,low,,,
lower,lower,,,,,,,https://en.wiktionary.org/wiki/lower#Adjective
magnetic,magnetic,,,,,,,
main,main,,,,,,,https://en.wiktionary.org/wiki/main#Adjective
maritime,maritime,,,,,,,
maximum,maximum,,,,,,,
mechanical,mechanical,,,,,,,
medium-type,medium-type,,,type,medium,,,
melt,melt,noun,,phase,,,,https://en.wikipedia.org/wiki/Melt
melt~partial,melt~partial,,,,,,,
metabolizable,metabolizable,,,,,,,
metastable,metastable,,,stability,,,,https://en.wikipedia.org/wiki/Metastability
methylene-blue-active,methylene-blue-active,,,activity,,,,
microwave,microwave,,,wavelength,,,,
mineral,mineral,noun,,phase,mineral,,,https://en.wikipedia.org/wiki/Mineral
mineral-phase,mineral-phase,,,phase,mineral,,,
mineral-phase~melt,mineral-phase~melt,,,phase,"mineral, melt",,,
minimum,minimum,,,,,,,
miscellanous,miscellanous,,,,,,,https://en.wiktionary.org/wiki/miscellaneous#Adjective
moist,moist,,,wetness,,,,
moisture,moisture,noun,,phase,,,,https://en.wikipedia.org/wiki/Moisture
molecular,molecular,,,,,,,https://en.wikipedia.org/wiki/Molecule
monomeric,monomeric,,,,,,,https://en.wikipedia.org/wiki/Monomer
monounsaturated,monounsaturated,,,saturation,,,,
monovalent,monovalent,,,valence,,,,https://en.wikipedia.org/wiki/Valence_(chemistry)
monthly,monthly,,,,,,,
natural,natural,,,,,,,https://en.wikipedia.org/wiki/Natural_(archaeology)
net,net,,,,,,,
new,new,,,,,,,https://en.wikipedia.org/wiki/New
nitrogenous,nitrogenous,,,,,,,
no-snow,no-snow,,,,,,,
no-tide,no-tide,,,,,,,
non-settleable,non-settleable,,,,,,,
nonorographic,nonorographic,,,,,,,
nonunique,nonunique,,,,,,,
normal,normal,,,,,,,
normalized,normalized,,,,,,,
