phenomenon_taxonomic,phenomenon_id,phenomenon_label,phenomenon,attribute,part,abstraction,expressed-as,matter,form,role,body,process,trajectory,trajectory_direction,synonym,plural_of,wikipedia_page
,water_discharging,water,,,,,,water,,,,discharging,,,,,
,water_draining,water,,,,,,water,,,,draining,,,,,
,water_eddy,water,,,,,,water,,,,eddy,,,,,
,water_evaporation,water,,,,,,water,,,,evaporation,,,,,
,water_evapotranspiration,water,,,,,,water,,,,evapotranspiration,,,,,
,water_flow~incoming-and-outgoing,water~incoming-and-outgoing,,,,,,water,,,,flowing,,"incoming, outgoing",,,
,water_flowing,water_flow,,,,,,water,,,,flowing,,,,,
,water_flowing_friction,water_flow,,,,,,water,,,,"flowing, friction",,,,,
,water_flowing_x-section,water_flow,water_flowing,,,x-section,,,,,,,,,,,
,water_flowing_x-section_top,water_flow,water_flowing_x-section,,top,,,,,,,,,,,,
,water_flowing~incoming,water_flow~incoming,,,,,,water,,,,flowing,,incoming,,,
,water_flowing~outgoing,water_flow~outgoing,,,,,,water,,,,flowing,,outgoing,,,
frost-front,water_frost-front,water_frost-front,,,,,,water,,,,,,,,,
,water_fusion,water,,,,,,water,,,,fusion,,,,,
hydraulic-jump,water_hydraulic-jump,water_hydraulic-jump,,,,,,water,,,,,,,,,
,water_isentropic-process,water,,,,,,water,,,,isentropic-process,,,,,
,water_isobaric-process,water,,,,,,water,,,,isobaric-process,,,,,
,water_isochoric-process,water,,,,,,water,,,,isochoric-process,,,,,
,water_isothermal-process,water,,,,,,water,,,,isothermal-process,,,,,
,water_ponding,water,,,,,,water,,,,ponding,,,,,
,water_runoff,water,,,,,,water,,,,runoff,,,,,
,water_sublimation,water,,,,,,water,,,,sublimation,,,,,
,water_surface,water_surface,,,,surface,,water,,,,,,,,,
,water_surging,water,,,,,,water,,,,surging,,,,,
tide,water_tide,water_tide,,,,,,water,,,,,,,,,
,water_tide_constituent~2mk3,water_tide_constituent~2mk3,water_tide,,constituent~2mk3,,,,,,,,,,,,
,water_tide_constituent~2mk3_amphidromic-points,water_tide_constituent~2mk3_amphidromic-points,water_tide_constituent~2mk3,,,amphidromic-points,,,,,,,,,,,
,water_tide_constituent~2n2,water_tide_constituent~2n2,water_tide,,constituent~2n2,,,,,,,,,,,,
,water_tide_constituent~2q1,water_tide_constituent~2q1,water_tide,,constituent~2q1,,,,,,,,,,,,
,water_tide_constituent~2sm2,water_tide_constituent~2sm2,water_tide,,constituent~2sm2,,,,,,,,,,,,
,water_tide_constituent~j1,water_tide_constituent~j1,water_tide,,constituent~j1,,,,,,,,,,,,
,water_tide_constituent~k1,water_tide_constituent~k1,water_tide,,constituent~k1,,,,,,,,,,,,
,water_tide_constituent~k2,water_tide_constituent~k2,water_tide,,constituent~k2,,,,,,,,,,,,
,water_tide_constituent~l2,water_tide_constituent~l2,water_tide,,constituent~l2,,,,,,,,,,,,
,water_tide_constituent~lam2,water_tide_constituent~lam2,water_tide,,constituent~lam2,,,,,,,,,,,,
,water_tide_constituent~m1,water_tide_constituent~m1,water_tide,,constituent~m1,,,,,,,,,,,,
,water_tide_constituent~m2,water_tide_constituent~m2,water_tide,,constituent~m2,,,,,,,,,,,,
,water_tide_constituent~m3,water_tide_constituent~m3,water_tide,,constituent~m3,,,,,,,,,,,,
,water_tide_constituent~m4,water_tide_constituent~m4,water_tide,,constituent~m4,,,,,,,,,,,,
,water_tide_constituent~m6,water_tide_constituent~m6,water_tide,,constituent~m6,,,,,,,,,,,,
,water_tide_constituent~m8,water_tide_constituent~m8,water_tide,,constituent~m8,,,,,,,,,,,,
,water_tide_constituent~mf,water_tide_constituent~mf,water_tide,,constituent~mf,,,,,,,,,,,,
,water_tide_constituent~mk3,water_tide_constituent~mk3,water_tide,,constituent~mk3,,,,,,,,,,,,
,water_tide_constituent~mm,water_tide_constituent~mm,water_tide,,constituent~mm,,,,,,,,,,,,
,water_tide_constituent~mn4,water_tide_constituent~mn4,water_tide,,constituent~mn4,,,,,,,,,,,,
,water_tide_constituent~ms4,water_tide_constituent~ms4,water_tide,,constituent~ms4,,,,,,,,,,,,
,water_tide_constituent~msf,water_tide_constituent~msf,water_tide,,constituent~msf,,,,,,,,,,,,
,water_tide_constituent~mu2,water_tide_constituent~mu2,water_tide,,constituent~mu2,,,,,,,,,,,,
,water_tide_constituent~n2,water_tide_constituent~n2,water_tide,,constituent~n2,,,,,,,,,,,,
,water_tide_constituent~nu2,water_tide_constituent~nu2,water_tide,,constituent~nu2,,,,,,,,,,,,
,water_tide_constituent~o1,water_tide_constituent~o1,water_tide,,constituent~o1,,,,,,,,,,,,
,water_tide_constituent~oo1,water_tide_constituent~oo1,water_tide,,constituent~oo1,,,,,,,,,,,,
,water_tide_constituent~oo2,water_tide_constituent~oo2,water_tide,,constituent~oo2,,,,,,,,,,,,
,water_tide_constituent~p1,water_tide_constituent~p1,water_tide,,constituent~p1,,,,,,,,,,,,
,water_tide_constituent~q1,water_tide_constituent~q1,water_tide,,constituent~q1,,,,,,,,,,,,
,water_tide_constituent~r2,water_tide_constituent~r2,water_tide,,constituent~r2,,,,,,,,,,,,
,water_tide_constituent~rho,water_tide_constituent~rho,water_tide,,constituent~rho,,,,,,,,,,,,
,water_tide_constituent~s1,water_tide_constituent~s1,water_tide,,constituent~s1,,,,,,,,,,,,
,water_tide_constituent~s2,water_tide_constituent~s2,water_tide,,constituent~s2,,,,,,,,,,,,
,water_tide_constituent~s4,water_tide_constituent~s4,water_tide,,constituent~s4,,,,,,,,,,,,
,water_tide_constituent~s6,water_tide_constituent~s6,water_tide,,constituent~s6,,,,,,,,,,,,
,water_tide_constituent~sa,water_tide_constituent~sa,water_tide,,constituent~sa,,,,,,,,,,,,
,water_tide_constituent~ssa,water_tide_constituent~ssa,water_tide,,constituent~ssa,,,,,,,,,,,,
,water_tide_constituent~t2,water_tide_constituent~t2,water_tide,,constituent~t2,,,,,,,,,,,,
,water_tide_constituents~all,water_tide_constituents~all,water_tide,,constituents~all,,,,,,,,,,,,
,water_vaporization,water,,,,,,water,,,,vaporization,,,,,
wave,water_wave,water_wave,,,,,,water,,,,,,,,,
,water_wave_crest,water_wave_crest,water_wave,,,crest,,,,,,,,,,,
,water_wave_crest_x-section,water_wave_crest_x-section,water_wave_crest,,,x-section,,,,,,,,,,,
,water_wave_crest_x-section_vertex,water_wave_crest_x-section_vertex,water_wave_crest_x-section,,,vertex,,,,,,,,,,,
,water_wave_crestline,water_wave_crestline,water_wave,,,crestline,,,,,,,,,,,
,water_wave_orbit,water_wave_orbit,water_wave,,,,,,,,,,orbit,,,,
,water_wave_ray,water_wave_ray,water_wave,,,ray,,,,,,,,,,,
wave~breaking,water_wave~breaking,water_wave~breaking,,,,,,water,,,,,,,,,
wave~gravity~internal,water_wave~gravity~internal,water_wave~gravity~internal,,,,,,water,,,,,,,,,
wetting-front,water_wetting-front,water_wetting-front,,,,,,water,,,,,,,,,
,water_x-section,water_x-section,,,,x-section,,water,,,,,,,,,
,water_x-section_top,water_x-section_top,water_x-section,,top,,,,,,,,,,,,
,wave~incoming,wave~incoming,wave,,,,,,,,,,,incoming,,,
,wave~incoming~deepwater,wave~incoming~deepwater,wave~deepwater,,,,,,,,,,,incoming,,,
