phenomenon_taxonomic,phenomenon_id,phenomenon_label,phenomenon,attribute,part,abstraction,expressed-as,matter,form,role,body,process,trajectory,trajectory_direction,synonym,plural_of,wikipedia_page
,crater_circle,crater_circle,,,,circle,,,crater,,,,,,,,
,crop_biomass,crop_biomass,,,,,,biomass,,crop,,,,,,,
crop_biomass,crop_biomass~dry,crop_biomass~dry,,dry,,,,,,,,,,,,,
crop_biomass,crop_biomass~microbial,crop_biomass~microbial,,microbial,,,,,,,,,,,,,
,crop_biomass~microbial_decomposition,crop_biomass~microbial,crop_biomass~microbial,,,,,,,,,decomposition,,,,,
,crop_planting,crop,,,,,,,,crop,,planting,,,,,
,crop_sowing,crop,,,,,,,,crop,,sowing,,,,,
,crop_planting_row,crop_row,,,,row,,,,crop,,planting,,,,,
,crop_harvest,crop,,,,,,,,crop,,harvest,,,,,
,crop_production,crop,,,,,,,,crop,,production,,,,,
,crop_rotation,crop,,,,,,,,crop,,rotation,,,,,
,crop_canopy,crop_canopy,,,canopy,,,,,crop,,,,,,,
,crop~mature~dry_harvest_production,crop~mature~dry,,,,,,,,crop~mature~dry,,"harvest, production",,,,,
,crop~mature~dry_tops,crop~mature~dry_tops,,,tops,,,,,crop~mature~dry,,,,,,,
,crop~mature~dry_tops_production,crop~mature~dry_tops,crop~mature~dry_tops,,,,,,,,,production,,,,,
,crops~legume,crops~legume,,,,,,,,crops,legume,,,,,,
,cylinder_stroking,cylinder,,,,,,,,,cylinder,stroking,,,,,
,debris_deposit,debris,,,,,,,,debris,,deposition,,,,,
,debris_plug-layer,debris_plug-layer,,,plug-layer,,,,,debris,,,,,,,
,debris_shear-layer,debris_shear-layer,,,shear-layer,,,,,debris,,,,,,,
,debris_top,debris_top,,,top,,,,,debris,,,,,,,
,delta_apex,delta_apex,,,,apex,,,,,delta,,,,,,
,delta_subsidence,delta,,,,,,,,,delta,subsidence,,,,,
,delta_x-section,delta_x-section,,,,x-section,,,,,delta,,,,,,
,domain_boundary,domain_boundary,,,,boundary,,,domain,,,,,,,,
,domain_boundary_lowering,domain_boundary,domain_boundary,,,,,,,,,lowering,,,,,
,driver_reaction,driver,,,,,,,,driver,,reaction,,,,,
,earth_axis,earth_axis,,,,axis,,,,,earth,,,,,,
,earth_axis_nutation,earth_axis,earth_axis,,,,,,,,,nutation,,,,,
,earth_axis_precession,earth_axis,earth_axis,,,,,,,,,precession,,,,,
,earth_black-body,earth_black-body,,,,black-body,,,,,earth,,,,,,
,earth_boundary~core-mantle,earth_boundary~core-mantle,,,,boundary~core-mantle,,,,,earth,,,,,,
,earth_boundary~crust-mantle,earth_boundary~crust-mantle,,,,boundary~crust-mantle,,,,,earth,,,,,,
,earth_boundary~lithosphere-asthenosphere,earth_boundary~lithosphere-asthenosphere,,,,boundary~lithosphere-asthenosphere,,,,,earth,,,,,,
,earth_datum,earth_datum,,,,datum,,,,,earth,,,,,,
,earth_datum_ellipsoid,earth_datum_ellipsoid,earth_datum,,,ellipsoid,,,,,,,,,,,
,earth_datum_ellipsoid_surface,earth_datum_ellipsoid_surface,earth_datum_ellipsoid,,,surface,,,,,,,,,,,
,earth_datum_geodesic,earth_datum_geodesic,earth_datum,,,geodesic,,,,,,,,,,,
,earth_ellipsoid,earth_ellipsoid,,,,ellipsoid,,,,,earth,,,,,,
,earth_equator,earth_equator,,,,equator,,,,,earth,,,,,,
,earth_equator_plane,earth_equator_plane,earth_equator,,,plane,,,,,,,,,,,
,earth_orbit,earth_orbit,,,,,,,,,earth,,orbit,,,,
,earth_orbit_aphelion,earth_orbit_aphelion,earth_orbit,,,aphelion,,,,,,,,,,,
,earth_orbit_ellipse,earth_orbit_ellipse,earth_orbit,,,ellipse,,,,,,,,,,,
,earth_orbit_ellipse_axis~semi-major,earth_orbit_ellipse_axis~semi-major,earth_orbit_ellipse,,,axis~semi-major,,,,,,,,,,,
,earth_orbit_ellipse_axis~semi-minor,earth_orbit_ellipse_axis~semi-minor,earth_orbit_ellipse,,,axis~semi-minor,,,,,,,,,,,
