property_postfix_operator_id,property_postfix_operator_label,wikipedia_page,,,,,,,,,,,,,,,,,,,,,
gain,gain,https://en.wikipedia.org/wiki/Gain_(electronics),,,,,,,,,,,,,,,,,,,,,
parity,parity,,,,,,,,,,,,,,,,,,,,,,
rate,rate,https://en.wikipedia.org/wiki/Rate_(mathematics),,,,,,,,,,,,,,,,,,,,,
ratio,ratio,http://en.wikipedia.org/wiki/Ratio,,,,,,,,,,,,,,,,,,,,,
step,step,http://en.wikipedia.org/wiki/Step,,,,,,,,,,,,,,,,,,,,,
flux,flux,https://en.wikipedia.org/wiki/Flux#Flux_as_flow_rate_per_unit_area,,,,,,,,,,,,,,,,,,,,,"This is not always a correct interpretation of units. E.g., magnetic_flux"
fraction,fraction,https://en.wikipedia.org/wiki/Fraction_(mathematics),,,,,,,,,,,,,,,,,,,,,
order,order,https://en.wikipedia.org/wiki/Order_(mathematics),,,,,,,,,,,,,,,,,,,,,
