phenomenon_id,participant1,participant1cat,participant1cattype,participant1class,participant2,participant2cat,participant2cattype,participant2class,participant3,participant3cat,participant3cattype,participant3class,participant4,participant4cat,participant4cattype,participant4class,participant5,participant5cat,participant5cattype,participant5class
air@medium_saturated_water~vapor,air,medium,,"matter, ",saturated,,,"attribute, ",water~vapor,,,"matter, ",,,,,,,,
air@medium_water~vapor,air,medium,,"matter, ",water~vapor,,,"matter, ",,,,,,,,,,,,
atmosphere@medium_dust~aerosol,atmosphere,medium,,"body, ",dust~aerosol,,,"body, ",,,,,,,,,,,,
automobile@medium_cargo,automobile,medium,,"body, ",cargo,,,"role, ",,,,,,,,,,,,
automobile@medium_seating_human,automobile,medium,,"body, ",seating,,,"process, ",human,,,"body, ",,,,,,,,
basin~drainage@medium_channel-network,basin~drainage,medium,,"body, ",channel-network,,,"form, ",,,,,,,,,,,,
basin~drainage@medium_grassland,basin~drainage,medium,,"body, ",grassland,,,"body, ",,,,,,,,,,,,
basin~drainage@medium_land~burned,basin~drainage,medium,,"body, ",land~burned,,,"body, ",,,,,,,,,,,,
basin~drainage@medium_land~forested,basin~drainage,medium,,"body, ",land~forested,,,"body, ",,,,,,,,,,,,
biomass~harvested@medium_grain,biomass~harvested,medium,,"matter, ",grain,,,"form, body, ",,,,,,,,,,,,
blood@medium_platelet,blood,medium,,"matter, ",platelet,,,"body, ",,,,,,,,,,,,
blood@medium_red-blood-cell,blood,medium,,"matter, ",red-blood-cell,,,"body, ",,,,,,,,,,,,
blood@medium_white-blood-cell,blood,medium,,"matter, ",white-blood-cell,,,"body, ",,,,,,,,,,,,
channel~river@medium_water,channel~river,medium,,"body, ",water,,,"matter, ",,,,,,,,,,,,
chocolate@medium_cacao,chocolate,medium,,"matter, ",cacao,,,"matter, ",,,,,,,,,,,,
chocolate@medium_caffeine,chocolate,medium,,"matter, ",caffeine,,,"matter, ",,,,,,,,,,,,
chocolate@medium_carbohydrate,chocolate,medium,,"matter, ",carbohydrate,,,"matter, ",,,,,,,,,,,,
chocolate@medium_cholesterol,chocolate,medium,,"matter, ",cholesterol,,,"matter, ",,,,,,,,,,,,
chocolate@medium_fat,chocolate,medium,,"matter, ",fat,,,"matter, ",,,,,,,,,,,,
chocolate@medium_fat~monounsaturated,chocolate,medium,,"matter, ",fat~monounsaturated,,,"matter, ",,,,,,,,,,,,
chocolate@medium_fat~polyunsaturated,chocolate,medium,,"matter, ",fat~polyunsaturated,,,"matter, ",,,,,,,,,,,,
chocolate@medium_fat~saturated,chocolate,medium,,"matter, ",fat~saturated,,,"matter, ",,,,,,,,,,,,
chocolate@medium_flavanol,chocolate,medium,,"matter, ",flavanol,,,"matter, ",,,,,,,,,,,,
chocolate@medium_lecithin,chocolate,medium,,"matter, ",lecithin,,,"matter, ",,,,,,,,,,,,
chocolate@medium_liquor,chocolate,medium,,"matter, ",liquor,,,"matter, ",,,,,,,,,,,,
chocolate~liquid@medium_water,chocolate~liquid,medium,,"matter, ",water,,,"matter, ",,,,,,,,,,,,
crop@medium_nitrogen,crop,medium,,"role, ",nitrogen,,,"matter, ",,,,,,,,,,,,
delta@medium_plain~upper~farmed,delta,medium,,"body, ",plain~upper~farmed,,,"body, ",,,,,,,,,,,,
delta@medium_plain~upper~residential,delta,medium,,"body, ",plain~upper~residential,,,"body, ",,,,,,,,,,,,
delta@medium_plain~upper~urban,delta,medium,,"body, ",plain~upper~urban,,,"body, ",,,,,,,,,,,,
delta@medium_plain~upper~vegetated,delta,medium,,"body, ",plain~upper~vegetated,,,"body, ",,,,,,,,,,,,
earth@medium_carrying_human,earth,medium,,"body, ",carrying,,,"process, ",human,,,"body, ",,,,,,,,
forage-or-residue~removed@medium_nitrogen,forage-or-residue~removed,medium,,"role, ",nitrogen,,,"matter, ",,,,,,,,,,,,
glacier@medium_(glacier_ablation-zone),glacier,medium,,"body, ",glacier_ablation-zone,,,"body, ",,,,,,,,,,,,
glacier@medium_(glacier_accumulation-zone),glacier,medium,,"body, ",glacier_accumulation-zone,,,"body, ",,,,,,,,,,,,
ground@medium_water,ground,medium,,"body, ",water,,,"matter, ",,,,,,,,,,,,
ground@medium_water~intercepted,ground,medium,,"body, ",water~intercepted,,,,,,,,,,,,,,,
ice@medium,ice,medium,,"matter, attribute, ",,,,,,,,,,,,,,,,
ice@medium_salt,ice,medium,,"matter, attribute, ",salt,,,"matter, ",,,,,,,,,,,,
land@medium_(crop_production),land,medium,,"body, ",crop_production,,,"phenomenon, ",,,,,,,,,,,,
land@medium_(vegetation_canopy),land,medium,,"body, ",vegetation_canopy,,,"body, ",,,,,,,,,,,,
material@medium_(material_melt~partial),material,medium,,"matter, ",material_melt~partial,,,"matter, ",,,,,,,,,,,,
material@medium_water,material,medium,,"matter, ",water,,,"matter, ",,,,,,,,,,,,
material~melt@medium_(carbonatite_melt),material~melt,medium,,"matter, ",carbonatite_melt,,,"matter, ",,,,,,,,,,,,
matter~organic~stabilized@medium_carbon,matter~organic~stabilized,medium,,"matter, ",carbon,,,"matter, ",,,,,,,,,,,,
region~state@medium_grassland,region~state,medium,,"form, ",grassland,,,"body, ",,,,,,,,,,,,
region~state@medium_land~agricultural,region~state,medium,,"form, ",land~agricultural,,,"body, ",,,,,,,,,,,,
region~state@medium_land~arable,region~state,medium,,"form, ",land~arable,,,"body, ",,,,,,,,,,,,
region~state@medium_land~burned,region~state,medium,,"form, ",land~burned,,,"body, ",,,,,,,,,,,,
region~state@medium_land~cloud-covered,region~state,medium,,"form, ",land~cloud-covered,,,"body, ",,,,,,,,,,,,
region~state@medium_land~commercial,region~state,medium,,"form, ",land~commercial,,,"body, ",,,,,,,,,,,,
region~state@medium_land~dry,region~state,medium,,"form, ",land~dry,,,"body, ",,,,,,,,,,,,
region~state@medium_land~farmed,region~state,medium,,"form, ",land~farmed,,,"body, ",,,,,,,,,,,,
region~state@medium_land~flooded,region~state,medium,,"form, ",land~flooded,,,"body, ",,,,,,,,,,,,
region~state@medium_land~forested,region~state,medium,,"form, ",land~forested,,,"body, ",,,,,,,,,,,,
region~state@medium_land~grazing,region~state,medium,,"form, ",land~grazing,,,"body, ",,,,,,,,,,,,
region~state@medium_land~ice-covered,region~state,medium,,"form, ",land~ice-covered,,,"body, ",,,,,,,,,,,,
region~state@medium_land~irrigated,region~state,medium,,"form, ",land~irrigated,,,"body, ",,,,,,,,,,,,
region~state@medium_land~lake-covered,region~state,medium,,"form, ",land~lake-covered,,,"body, ",,,,,,,,,,,,
region~state@medium_land~private,region~state,medium,,"form, ",land~private,,,"body, ",,,,,,,,,,,,
region~state@medium_land~public,region~state,medium,,"form, ",land~public,,,"body, ",,,,,,,,,,,,
region~state@medium_land~residential,region~state,medium,,"form, ",land~residential,,,"body, ",,,,,,,,,,,,
region~state@medium_land~snow-covered,region~state,medium,,"form, ",land~snow-covered,,,"body, ",,,,,,,,,,,,
region~state@medium_land~urban,region~state,medium,,"form, ",land~urban,,,"body, ",,,,,,,,,,,,
