matter_taxonomic,matter_id,matter_label,attribute,synonym,plural_of,wikipedia_page
compound,"1,2-dichloro-1,1,2-trifluoroethane","1,2-dichloro-1,1,2-trifluoroethane",,,,
compound,"1,2-dichlorobenzene","1,2-dichlorobenzene",,o-dichlorobenzene,,"https://en.wikipedia.org/wiki/1,2-Dichlorobenzene"
compound,"1,2-dichloroethane","1,2-dichloroethane",,"ethylene-dichloride, edc",,"https://en.wikipedia.org/wiki/1,2-Dichloroethane"
compound,"1,2-dichloroethene","1,2-dichloroethene",,"1,2-dichloroethylene",,"https://en.wikipedia.org/wiki/1,2-Dichloroethene"
compound,"1,2-dichloropropane","1,2-dichloropropane",,,,"https://en.wikipedia.org/wiki/1,2-Dichloropropane"
compound,"1,2-dichloropropene","1,2-dichloropropene",,,,
compound,"1,2-dimethylnaphthalene","1,2-dimethylnaphthalene",,,,
compound,"1,2-diphenylhydrazine","1,2-diphenylhydrazine",,hydrazobenzone,,"https://en.wikipedia.org/wiki/1,2-diphenylhydrazine"
compound,"1,2,3-trichlorobenzene","1,2,3-trichlorobenzene",,,,
compound,"1,2,3-trichloropropane","1,2,3-trichloropropane",,,,"https://en.wikipedia.org/wiki/1,2,3-Trichloropropane"
compound,"1,2,3-trimethylbenzene","1,2,3-trimethylbenzene",,,,"https://en.wikipedia.org/wiki/1,2,3-Trimethylbenzene"
compound,"1,2,3,4-tetramethylbenzene","1,2,3,4-tetramethylbenzene",,,,
compound,"1,2,3,4,6,7,8-heptachlorodibenzo-p-dioxin","1,2,3,4,6,7,8-heptachlorodibenzo-p-dioxin",,,,
compound,"1,2,3,4,6,7,8-heptachlorodibenzofuran","1,2,3,4,6,7,8-heptachlorodibenzofuran",,,,
compound,"1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin","1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin",,,,
compound,"1,2,3,4,6,7,8,9-octachlorodibenzofuran","1,2,3,4,6,7,8,9-octachlorodibenzofuran",,,,
compound,"1,2,3,4,7,8-hexachlorodibenzo-p-dioxin","1,2,3,4,7,8-hexachlorodibenzo-p-dioxin",,,,
compound,"1,2,3,4,7,8-hexachlorodibenzofuran","1,2,3,4,7,8-hexachlorodibenzofuran",,,,
compound,"1,2,3,4,7,8,9-heptachlorodibenzofuran","1,2,3,4,7,8,9-heptachlorodibenzofuran",,,,
compound,"1,2,3,5-tetramethylbenzene","1,2,3,5-tetramethylbenzene",,,,
compound,"1,2,3,6,7,8-hexachlorodibenzo-p-dioxin","1,2,3,6,7,8-hexachlorodibenzo-p-dioxin",,,,
compound,"1,2,3,6,7,8-hexachlorodibenzofuran","1,2,3,6,7,8-hexachlorodibenzofuran",,,,
compound,"1,2,3,7,8-pentachlorodibenzo-p-dioxin","1,2,3,7,8-pentachlorodibenzo-p-dioxin",,,,
compound,"1,2,3,7,8-pentachlorodibenzofuran","1,2,3,7,8-pentachlorodibenzofuran",,,,
compound,"1,2,3,7,8,9-hexachlorodibenzofuran","1,2,3,7,8,9-hexachlorodibenzofuran",,,,
compound,"1,2,4-trichlorobenzene","1,2,4-trichlorobenzene",,,,"https://en.wikipedia.org/wiki/1,2,4-Trichlorobenzene"
compound,"1,2,4-trimethylbenzene","1,2,4-trimethylbenzene",,,,"https://en.wikipedia.org/wiki/1,2,4-Trimethylbenzene"
compound,"1,2,4,5-tetrachlorobenzene","1,2,4,5-tetrachlorobenzene",,,,
compound,"1,2,4,5-tetramethylbenzene","1,2,4,5-tetramethylbenzene",,durene,,https://en.wikipedia.org/wiki/Durene
compound,"1,3-dichlorobenzene","1,3-dichlorobenzene",,m-dichlorobenzene,,"https://en.wikipedia.org/wiki/1,3-Dichlorobenzene"
compound,"1,3-dichloropropane","1,3-dichloropropane",,,,"https://en.wikipedia.org/wiki/1,3-Dichloropropane"
compound,"1,3-dichloropropene","1,3-dichloropropene",,,,"https://en.wikipedia.org/wiki/1,3-Dichloropropene"
compound,"1,3-dinitrobenzene","1,3-dinitrobenzene",,m-dinitrobenzene,,https://en.wikipedia.org/wiki/Dinitrobenzene
compound,"1,3,5-trichlorobenzene","1,3,5-trichlorobenzene",,,,"https://en.wikipedia.org/wiki/1,3,5-Trichlorobenzene"
compound,"1,3,5-trimethylbenzene","1,3,5-trimethylbenzene",,,,https://en.wikipedia.org/wiki/Mesitylene
compound,"1,3,5-trinitrobenzene","1,3,5-trinitrobenzene",,,,"https://en.wikipedia.org/wiki/1,3,5-Trinitrobenzene"
compound,"1,4-dichlorobenzene","1,4-dichlorobenzene",,p-dichlorobenzene,,"https://en.wikipedia.org/wiki/1,4-Dichlorobenzene"
compound,"1,4-diethylbenzene","1,4-diethylbenzene",,,,
compound,"1,4-dioxane","1,4-dioxane",,,,"https://en.wikipedia.org/wiki/1,4-Dioxane"
compound,"1,4-naphthoquinone","1,4-naphthoquinone",,,,"https://en.wikipedia.org/wiki/1,4-Naphthoquinone"
compound,"1,6-dimethylnaphthalene","1,6-dimethylnaphthalene",,,,
compound,17-alpha-ethynylestradiol,17-alpha-ethynylestradiol,,"ethinyl-estradiol, ethinylestradiol",,https://en.wikipedia.org/wiki/Ethinylestradiol
compound,17-beta-estradiol,17-beta-estradiol,,estradiol,,https://en.wikipedia.org/wiki/Estradiol
compound,2-(2-butoxyethoxy)ethyl-acetate,2-(2-butoxyethoxy)ethyl-acetate,,diethylene-glycol-monobutyl-ether-acetate,,
compound,2-(4-tert-butylphenoxy)-cyclohexanol,2-(4-tert-butylphenoxy)-cyclohexanol,,,,
compound,2-(methylthio)benzothiazole,2-(methylthio)benzothiazole,,,,
compound,2-acetylaminofluorene,2-acetylaminofluorene,,,,https://en.wikipedia.org/wiki/2-Acetylaminofluorene
compound,"2-amino-4,6-dinitrotoluene","2-amino-4,6-dinitrotoluene",,,,
compound,"2-amino-9h-pyrido[2,3-b]indole","2-amino-9h-pyrido[2,3-b]indole",,,,
compound,2-amino-n-isopropylbenzamide,2-amino-n-isopropylbenzamide,,"benzamide,-2-amino-n-(1-methylethyl)-",,
compound,2-aminobenzimidazole,2-aminobenzimidazole,,1h-benzimidazol-2-amine,,
compound,2-bromo-1-chloropropane,2-bromo-1-chloropropane,,"propane,-2-bromo-1-chloro-",,https://en.wikipedia.org/wiki/2-Bromo-1-chloropropane
compound,2-chloro-4-isopropylamino-6-amino-s-triazine,2-chloro-4-isopropylamino-6-amino-s-triazine,,,,
compound,2-chloro-6-ethylamino-4-amino-s-triazine,2-chloro-6-ethylamino-4-amino-s-triazine,,,,
compound,2-chloroaniline,2-chloroaniline,,o-chloroaniline,,
compound,2-chloroethyl-vinyl-ether,2-chloroethyl-vinyl-ether,,,,
compound,2-chloronaphthalene,2-chloronaphthalene,,,,https://en.wikipedia.org/wiki/2-Chloronaphthalene
compound,2-chlorophenol,2-chlorophenol,,o-chlorophenol,,https://en.wikipedia.org/wiki/2-Chlorophenol
compound,2-chlorotoluene,2-chlorotoluene,,o-Chlorotoluene,,https://en.wikipedia.org/wiki/2-Chlorotoluene
compound,"2-cyclohexyl-4,6-dinitrophenol","2-cyclohexyl-4,6-dinitrophenol",,dinex,,
compound,2-ethyl-6-methylaniline,2-ethyl-6-methylaniline,,,,
compound,2-ethylnaphthalene,2-ethylnaphthalene,,,,
compound,2-ethyltoluene,2-ethyltoluene,,o-ethyltoluene,,
compound,2-hydroxy-4-(n-octyloxy)benzophenone,2-hydroxy-4-(n-octyloxy)benzophenone,,,,
compound,2-hydroxy-4-isopropylamino-6-ethylamino-s-triazine,2-hydroxy-4-isopropylamino-6-ethylamino-s-triazine,,,,
compound,2-hydroxy-4-methoxybenzophenone,2-hydroxy-4-methoxybenzophenone,,,,
compound,2-isopropyl-6-methyl-4-pyrimidinol,2-isopropyl-6-methyl-4-pyrimidinol,,,,
compound,2-methyl-2-butene,2-methyl-2-butene,,"2-butene,-2-methyl-",,https://en.wikipedia.org/wiki/2-Methyl-2-butene
compound,"2-methyl-4,6-dinitrophenol","2-methyl-4,6-dinitrophenol",,"4,6-dinitro-o-cresol, dinitro-ortho-cresol",,https://en.wikipedia.org/wiki/Dinitro-ortho-cresol
compound,2-methylanthracene,2-methylanthracene,,,,
compound,2-methylbutane,2-methylbutane,,isopentane,,https://en.wikipedia.org/wiki/Isopentane
compound,2-methylnaphthalene,2-methylnaphthalene,,,,https://en.wikipedia.org/wiki/2-Methylnaphthalene
compound,2-methylpentane,2-methylpentane,,"pentane,-2-methyl-",,https://en.wikipedia.org/wiki/2-Methylpentane
compound,2-naphthylamine,2-naphthylamine,,,,https://en.wikipedia.org/wiki/2-Naphthylamine
compound,2-nitroaniline,2-nitroaniline,,o-nitroaniline,,https://en.wikipedia.org/wiki/2-Nitroaniline
