phenomenon_id,participant1,participant1cat,participant1cattype,participant1class,participant2,participant2cat,participant2cattype,participant2class,participant3,participant3cat,participant3cattype,participant3class,participant4,participant4cat,participant4cattype,participant4class,participant5,participant5cat,participant5cattype,participant5class
(atmosphere_datum~vertical~tidal~msl)@context~in_(air_flowing),atmosphere_datum~vertical~tidal~msl,context,in,"phenomenon, ",air_flowing,,,"phenomenon, ",,,,,,,,,,,,
(atmosphere_top)@context~in_air,atmosphere_top,context,in,"body, ",air,,,"matter, ",,,,,,,,,,,,
(atmosphere_top)@context~sink_radiation~incoming,atmosphere_top,context,sink,"body, ",radiation~incoming,,,"phenomenon, ",,,,,,,,,,,,
(atmosphere_top)@context~sink_radiation~incoming~longwave,atmosphere_top,context,sink,"body, ",radiation~incoming~longwave,,,"phenomenon, ",,,,,,,,,,,,
(atmosphere_top)@context~sink_radiation~incoming~shortwave,atmosphere_top,context,sink,"body, ",radiation~incoming~shortwave,,,"phenomenon, ",,,,,,,,,,,,
(atmosphere_top)@context~source_radiation~outgoing,atmosphere_top,context,source,"body, ",radiation~outgoing,,,"phenomenon, ",,,,,,,,,,,,
(atmosphere_top)@context~source_radiation~outgoing~longwave,atmosphere_top,context,source,"body, ",radiation~outgoing~longwave,,,"phenomenon, ",,,,,,,,,,,,
(atmosphere_top)@context~source_radiation~outgoing~shortwave,atmosphere_top,context,source,"body, ",radiation~outgoing~shortwave,,,"phenomenon, ",,,,,,,,,,,,
(atmosphere_top_surface)@context~sink_radiation~incoming~longwave,atmosphere_top_surface,context,sink,"phenomenon, ",radiation~incoming~longwave,,,"phenomenon, ",,,,,,,,,,,,
(atmosphere_top_surface)@context~sink_radiation~incoming~shortwave,atmosphere_top_surface,context,sink,"phenomenon, ",radiation~incoming~shortwave,,,"phenomenon, ",,,,,,,,,,,,
(basin~drainage_bankfull)@context~part_outlet,basin~drainage_bankfull,context,part,"body, ",outlet,,,"role, ",,,,,,,,,,,,
(benzene_molecule)@context~part_bond~c-c-c,benzene_molecule,context,part,"body, ",bond~c-c-c,,,"phenomenon, ",,,,,,,,,,,,
(carbon_isotope)@context~part_neutron,carbon_isotope,context,part,"body, ",neutron,,,"matter, ",,,,,,,,,,,,
(carbon_pool~stabilized)@context~in_carbon,carbon_pool~stabilized,context,in,"body, ",carbon,,,"matter, ",,,,,,,,,,,,
(cesium_atom)@context~part_neutron,cesium_atom,context,part,"body, ",neutron,,,"matter, ",,,,,,,,,,,,
(cesium_atom)@context~part_proton,cesium_atom,context,part,"body, ",proton,,,"matter, ",,,,,,,,,,,,
(channel@context~in_(water_surface))@context~above_air,channel@context~in_(water_surface),context,above,,air,,,"matter, ",,,,,,,,,,,,
(channel@context~part_bank)@context~on_(sediment@medium_saturated_water),channel@context~part_bank,context,on,,sediment@medium_saturated_water,,,,,,,,,,,,,,,
(channel@context~part_entrance)@context~at_(water_flowing_x-section),channel@context~part_entrance,context,at,,water_flowing_x-section,,,"phenomenon, ",,,,,,,,,,,,
(channel@context~part_exit)@context~at_((water_flowing_x-section)@medium_sediment~suspended),channel@context~part_exit,context,at,,(water_flowing_x-section)@medium_sediment~suspended,,,,,,,,,,,,,,,
(channel@context~part_exit)@context~at_(water_flowing_x-section),channel@context~part_exit,context,at,,water_flowing_x-section,,,"phenomenon, ",,,,,,,,,,,,
(channel@context~part_exit)@context~at_(water_x-section),channel@context~part_exit,context,at,,water_x-section,,,"phenomenon, ",,,,,,,,,,,,
(channel_bottom)@context~at_((water_flowing)@medium_(sediment_grain)),channel_bottom,context,at,"form, ",(water_flowing)@medium_(sediment_grain),,,,,,,,,,,,,,,
(channel_bottom)@context~at_((water_flowing)@medium_sediment),channel_bottom,context,at,"form, ",(water_flowing)@medium_sediment,,,,,,,,,,,,,,,
(channel_bottom)@context~at_(water_flowing),channel_bottom,context,at,"form, ",water_flowing,,,"phenomenon, ",,,,,,,,,,,,
(channel_bottom)@context~at_water,channel_bottom,context,at,"form, ",water,,,"matter, ",,,,,,,,,,,,
(channel_bottom)@context~on_(sediment@medium_saturated_water),channel_bottom,context,on,"form, ",sediment@medium_saturated_water,,,,,,,,,,,,,,,
(channel_bottom)@context~on_(sediment@role~sink_oxygen~dissolved@role~main_consumption),channel_bottom,context,on,"form, ",sediment@role~sink_oxygen~dissolved@role~main_consumption,,,,,,,,,,,,,,,
(channel_bottom)@context~on_(sediment_grain),channel_bottom,context,on,"form, ",sediment_grain,,,"body, ",,,,,,,,,,,,
(channel_bottom)@context~on_sediment,channel_bottom,context,on,"form, ",sediment,,,"matter, ",,,,,,,,,,,,
(channel~main@context~part_entrance)@context~in_((water_flowing)@medium_sediment~suspended),channel~main@context~part_entrance,context,in,,(water_flowing)@medium_sediment~suspended,,,,,,,,,,,,,,,
(channel~main@context~part_entrance)@context~in_((water_flowing)@medium_transportation_sediment~suspended),channel~main@context~part_entrance,context,in,,(water_flowing)@medium_transportation_sediment~suspended,,,,,,,,,,,,,,,
(channel~main@context~part_entrance)@context~in_(water@context~in_(sediment@context~in_(sand_grain))),channel~main@context~part_entrance,context,in,,water@context~in_(sediment@context~in_(sand_grain)),,,,,,,,,,,,,,,
(channel~main@context~part_entrance)@context~in_(water@context~in_(sediment@medium_clay)),channel~main@context~part_entrance,context,in,,water@context~in_(sediment@medium_clay),,,,,,,,,,,,,,,
(channel~main@context~part_entrance)@context~in_(water@context~in_(sediment@medium_sand)),channel~main@context~part_entrance,context,in,,water@context~in_(sediment@medium_sand),,,,,,,,,,,,,,,
(channel~main@context~part_entrance)@context~in_(water@context~in_(sediment@medium_silt)),channel~main@context~part_entrance,context,in,,water@context~in_(sediment@medium_silt),,,,,,,,,,,,,,,
(channel~main@context~part_entrance)@context~in_(water@medium_sediment~suspended),channel~main@context~part_entrance,context,in,,water@medium_sediment~suspended,,,,,,,,,,,,,,,
(channel~main@context~part_entrance)@context~in_(water_flowing_x-section),channel~main@context~part_entrance,context,in,,water_flowing_x-section,,,"phenomenon, ",,,,,,,,,,,,
(channel~main@context~part_entrance)@context~in_(water_x-section),channel~main@context~part_entrance,context,in,,water_x-section,,,"phenomenon, ",,,,,,,,,,,,
(channel~main@context~part_entrance)@context~in_(water_x-section_top),channel~main@context~part_entrance,context,in,,water_x-section_top,,,"phenomenon, ",,,,,,,,,,,,
(channel~river_bed)@context~sink_(water_flowing),channel~river_bed,context,sink,"body, ",water_flowing,,,"phenomenon, ",,,,,,,,,,,,
(channel~river_bed)@context~source_(water_flowing),channel~river_bed,context,source,"body, ",water_flowing,,,"phenomenon, ",,,,,,,,,,,,
(channel~stream@context~part_reach)@context~sink_(water_flowing),channel~stream@context~part_reach,context,sink,,water_flowing,,,"phenomenon, ",,,,,,,,,,,,
