phenomenon_id,participant1,participant1cat,participant1cattype,participant1class,participant2,participant2cat,participant2cattype,participant2class,participant3,participant3cat,participant3cattype,participant3class,participant4,participant4cat,participant4cattype,participant4class,participant5,participant5cat,participant5cattype,participant5class
(glacier@context~in_ice)_(glacier_bed)@reference~above,glacier@context~in_ice,,,,glacier_bed,reference,above,"body, ",,,,,,,,,,,,
(grain@context~in_nitrogen)_(crop_harvest)@reference~at,grain@context~in_nitrogen,,,,crop_harvest,reference,at,"phenomenon, ",,,,,,,,,,,,
(grid_shell)_(grid_bottom)@reference~from,grid_shell,,,"abstraction, ",grid_bottom,reference,from,"abstraction, ",,,,,,,,,,,,
(grid_shell)_(grid_bottom)@reference~to,grid_shell,,,"abstraction, ",grid_bottom,reference,to,"abstraction, ",,,,,,,,,,,,
(grid_shell)_(grid_top)@reference~from,grid_shell,,,"abstraction, ",grid_top,reference,from,"abstraction, ",,,,,,,,,,,,
(grid_shell)_(grid_top)@reference~to,grid_shell,,,"abstraction, ",grid_top,reference,to,"abstraction, ",,,,,,,,,,,,
(ground@context~above_residue~remaining)_(crop_harvest)@reference~at,ground@context~above_residue~remaining,,,,crop_harvest,reference,at,"phenomenon, ",,,,,,,,,,,,
(mars_surface_viewpoint)@reference~at_(venus_rising),mars_surface_viewpoint,reference,at,"phenomenon, ",venus_rising,,,"phenomenon, ",,,,,,,,,,,,
(mars_surface_viewpoint)@reference~at_(venus_setting),mars_surface_viewpoint,reference,at,"phenomenon, ",venus_setting,,,"phenomenon, ",,,,,,,,,,,,
(plant@context~part_root)_(grain_harvest)@reference~at_(grain_death)@reference~at_(forage_harvest)@reference~at_(forage_death)@reference~at,plant@context~part_root,,,,grain_harvest,reference,at,"phenomenon, ",grain_death,reference,at,"phenomenon, ",forage_harvest,reference,at,"phenomenon, ",forage_death,reference,at,"phenomenon, "
(projectile_trajectory_target)@reference~at_projectile,projectile_trajectory_target,reference,at,"phenomenon, ",projectile,,,"role, ",,,,,,,,,,,,
(sea@context~in_water)_(sea_bottom)@reference~above,sea@context~in_water,,,,sea_bottom,reference,above,"body, ",,,,,,,,,,,,
(sea@context~in_water)_(sea_surface)@reference~below,sea@context~in_water,,,,sea_surface,reference,below,"phenomenon, ",,,,,,,,,,,,
(sea_water)_(sea_bottom)@reference~to,sea_water,,,"body, ",sea_bottom,reference,to,"body, ",,,,,,,,,,,,
(soil@context~medium_macropores)_(land_surface)@reference~below,soil@context~medium_macropores,,,,land_surface,reference,below,"phenomenon, ",,,,,,,,,,,,
bedrock_(land_surface)@reference~below,bedrock,,,"body, ",land_surface,reference,below,"phenomenon, ",,,,,,,,,,,,
forage-or-residue~removed_(crop_harvest)@reference~at,forage-or-residue~removed,,,"role, ",crop_harvest,reference,at,"phenomenon, ",,,,,,,,,,,,
location@reference~at_(mars_rising),location,reference,at,"abstraction, part, ",mars_rising,,,"phenomenon, ",,,,,,,,,,,,
plant_(grain_harvest)@reference~at_(grain_death)@reference~at_(forage_harvest)@reference~at_(forage_death)@reference~at,plant,,,"body, ",grain_harvest,reference,at,"phenomenon, ",grain_death,reference,at,"phenomenon, ",forage_harvest,reference,at,"phenomenon, ",forage_death,reference,at,"phenomenon, "
soil_(bedrock_top)@reference~above,soil,,,"matter, ",bedrock_top,reference,above,"body, ",,,,,,,,,,,,
submarine_(sea_floor)@reference~above,submarine,,,"body, ",sea_floor,reference,above,"body, ",,,,,,,,,,,,
water_(land_surface)@reference~below,water,,,"matter, ",land_surface,reference,below,"phenomenon, ",,,,,,,,,,,,
