abstraction_taxonomic,abstraction_id,abstraction_label,abstraction,abstraction_applied,part,attribute,synonym,plural_of,wikipedia_page
curve,peano-curve,peano-curve,,,,,,,https://en.wikipedia.org/wiki/Peano_curve
,plan,plan,,,,,,,
,plane,plane,,,,,,,https://en.wikipedia.org/wiki/Plane_(geometry)
,point,point,,,,,,,https://en.wikipedia.org/wiki/Point
,point-set,point-set,,,,,,,
,points,points,,,,,,point,
shape,polygon,polygon,,,,,,,http://en.wikipedia.org/wiki/Polygon
expression,polynomial,polynomial,,,,,,,https://en.wikipedia.org/wiki/Polynomial
,profile,profile,,,,,,,
,profile_bottom,profile_bottom,profile,,bottom,,,,
line,ray,ray,,,,,,,https://en.wikipedia.org/wiki/Line_(geometry)#Ray
,response-filter,response-filter,,,,,,,
,row-major-offset,row-major-offset,,,,,,,
,shape,shape,,,,,,,https://en.wikipedia.org/wiki/Shape
point-set,sierpinski-gasket,sierpinski-gasket,,,,,sierpinski-triangle,,https://en.wikipedia.org/wiki/Sierpinski_triangle
shape,sphere,sphere,,,,,,,http://en.wikipedia.org/wiki/Sphere
,sphere_surface,sphere_surface,sphere,surface,,,,,
shape,square,square,,,,,,,http://en.wikipedia.org/wiki/Square
shape,trapezoid,trapezoid,,,,,,,https://en.wikipedia.org/wiki/Trapezoid
shape,triangle,triangle,,,,,,,https://en.wikipedia.org/wiki/Triangle
"function, curve",wave~sine,wave~sine,,,,,,,https://en.wikipedia.org/wiki/Sine_wave
