body_taxonomic,body_id,body_label,role,form,attribute,synonym,plural_of,wikipedia_page
,brachiopoda,brachiopoda,,,,,,https://en.wikipedia.org/wiki/Brachiopod
,brachycentridae,brachycentridae,,,,,,https://en.wikipedia.org/wiki/Brachycentridae
,brachycentrus,brachycentrus,,,,,,
,brachycentrus~americanus,brachycentrus~americanus,,,,,,
,brachydeutera,brachydeutera,,,,,,
,branchiobdellidae,branchiobdellidae,,,,,,
,branchiura,branchiura,,,,,,https://en.wikipedia.org/wiki/Branchiura
,bridge,bridge,,,,,,http://en.wikipedia.org/wiki/Bridge
,brillia,brillia,,,,,,https://en.wikipedia.org/wiki/Brillia
,bryophaenocladius,bryophaenocladius,,,,,,https://en.wikipedia.org/wiki/Bryophaenocladius
,calamoceratidae,calamoceratidae,,,,,,
,calanoida,calanoida,,,,,,https://en.wikipedia.org/wiki/Calanoida
,callinectes,callinectes,,,,,,https://en.wikipedia.org/wiki/Callinectes
,cambarellus,cambarellus,,,,,,https://en.wikipedia.org/wiki/Cambarellus
,cambarus,cambarus,,,,,,https://en.wikipedia.org/wiki/Cambarus
cambarus,cambarus~bartoni,cambarus~bartoni,,,,cambarus~bartonii,,https://en.wikipedia.org/wiki/Cambarus_bartonii
cambarus,cambarus~diogenes,cambarus~diogenes,,,,,,https://en.wikipedia.org/wiki/Cambarus_diogenes
,campsicnemus,campsicnemus,,,,,,https://en.wikipedia.org/wiki/Campsicnemus
,camptocercus,camptocercus,,,,,,
,canaceidae,canaceidae,,,,,,
,cancer,cancer,,,,,,https://en.wikipedia.org/wiki/Cancer_(genus)
,cancridae,cancridae,,,,,,https://en.wikipedia.org/wiki/Cancridae
,candocypria,candocypria,,,,,,
,candona,candona,,,,,,https://en.wikipedia.org/wiki/Candona
,canthocamptus,canthocamptus,,,,,,https://en.wikipedia.org/wiki/Canthocamptus
,cantopelopia,cantopelopia,,,,,,
,capitellidae,capitellidae,,,,,,https://en.wikipedia.org/wiki/Capitellidae
,caprella,caprella,,,,,,https://en.wikipedia.org/wiki/Caprella
,caprellidae,caprellidae,,,,,,https://en.wikipedia.org/wiki/Caprellidae
,cardiocladius,cardiocladius,,,,,,https://en.wikipedia.org/wiki/Cardiocladius
,carinomidae,carinomidae,,,,,,
,carp,carp,,,,,,https://en.wikipedia.org/wiki/Carp
carp,carp~bighead,carp~bighead,,,,hypophthalmichthys~nobilis,,https://en.wikipedia.org/wiki/Bighead_carp
carp,carp~silver,carp~silver,,,,hypophthalmichthys~molitrix,,https://en.wikipedia.org/wiki/Silver_carp
,platelet,platelet,,cell,,,,https://en.wikipedia.org/wiki/Platelet
,red-blood-cell,red-blood-cell,,cell,,,,https://en.wikipedia.org/wiki/Red_blood_cell
,white-blood-cell,white-blood-cell,,cell,,,,https://en.wikipedia.org/wiki/White_blood_cell
,cephalodella,cephalodella,,,,,,https://en.wikipedia.org/wiki/Cephalodella
,cephalothricidae,cephalothricidae,,,,,,
,ceraclea,ceraclea,,,,,,
,ceratopogon,ceratopogon,,,,,,
,ceratopogonidae,ceratopogonidae,,,,,,https://en.wikipedia.org/wiki/Ceratopogonidae
,cerebratulus,cerebratulus,,,,,,
,ceriodaphnia,ceriodaphnia,,,,,,
,cernotina,cernotina,,,,,,
,chaetocladius,chaetocladius,,,,,,https://en.wikipedia.org/wiki/Chaetocladius
,chaetogaster,chaetogaster,,,,,,https://en.wikipedia.org/wiki/Chaetogaster
,chaetognatha,chaetognatha,,,,arrowworm,,https://en.wikipedia.org/wiki/Chaetognatha
,chaetopteridae,chaetopteridae,,,,,,https://en.wikipedia.org/wiki/Chaetopteridae
,river,river,,channel,,,,https://en.wikipedia.org/wiki/River
,stream,stream,,channel,,,,https://en.wikipedia.org/wiki/Stream
,rivers,rivers,,channels,,,river,
,chaoboridae,chaoboridae,,,,,,https://en.wikipedia.org/wiki/Chaoboridae
,chaoborus,chaoborus,,,,glassworm,,https://en.wikipedia.org/wiki/Glassworm
,chelifera,chelifera,,,,,,
,cheumatopsyche,cheumatopsyche,,,,,,
,chilo,chilo,,,,,,https://en.wikipedia.org/wiki/Chilo_(moth)
,chilostigma,chilostigma,,,,,,https://en.wikipedia.org/wiki/Chilostigma
,chilostigmodes,chilostigmodes,,,,,,
,chimarra,chimarra,,,,,,
,chironomidae,chironomidae,,,,lake-fly,,https://en.wikipedia.org/wiki/Chironomidae
,chironomus,chironomus,,,,,,https://en.wikipedia.org/wiki/Chironomus
,chlorohydra,chlorohydra,,,,,,
,chrysendeton,chrysendeton,,,,,,https://en.wikipedia.org/wiki/Chrysendeton
,chrysopetalidae,chrysopetalidae,,,,,,https://en.wikipedia.org/wiki/Chrysopetalidae
,chrysops,chrysops,,,,deer-fly,,https://en.wikipedia.org/wiki/Deer_fly
,chydoridae,chydoridae,,,,,,
,cirratulidae,cirratulidae,,,,,,https://en.wikipedia.org/wiki/Cirratulidae
,cirriformia,cirriformia,,,,,,https://en.wikipedia.org/wiki/Cirriformia
,cladopelma,cladopelma,,,,,,https://en.wikipedia.org/wiki/Cladopelma
,cladotanytarsus,cladotanytarsus,,,,,,https://en.wikipedia.org/wiki/Cladotanytarsus
,clavidae,clavidae,,,,hydractiniidae,,https://en.wikipedia.org/wiki/Hydractiniidae
,clinocera,clinocera,,,,,,
,clinotanypus,clinotanypus,,,,,,https://en.wikipedia.org/wiki/Clinotanypus
,clistoronia,clistoronia,,,,,,
,clitellio,clitellio,,,,,,
,clostoeca,clostoeca,,,,,,
,clostridium,clostridium,,,,,,https://en.wikipedia.org/wiki/Clostridium
clostridium,clostridium~perfringens,clostridium~perfringens,,,,,,https://en.wikipedia.org/wiki/Clostridium_perfringens
,clunio,clunio,,,,,,https://en.wikipedia.org/wiki/Clunio
,cnephia,cnephia,,,,,,https://en.wikipedia.org/wiki/Cnephia
,cnidaria,cnidaria,,,,,,https://en.wikipedia.org/wiki/Cnidaria
,coelotanypus,coelotanypus,,,,,,
coelotanypus,coelotanypus~scapularis,coelotanypus~scapularis,,,,,,
