phenomenon_taxonomic,phenomenon_id,phenomenon_label,phenomenon,form,matter,part,abstraction,process,attribute,trajectory_direction,associated_process,synonym,plural_of,wikipedia_page,,
,wave~incoming~deepwater,wave~incoming~deepwater,,,,,,,deepwater,incoming,,,,,,
wave,wave~airy,wave~airy,,,,,,,airy,,,,,https://en.wikipedia.org/wiki/Airy_wave_theory#Mathematical_formulation_of_the_wave_motion,,
wave,wave~breaking,wave~breaking,,,,,,,,,breaking,,,https://en.wikipedia.org/wiki/Breaking_wave,,
wave,wave~cnoidal,wave~cnoidal,,,,,,,cnoidal,,,,,https://en.wikipedia.org/wiki/Cnoidal_wave,,
wave,wave~deepwater,wave~deepwater,,,,,,,,,,,,,,
wave,wave~electromagnetic,wave~electromagnetic,,,,,,,electromagnetic,,,,,https://en.wikipedia.org/wiki/Electromagnetic_radiation,,
wave,wave~gravity,wave~gravity,,,,,,,,,,,,https://en.wikipedia.org/wiki/Gravity_wave,,
wave~gravity,wave~gravity~internal,wave~gravity~internal,,,,,,,internal,,,,,https://en.wikipedia.org/wiki/Internal_wave,,
wave~gravity,wave~gravity~nonorographic,wave~gravity~nonorographic,,,,,,,nonorographic,,,,,,,
wave~gravity,wave~gravity~orographic,wave~gravity~orographic,,,,,,,orographic,,,,,,,
wave,wave~mechanical,wave~mechanical,,,,,,,mechanical,,,,,https://en.wikipedia.org/wiki/Mechanical_wave,,
wave~mechanical,wave~acoustic,wave~acoustic,,,,,,,acoustic,,,sound,,"https://en.wikipedia.org/wiki/Acoustic_wave, https://en.wikipedia.org/wiki/Sound",,
wave~mechanical,swell,swell,,,,,,,,,,,,https://en.wikipedia.org/wiki/Swell_(ocean),,
swell,swell~primary,swell~primary,,,,,,,primary,,,,,,,
swell,swell~secondary,swell~secondary,,,,,,,secondary,,,,,,,
wave,wave~seismic,wave~seismic,,,,,,,seismic,,,,,https://en.wikipedia.org/wiki/Seismic_wave,,
wave~seismic,wave~seismic~love,wave~seismic~love,,,,,,,,,,,,http://en.wikipedia.org/wiki/Seismic_wave#Love_waves,,
wave~seismic,wave~seismic~p,wave~seismic~p,,,,,,,,,,,,https://en.wikipedia.org/wiki/P-wave,,
wave~seismic,wave~seismic~rayleigh,wave~seismic~rayleigh,,,,,,,,,,,,https://en.wikipedia.org/wiki/Seismic_wave#Rayleigh_waves,,
wave~seismic,wave~seismic~s,wave~seismic~s,,,,,,,,,,,,https://en.wikipedia.org/wiki/S-wave,,
wave~seismic,wave~seismic~sh,wave~seismic~sh,,,,,,,,,,,,,,
wave,wave~stokes,wave~stokes,,,,,,,,,,,,https://en.wikipedia.org/wiki/Stokes_wave,,
wave~seismic,wave~seismic~sv,wave~seismic~sv,,,,,,,,,,,,,,
,waves,waves,,,,,,,,,,,wave,,,
waves,waves~gravity,waves~gravity,,,,,,,,,,,,,,
waves~gravity,waves~gravity~orographic,waves~gravity~orographic,,,,,,,orographic,,,,,,,
,wind,wind,,,,,,,,,,,,http://en.wikipedia.org/wiki/Wind,,
,twilight,twilight,,,,,,,,,,,,https://en.wikipedia.org/wiki/Twilight,,
,updraft,updraft,,,,,,,,,,draft~vertical,,https://en.wikipedia.org/wiki/Vertical_draft,,
,upheaval,upheaval,,,,,,,,,,,,,,
,tide,tide,,,,,,,,,,,,http://en.wikipedia.org/wiki/Tide,,
,tides,tides,,,,,,,,,,,tide,,,
,triage,triage,,,,,,,,,,,,https://en.wikipedia.org/wiki/Triage,,
,cirrhosis,cirrhosis,,,,,,,,,,,,https://en.wikipedia.org/wiki/Cirrhosis,,
,coincidence,coincidence,,,,,,,,,,,,https://en.wikipedia.org/wiki/Coincidence,,
,cryopreservation,cryopreservation,,,,,,,,,,,,https://en.wikipedia.org/wiki/Cryopreservation,,
,cryosuction,cryosuction,,,,,,,,,,,,https://en.wikipedia.org/wiki/Cryosuction,,
,cryoturbation,cryoturbation,,,,,,,,,,,,https://en.wikipedia.org/wiki/Cryoturbation,,
bond,bond~c-c-c,bond~c-c-c,,,,,,,,,bond,,,,,
bond,bond~c-h,bond~c-h,,,,,,,,,bond,,,https://en.wikipedia.org/wiki/Carbon%E2%80%93hydrogen_bond,,
bond,bond~h-c-c-h,bond~h-c-c-h,,,,,,,,,bond,,,,,
bond,bond~h-h,bond~h-h,,,,,,,,,bond,,,,,
bond,bond~h-o,bond~h-o,,,,,,,,,bond,,,,,
bond,bond~h-o-h,bond~h-o-h,,,,,,,,,bond,,,,,
bond,bond~n-n,bond~n-n,,,,,,,,,bond,,,,,
bond,bond~o-o,bond~o-o,,,,,,,,,bond,,,,,
cloud,cloud~convective,cloud~convective,,,,,,,convective,,,,,,,
cloud,cloud~high-type,cloud~high-type,,,,,,,high-type,,,,,"https://en.wikipedia.org/wiki/List_of_cloud_types#High-level_cirriform,_stratocumuliform,_and_stratiform",,
cloud,cloud~low-type,cloud~low-type,,,,,,,low-type,,,,,"https://en.wikipedia.org/wiki/List_of_cloud_types#Low-level_stratocumuliform,_cumuliform,_and_stratiform",,
cloud,cloud~medium-type,cloud~medium-type,,,,,,,medium-type,,,,,https://en.wikipedia.org/wiki/List_of_cloud_types#Mid-level_stratocumuliform_and_stratiform,,
cloud,cloud~stratiform,cloud~stratiform,,,,,,,stratiform,,,,,,,
,conjunction,conjunction,,,,,,,,,,,,https://en.wikipedia.org/wiki/Conjunction_(astronomy),,
,crevasse,crevasse,,,,,,,,,,,,https://en.wikipedia.org/wiki/Crevasse,,
cyclone,cyclone~tropical,cyclone~tropical,,,,,,,tropical,,,,,https://en.wikipedia.org/wiki/Tropical_cyclone,,
cyclone~tropical,cyclone~tropical~dvorak,cyclone~tropical~dvorak,,,,,,,,,,,,,,
day,day~sidereal,day~sidereal,,,,,,,sidereal,,,,,https://en.wikipedia.org/wiki/Sidereal_time,,
day,day~solar-mean,day~solar-mean,,,,,,,,,,,,https://en.wikipedia.org/wiki/Solar_time,,
day,day~stellar,day~stellar,,,,,,,stellar,,,,,https://en.wikipedia.org/wiki/Earth%27s_rotation#Stellar_day,,
,day,day,,,,,,,,,,,,https://en.wikipedia.org/wiki/Day,,
,equinox,equinox,,,,,,,,,,,,https://en.wikipedia.org/wiki/Equinox,,
,sunglint,sunglint,,,,,,,,,,,,https://en.wikipedia.org/wiki/Sunglint,,
,sunrise,sunrise,,,,,,,,,,,,https://en.wikipedia.org/wiki/Sunrise,,
,sunset,sunset,,,,,,,,,,sundown,,https://en.wikipedia.org/wiki/Sunset,,
,sunshine,sunshine,,,,,,,,,,,,https://en.wikipedia.org/wiki/Sunshine,,
front,frost-front,frost-front,,,,,,,,,,,,https://en.wikipedia.org/wiki/Frost_line,,
front,thawing-front,thawing-front,,,,,,,,,thaw,,,https://en.wikipedia.org/wiki/Thaw_(weather),,
front,wetting-front,wetting-front,,,,,,,,,wetting,,,,,
,front,front,,,,,,,,,,,,https://en.wikipedia.org/wiki/Front_(physics),,
,night,night,,,,,,,,,,,,https://en.wikipedia.org/wiki/Night,,
,solstice,solstice,,,,,,,,,,,,https://en.wikipedia.org/wiki/Solstice,,
,icefall,icefall,,,,,,,,,precipitation,,,,,
