phenomenon_id,participant1,participant1cat,participant1cattype,participant1class,participant2,participant2cat,participant2cattype,participant2class,participant3,participant3cat,participant3cattype,participant3class,participant4,participant4cat,participant4cattype,participant4class,participant5,participant5cat,participant5cattype,participant5class
(land_surface)@role~main_radiation~incoming~longwave@role~in_absorption,land_surface,role,main,"phenomenon, ",radiation~incoming~longwave,role,in,"phenomenon, ",absorption,,,"process, ",,,,,,,,
(land_surface)@role~main_radiation~incoming~longwave@role~in_emission,land_surface,role,main,"phenomenon, ",radiation~incoming~longwave,role,in,"phenomenon, ",emission,,,"process, ",,,,,,,,
(land_surface)@role~main_radiation~incoming~longwave@role~in_reflection,land_surface,role,main,"phenomenon, ",radiation~incoming~longwave,role,in,"phenomenon, ",reflection,,,"process, ",,,,,,,,
(land_surface)@role~main_radiation~incoming~shortwave@role~in_absorption,land_surface,role,main,"phenomenon, ",radiation~incoming~shortwave,role,in,"phenomenon, ",absorption,,,"process, ",,,,,,,,
(land_surface)@role~main_radiation~incoming~shortwave@role~in_reflection,land_surface,role,main,"phenomenon, ",radiation~incoming~shortwave,role,in,"phenomenon, ",reflection,,,"process, ",,,,,,,,
(land_surface)@role~main_radiation~outgoing~longwave@role~out_emission,land_surface,role,main,"phenomenon, ",radiation~outgoing~longwave,role,out,"phenomenon, ",emission,,,"process, ",,,,,,,,
(land_surface)@role~medium,land_surface,role,medium,"phenomenon, ",,,,,,,,,,,,,,,,
(land_surface)@role~sink_radiation~incoming@role~main_absorption,land_surface,role,sink,"phenomenon, ",radiation~incoming,role,main,"phenomenon, ",absorption,,,"process, ",,,,,,,,
(land_surface)@role~sink_radiation~incoming@role~main_reflection,land_surface,role,sink,"phenomenon, ",radiation~incoming,role,main,"phenomenon, ",reflection,,,"process, ",,,,,,,,
(land_surface)@role~sink_radiation~incoming~longwave@role~main_absorption,land_surface,role,sink,"phenomenon, ",radiation~incoming~longwave,role,main,"phenomenon, ",absorption,,,"process, ",,,,,,,,
(land_surface)@role~sink_radiation~incoming~longwave@role~main_reflection,land_surface,role,sink,"phenomenon, ",radiation~incoming~longwave,role,main,"phenomenon, ",reflection,,,"process, ",,,,,,,,
(land_surface)@role~sink_radiation~incoming~shortwave@role~main_absorption,land_surface,role,sink,"phenomenon, ",radiation~incoming~shortwave,role,main,"phenomenon, ",absorption,,,"process, ",,,,,,,,
(land_surface)@role~sink_radiation~incoming~shortwave@role~main_backscatter,land_surface,role,sink,"phenomenon, ",radiation~incoming~shortwave,role,main,"phenomenon, ",backscatter,,,"process, ",,,,,,,,
(land_surface)@role~sink_radiation~incoming~shortwave@role~main_reflection,land_surface,role,sink,"phenomenon, ",radiation~incoming~shortwave,role,main,"phenomenon, ",reflection,,,"process, ",,,,,,,,
(land_surface)@role~source_air@role~sink,land_surface,role,source,"phenomenon, ",air,role,sink,"matter, ",,,,,,,,,,,,
(land_surface)@role~source_radiation~outgoing~longwave@role~main_emission,land_surface,role,source,"phenomenon, ",radiation~outgoing~longwave,role,main,"phenomenon, ",emission,,,"process, ",,,,,,,,
(land~vegetated_floor)@role~sink_water@role~main_interception,land~vegetated_floor,role,sink,"body, ",water,role,main,"matter, ",interception,,,"process, ",,,,,,,,
(model@context~in_(grid_axis~x))@role~first_(model@context~in_axis~east)@role~second,model@context~in_(grid_axis~x),role,first,,model@context~in_axis~east,role,second,,,,,,,,,,,,,
(sea@context~adjacent_(shoreline_axis~x))@role~first_axis~east@role~second,sea@context~adjacent_(shoreline_axis~x),role,first,,axis~east,role,second,"abstraction, ",,,,,,,,,,,,
(sea@context~at_(ice_bottom))@role~source_(sea@context~in_water)@role~sink_salt@role~main,sea@context~at_(ice_bottom),role,source,,sea@context~in_water,role,sink,,salt,role,main,"matter, ",,,,,,,,
(sea@context~at_ice)@role~main_radiation~incoming@role~in_absorption,sea@context~at_ice,role,main,,radiation~incoming,role,in,"phenomenon, ",absorption,,,"process, ",,,,,,,,
(sea@context~at_ice)@role~main_radiation~incoming@role~in_reflection,sea@context~at_ice,role,main,,radiation~incoming,role,in,"phenomenon, ",reflection,,,"process, ",,,,,,,,
(sea@context~at_ice)@role~main_radiation~incoming@role~in_transmission,sea@context~at_ice,role,main,,radiation~incoming,role,in,"phenomenon, ",transmission,,,"process, ",,,,,,,,
(sea@context~at_ice)@role~main_radiation~incoming~longwave@role~in_absorption,sea@context~at_ice,role,main,,radiation~incoming~longwave,role,in,"phenomenon, ",absorption,,,"process, ",,,,,,,,
(sea@context~at_ice)@role~main_radiation~incoming~longwave@role~in_reflection,sea@context~at_ice,role,main,,radiation~incoming~longwave,role,in,"phenomenon, ",reflection,,,"process, ",,,,,,,,
(sea@context~at_ice)@role~main_radiation~incoming~longwave@role~in_transmission,sea@context~at_ice,role,main,,radiation~incoming~longwave,role,in,"phenomenon, ",transmission,,,"process, ",,,,,,,,
(sea@context~at_ice)@role~main_radiation~incoming~shortwave@role~in_absorption,sea@context~at_ice,role,main,,radiation~incoming~shortwave,role,in,"phenomenon, ",absorption,,,"process, ",,,,,,,,
(sea@context~at_ice)@role~main_radiation~incoming~shortwave@role~in_reflection,sea@context~at_ice,role,main,,radiation~incoming~shortwave,role,in,"phenomenon, ",reflection,,,"process, ",,,,,,,,
(sea@context~at_ice)@role~main_radiation~incoming~shortwave@role~in_transmission,sea@context~at_ice,role,main,,radiation~incoming~shortwave,role,in,"phenomenon, ",transmission,,,"process, ",,,,,,,,
(sea@context~at_ice)@role~main_radiation~outgoing~longwave@role~out_emission,sea@context~at_ice,role,main,,radiation~outgoing~longwave,role,out,"phenomenon, ",emission,,,"process, ",,,,,,,,
(sea@context~at_ice)@role~sink_radiation~incoming@role~main_absorption,sea@context~at_ice,role,sink,,radiation~incoming,role,main,"phenomenon, ",absorption,,,"process, ",,,,,,,,
(sea@context~at_ice)@role~sink_radiation~incoming@role~main_reflection,sea@context~at_ice,role,sink,,radiation~incoming,role,main,"phenomenon, ",reflection,,,"process, ",,,,,,,,
(sea@context~at_ice)@role~sink_radiation~incoming@role~main_transmission,sea@context~at_ice,role,sink,,radiation~incoming,role,main,"phenomenon, ",transmission,,,"process, ",,,,,,,,
(sea@context~at_ice)@role~sink_radiation~incoming~longwave@role~main_absorption,sea@context~at_ice,role,sink,,radiation~incoming~longwave,role,main,"phenomenon, ",absorption,,,"process, ",,,,,,,,
(sea@context~at_ice)@role~sink_radiation~incoming~longwave@role~main_reflection,sea@context~at_ice,role,sink,,radiation~incoming~longwave,role,main,"phenomenon, ",reflection,,,"process, ",,,,,,,,
(sea@context~at_ice)@role~sink_radiation~incoming~longwave@role~main_transmission,sea@context~at_ice,role,sink,,radiation~incoming~longwave,role,main,"phenomenon, ",transmission,,,"process, ",,,,,,,,
(sea@context~at_ice)@role~sink_radiation~incoming~shortwave@role~main_absorption,sea@context~at_ice,role,sink,,radiation~incoming~shortwave,role,main,"phenomenon, ",absorption,,,"process, ",,,,,,,,
(sea@context~at_ice)@role~sink_radiation~incoming~shortwave@role~main_reflection,sea@context~at_ice,role,sink,,radiation~incoming~shortwave,role,main,"phenomenon, ",reflection,,,"process, ",,,,,,,,
(sea@context~at_ice)@role~sink_radiation~incoming~shortwave@role~main_transmission,sea@context~at_ice,role,sink,,radiation~incoming~shortwave,role,main,"phenomenon, ",transmission,,,"process, ",,,,,,,,
(sea_bottom)@role~main_radiation~incoming@role~in_absorption,sea_bottom,role,main,"body, ",radiation~incoming,role,in,"phenomenon, ",absorption,,,"process, ",,,,,,,,
(sea_bottom)@role~main_radiation~incoming@role~in_reflection,sea_bottom,role,main,"body, ",radiation~incoming,role,in,"phenomenon, ",reflection,,,"process, ",,,,,,,,
(sea_bottom)@role~main_radiation~incoming~longwave@role~in_absorption,sea_bottom,role,main,"body, ",radiation~incoming~longwave,role,in,"phenomenon, ",absorption,,,"process, ",,,,,,,,
(sea_bottom)@role~main_radiation~incoming~longwave@role~in_reflection,sea_bottom,role,main,"body, ",radiation~incoming~longwave,role,in,"phenomenon, ",reflection,,,"process, ",,,,,,,,
(sea_bottom)@role~main_radiation~incoming~shortwave@role~in_absorption,sea_bottom,role,main,"body, ",radiation~incoming~shortwave,role,in,"phenomenon, ",absorption,,,"process, ",,,,,,,,
(sea_bottom)@role~main_radiation~incoming~shortwave@role~in_reflection,sea_bottom,role,main,"body, ",radiation~incoming~shortwave,role,in,"phenomenon, ",reflection,,,"process, ",,,,,,,,
(sea_bottom)@role~main_radiation~outgoing~longwave@role~out_emission,sea_bottom,role,main,"body, ",radiation~outgoing~longwave,role,out,"phenomenon, ",emission,,,"process, ",,,,,,,,
(sea_bottom)@role~sink_radiation~incoming@role~main_absorption,sea_bottom,role,sink,"body, ",radiation~incoming,role,main,"phenomenon, ",absorption,,,"process, ",,,,,,,,
(sea_bottom)@role~sink_radiation~incoming@role~main_reflection,sea_bottom,role,sink,"body, ",radiation~incoming,role,main,"phenomenon, ",reflection,,,"process, ",,,,,,,,
(sea_bottom)@role~sink_radiation~incoming~longwave@role~main_absorption,sea_bottom,role,sink,"body, ",radiation~incoming~longwave,role,main,"phenomenon, ",absorption,,,"process, ",,,,,,,,
(sea_bottom)@role~sink_radiation~incoming~longwave@role~main_reflection,sea_bottom,role,sink,"body, ",radiation~incoming~longwave,role,main,"phenomenon, ",reflection,,,"process, ",,,,,,,,
(sea_bottom)@role~sink_radiation~incoming~shortwave@role~main_absorption,sea_bottom,role,sink,"body, ",radiation~incoming~shortwave,role,main,"phenomenon, ",absorption,,,"process, ",,,,,,,,
(sea_bottom)@role~sink_radiation~incoming~shortwave@role~main_reflection,sea_bottom,role,sink,"body, ",radiation~incoming~shortwave,role,main,"phenomenon, ",reflection,,,"process, ",,,,,,,,
(sea_bottom)@role~source_radiation~outgoing~longwave@role~main_emission,sea_bottom,role,source,"body, ",radiation~outgoing~longwave,role,main,"phenomenon, ",emission,,,"process, ",,,,,,,,
(sea_bottom_surface)@role~medium,sea_bottom_surface,role,medium,"phenomenon, ",,,,,,,,,,,,,,,,
(sea_surface)@role~main_radiation~incoming~shortwave@role~in_absorption,sea_surface,role,main,"phenomenon, ",radiation~incoming~shortwave,role,in,"phenomenon, ",absorption,,,"process, ",,,,,,,,
(sea_surface)@role~main_radiation~incoming~shortwave@role~in_reflection,sea_surface,role,main,"phenomenon, ",radiation~incoming~shortwave,role,in,"phenomenon, ",reflection,,,"process, ",,,,,,,,
(sea_surface)@role~sink_radiation~incoming~shortwave@role~main_absorption,sea_surface,role,sink,"phenomenon, ",radiation~incoming~shortwave,role,main,"phenomenon, ",absorption,,,"process, ",,,,,,,,
(sea_surface)@role~sink_radiation~incoming~shortwave@role~main_reflection,sea_surface,role,sink,"phenomenon, ",radiation~incoming~shortwave,role,main,"phenomenon, ",reflection,,,"process, ",,,,,,,,
(sea_surface)@role~source_water@role~main_evaporation,sea_surface,role,source,"phenomenon, ",water,role,main,"matter, ",evaporation,,,"process, ",,,,,,,,
(snowpack_bottom)@role~medium_conduction,snowpack_bottom,role,medium,"body, ",conduction,,,"process, ",,,,,,,,,,,,
(snowpack_surface)@role~main_indentation,snowpack_surface,role,main,"phenomenon, ",indentation,,,"process, ",,,,,,,,,,,,
(snowpack_top)@role~medium,snowpack_top,role,medium,"body, ",,,,,,,,,,,,,,,,
(snowpack_top_surface)@role~main_indentation,snowpack_top_surface,role,main,"phenomenon, ",indentation,,,"process, ",,,,,,,,,,,,
(soil@context~in_(carbon_pool~stabilized))@role~sink_(soil@context~in_(carbon_pool~microbial))@role~sink_carbon~decomposed@role~main_addition,soil@context~in_(carbon_pool~stabilized),role,sink,,soil@context~in_(carbon_pool~microbial),role,sink,,carbon~decomposed,role,main,"matter, ",addition,,,"process, ",,,,
(soil@context~in_(residue_pool))@role~sink_(crop@context~source_residue)@role~main_addition,soil@context~in_(residue_pool),role,sink,,crop@context~source_residue,role,main,,addition,,,"process, ",,,,,,,,
(soil@context~on_(plant_residue))@role~source_water@role~main_evaporation,soil@context~on_(plant_residue),role,source,,water,role,main,"matter, ",evaporation,,,"process, ",,,,,,,,
(soil_denitrification)@role~source_nitrous-oxide-as-nitrogen@role~main_emission,soil_denitrification,role,source,"phenomenon, ",nitrous-oxide-as-nitrogen,role,main,"matter, ",emission,,,"process, ",,,,,,,,
(soil_nitrification)@role~source_nitrous-oxide-as-nitrogen@role~main_emission,soil_nitrification,role,source,"phenomenon, ",nitrous-oxide-as-nitrogen,role,main,"matter, ",emission,,,"process, ",,,,,,,,
