body_taxonomic,body_id,body_label,body,part,form,expressed-as,matter,attribute,synonym,plural_of,wikipedia_page
,hydroperoxyl-ion,hydroperoxyl,,,ion,,hydroperoxyl,,,,https://en.wikipedia.org/wiki/Hydroperoxyl
,hydroxyl-ion,hydroxyl,,,ion,,hydroxyl,,,,https://en.wikipedia.org/wiki/Hydroxyl_radical
,ice_bottom,ice_bottom,,bottom,,,ice,,,,
,ice-layer,ice-layer,,layer,,,ice,,,,
,iceberg,iceberg,,,,,,,ice_mountain,,https://en.wikipedia.org/wiki/Iceberg
,icebergs,icebergs,,,,,,,,iceberg,
,iodide-ion,iodide,,,ion,,iodide,,,,https://en.wikipedia.org/wiki/Iodide
,ionosphere,ionosphere,,,,,,,,,https://en.wikipedia.org/wiki/Ionosphere
,iron_atom,iron_atom,,,atom,,iron,,,,
,iron(ii),iron(ii),,,ion,,iron,,ferrous,,https://en.wikipedia.org/wiki/Ferrous
,iron(iii),iron(iii),,,ion,,iron,,ferric,,https://en.wikipedia.org/wiki/Ferric
planet,jupiter,jupiter,,,,,,,,,http://en.wikipedia.org/wiki/Jupiter
,lake,lake,,,,,,,,,http://en.wikipedia.org/wiki/Lake
,land,land,,,,,,,,,http://en.wikipedia.org/wiki/Land
,land_subsurface,land_subsurface,land,subsurface,,,,,,,
,land_subsurface_sat-zone,land_subsurface_sat-zone,land_subsurface,sat-zone,,,,,,,
,land_subsurface_sat-zone_top,land_subsurface_sat-zone_top,land_subsurface_sat-zone,top,,,,,,,
land,land~agricultural,land~agricultural,,,,,,agricultural,,,
land,land~arable,land~arable,,,,,,arable,,,
land,land~burned,land~burned,,,,,,burned,,,
land,land~cloud-covered,land~cloud-covered,,,,,,cloud-covered,,,
land,land~commercial,land~commercial,,,,,,commercial,,,
land,land~dry,land~dry,,,,,,dry,,,
land,land~farmed,land~farmed,,,,,,farmed,,,
land,land~flooded,land~flooded,,,,,,flooded,,,
land,land~forested,land~forested,,,,,,forested,,,
land,land~grazing,land~grazing,,,,,,grazing,,,
land,land~ice-covered,land~ice-covered,,,,,,ice-covered,,,
land,land~irrigated,land~irrigated,,,,,,irrigated,,,
land,land~lake-covered,land~lake-covered,,,,,,lake-covered,,,
land,land~private,land~private,,,,,,private,,,
land,land~public,land~public,,,,,,public,,,
land,land~residential,land~residential,,,,,,residential,,,
land,land~snow-covered,land~snow-covered,,,,,,snow-covered,,,
land,land~urban,land~urban,,,,,,urban,,,
land,land~vegetated,land~vegetated,,,,,,vegetated,,,
,land~vegetated_floor,land~vegetated_floor,land~vegetated,floor,,,,,,,
land,land~water-covered,land~water-covered,,,,,,water-covered,,,
,lithosphere,lithosphere,,,,,,,,,http://en.wikipedia.org/wiki/Lithosphere
planet,mars,mars,,,,,,,,,http://en.wikipedia.org/wiki/Mars
planet,mercury,mercury,,,,,,,,,https://en.wikipedia.org/wiki/Mercury_(planet)
,methyl-peroxy-ion,methyl-peroxy,,,ion,,methyl-peroxy,,,,
,moon,moon,,,,,,,natural-satellite,,https://en.wikipedia.org/wiki/Natural_satellite
planet,neptune,neptune,,,,,,,,,http://en.wikipedia.org/wiki/Neptune
