attribute_id,attribute_label,property_id,plural_of,wikipedia_page
aerosol,aerosol,,,http://en.wikipedia.org/wiki/Aerosol
gas,gas,phase,,https://en.wikipedia.org/wiki/Gas
gases,gases,phase,gas,
melt,melt,phase,,https://en.wikipedia.org/wiki/Melt
mineral,mineral,phase,,https://en.wikipedia.org/wiki/Mineral
solid,solid,phase,,https://en.wikipedia.org/wiki/Solid
solids,solids,phase,solid,
vapor,vapor,phase,,https://en.wikipedia.org/wiki/Vapor
moisture,moisture,phase,,https://en.wikipedia.org/wiki/Moisture
