operator_taxonomic,operator_id,operator_label,synonym,attribute,dimension,wikipedia_page,synonym,units,f_units,two_quantity_operation
,product,product,,,,https://en.wikipedia.org/wiki/Product_(mathematics),,none,1,multiplication
,projection,projection,,,,https://en.wikipedia.org/wiki/Vector_projection,,none,1,
,range,range,,,,https://en.wikipedia.org/wiki/Range_(mathematics),,none,1,
,ratio,ratio,,,,http://en.wikipedia.org/wiki/Ratio,,none,0,
,reduction,reduction,,,,,,none,1,subtraction
,second_invariant,second_invariant,,,,https://en.wikipedia.org/wiki/Invariants_of_tensors,,none,2,
,second_spatial_derivative,second_spatial_derivative,,spatial,space,,,L^-2,1,
component,south_component,south_component,,south,space,,,,,
component,south_east_component,south_east_component,,,space,,,,,
component,south_south_component,south_south_component,,,space,,,,,
,spatial_derivative,spatial_derivative,,spatial,space,https://en.wikipedia.org/wiki/Derivative,,L^-1,1,
,spatial_integral,spatial_integral,,,,https://en.wikipedia.org/wiki/Integral,,L,1,
,square,square,,,,https://en.wikipedia.org/wiki/Square_(algebra),,none,2,
,standard_deviation,standard_deviation,,standard,,,,none,1,
,step,step,,,,http://en.wikipedia.org/wiki/Step,,none,1,
,summation,sum,,,,https://en.wikipedia.org/wiki/Summation,,none,1,addition
,temperature_derivative,temperature_derivative,,,temperature,https://en.wikipedia.org/wiki/Derivative,,O^-1,1,
,time,time,,,,,,T,0,
average,time_average,time_average,,,time,https://en.wikipedia.org/wiki/Average,,none,1,
,time_derivative,time_derivative,,,time,https://en.wikipedia.org/wiki/Derivative,,T^-1,1,
,time_integral,time_integral,,,time,https://en.wikipedia.org/wiki/Integral,,T,1,
time_integral,cumulative_time_integral,cumulative_time_integral,,,,,,,,
time_integral,five-day_time_integral,five-day_time_integral,,,,,,,,
time_integral,ten-day_time_integral,ten-day_time_integral,,,,,,,,
time_integral,two-month_time_integral,two-month_time_integral,,,,,,,,
time_integral,three-month_time_integral,three-month_time_integral,,,,,,,,
time_integral,fifteen-day_time_integral,fifteen-day_time_integral,,,,,,,,
five-day_time_integral,first_pentad_time_integral,first_pentad_time_integral,,,,,,,,
five-day_time_integral,second_pentad_time_integral,second_pentad_time_integral,,,,,,,,
five-day_time_integral,third_pentad_time_integral,third_pentad_time_integral,,,,,,,,
five-day_time_integral,fourth_pentad_time_integral,fourth_pentad_time_integral,,,,,,,,
five-day_time_integral,fifth_pentad_time_integral,fifth_pentad_time_integral,,,,,,,,
ten-day_time_integral,first_dekad_time_integral,first_dekad_time_integral,,,,,,,,
ten-day_time_integral,second_dekad_time_integral,second_dekad_time_integral,,,,,,,,
ten-day_time_integral,third_dekad_time_integral,third_dekad_time_integral,,,,,,,,
max,time_max,time_max,,,time,https://en.wikipedia.org/wiki/Maxima_and_minima,,none,1,
arithmetic_mean,time_mean,time_mean,,,time,https://en.wikipedia.org/wiki/Mean,,none,1,
median,time_median,time_median,,,time,,,,,
min,time_min,time_min,,,time,https://en.wikipedia.org/wiki/Maxima_and_minima,,none,1,
,time_rate,rate,,,,https://en.wikipedia.org/wiki/Rate_(mathematics),,T^-1,1,
component,u_component,u_component,,u,space,,,,1,
component,up_component,up_component,,up,space,,,,1,
spatial_derivative,up_derivative,up_derivative,,up,space,,,,1,
component,up_south_component,up_south_component,,,space,,,,1,
component,up_up_component,up_up_component,,,space,,,,1,
limit,upper_limit,upper_limit,,upper,,,,none,1,
component,v_component,v_component,,v,space,,,,1,
,variance,variance,,,,https://en.wikipedia.org/wiki/Variance,,none,0,
component,west_component,west_component,,west,space,,,,,
component,x_component,x_component,,x,space,,,,,
spatial_derivative,x_derivative,x_derivative,,x,space,,,,,
component,x_x_component,x_x_component,,,space,,,,,
second_spatial_derivative,x_x_derivative,x_x_derivative,,,space,,,,,
component,x_y_component,x_y_component,,,space,,,,,
second_spatial_derivative,x_y_derivative,x_y_derivative,,,space,,,,,
component,x_z_component,x_z_component,,,space,,,,,
component,y_component,y_component,,y,space,,,,,
spatial_derivative,y_derivative,y_derivative,,y,space,,,,,
component,y_y_component,y_y_component,,,space,,,,,
second_spatial_derivative,y_y_derivative,y_y_derivative,,,space,,,,,
component,y_z_component,y_z_component,,,space,,,,,
time_integral,one-year_time_integral,one-year_time_integral,,yearly,time,,one-year_time_integral,,,
average,one-year_average,one-year_average,,yearly,time,,one-year_average,,,
change,one-year_change,one-year_change,,yearly,time,,one-year_change,,,
component,z_component,z_component,,z,space,,,,,
spatial_derivative,z_derivative,z_derivative,,z,space,,,,,
spatial_integral,z_integral,z_integral,,z,space,,,,,
arithmetic_mean,z_mean,z_mean,,z,space,https://en.wikipedia.org/wiki/Mean,,,,
,z-score,z-score,standard_score,,,https://en.wikipedia.org/wiki/Standard_score,,none,0,
z-score,month-specific_z-score,month-specific_z-score,,,,,,,,
z-score,cumulative_z-score,cumulative_z-score,,,,,,,,
component,z_x_component,z_x_component,,,space,,,,,
component,z_y_component,z_y_component,,,space,,,,,
component,z_z_component,z_z_component,,,space,,,,,
