https://w3id.org/mint/modelCatalog#VariablePresentation,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/mint/modelCatalog#hasShortName,https://w3id.org/mint/modelCatalog#hasLongName,http://purl.org/dc/terms/description,https://w3id.org/mint/modelCatalog#hasStandardVariable,https://w3id.org/mint/modelCatalog#usesUnit,https://w3id.org/mint/modelCatalog#hasCanonicalName,https://w3id.org/mint/modelCatalog#hasMinimumAcceptedValue,https://w3id.org/mint/modelCatalog#hasMaximumAcceptedValue,https://w3id.org/mint/modelCatalog#hasDefaultValue
pihm_n,n,n,Manning's Roughness Coefficient,Manning's Roughness Coefficient,channel_water_flow__manning_n_parameter,day/m^(1/3),,,,
pihm_Time,Time,Time,Time,Time,,day,,,,
pihm_WT_Value,Value,Value,Water table of the IC,Water table of the IC,,m,,,,
pihm_BC_Value,Value,Value,BC Value,BC Value,,m,,,,
,,,,,,,,,,
cycles_rot_year,ROT_YEAR,ROT_YEAR,,The year in the rotation in which the tillage operation is to be performed.,land__rotation_tillage_year,,,,,
cycles_smc_l1,SMC_L1,SMC_L1,,Soil moisture content in layer 1,soil_layer~1_water__volume_fraction,m3/m3,,,,
cycles_infiltration,INFILTRATION,INFILTRATION,,Net infiltration into soil,soil_water__infiltration_volume_flux,m/day,soil_water__volume-per-area_infiltration,,,
,,,,,,,,,,
cycles_actual_tr,ACTUAL TR,ACTUAL TR,,Actual water transpiration of the crop given soil moisture conditions in the simulation.,crop_water__time_integral_of_transpiration_volume_flux,mm,,,,
cycles_ag_residue,AG RESIDUE,AG RESIDUE,,Aboveground residue biomass left in the field at harvest.,ground~above_residue~remaining_at-harvest__mass-per-area_density,Mg/ha,,,,
cycles_cum._n_stress,CUM. N STRESS,CUM. N STRESS,,"Cumulative N stress over the duration of crop growth, calculated as the sum of each daily N stress weighted by the daily fraction of thermal time accumulated to maturity.",crop_nitrogen__thermal-time-to-maturity_weighted_stress_fraction,,,,,
cycles_date,DATE,DATE,,Calendar date in the simulation.,,YYYY-MM-DD,,,,
cycles_forage_n,FORAGE N,FORAGE N,,Forage or removed residue N content at harvest.,forage-or-residue~removed_nitrogen_at-harvest__mass-per-area_yield,Mg/ha,,,,
cycles_forage_yield,FORAGE YIELD,FORAGE YIELD,,Forage yield or removed residue biomass at harvest.,forage-or-residue~removed_at-harvest__mass-per-area_yield,Mg/ha,,,,
cycles_grain_n,GRAIN N,GRAIN N,,Grain N content at harvest.,grain_nitrogen_at-harvest__mass-per-area_density,Mg/ha,,,,
cycles_harvest_index,HARVEST INDEX,HARVEST INDEX,,Fraction of aboveground biomass harvested as grain.,ground~above_biomass~harvested_grain__mass_fraction,Mg/Mg,,,,
cycles_n_concn_forage,N CONCN FORAGE,N CONCN FORAGE,,The N concentration in forage or removed residues at harvest.,forage-or-residue~removed_nitrogen__mass_fraction,%,,,,
cycles_n_in_harvest,N IN HARVEST,N IN HARVEST,,"N content in removed biomass, which is the sum of grain, forage, and/or removed residues.",biomass~removed_nitrogen__mass-per-area_density,kg/ha,,,,
cycles_n_in_residue,N IN RESIDUE,N IN RESIDUE,,N content in residues left in the field at harvest.,field_residue~remaining_nitrogen_at-harvest__mass-per-area_density,kg/ha,,,,
cycles_root_n,ROOT N,ROOT N,,Root biomass N accumulated by the crop at harvest.,crop_root_nitrogen_at-harvest__mass-per-area_accumulation_density,Mg/ha,,,,
cycles_soil_evapr,SOIL EVAP,SOIL EVAP,,Water evaporation from the soil.,soil_surface_water__time_integral_of_evaporation_volume_flux,mm,,,,
cycles_total_n,TOTAL N,TOTAL N,,Total biomass N (roots + aboveground) content accumulated by the crop at harvest.,biomass_nitrogen_at-harvest__mass-per-area_accumulation_density,Mg/ha,,,,
,,,,,,,,,,
cycles_drainage,DRAINAGE,DRAINAGE,,Water drainage from the bottom of the soil profile.,soil_profile_bottom_water__drainage_volume_flux,mm/day,,,,
cycles_irrigation,IRRIGATION,IRRIGATION,,Water added as irrigation.,soil_surface_water__irrigation_volume_flux,mm/day,,,,
cycles_res_evap,RES EVAP,RES EVAP,,Evaporation from the surface residue.,soil_plant_residue_water__evaporation_volume_flux,mm/day,,,,
cycles_runoff,RUNOFF,RUNOFF,,Water runoff from the soil surface.,soil_surface_water__runoff_volume_flux,mm/day,,,,
cycles_snow_sub,SNOW SUB,SNOW SUB,,Sublimation from snow cover.,land_surface_snow__sublimation_volume_flux,mm/day,,,,
cycles_soil_evap,SOIL EVAP,SOIL EVAP,,Evaporation from the soil surface.,soil_surface_water__evaporation_volume_flux,mm/day,,,,
cycles_transpiration,TRANSPIRATION,TRANSPIRATION,,Transpiration by the crop canopy.,crop_canopy_water__transpiration_volume_flux,mm/day,,,,
,,,,,,,,,,
cycles_avg_tmp,AVG TMP,AVG TMP,,Average temperature.,atmosphere_bottom_air__average_of_temperature,C,,,,
cycles_max_tmp,MAX TMP,MAX TMP,,Maximum temperature.,atmosphere_bottom_air__max_of_temperature,C,,,,
cycles_min_tmp,MIN TMP,MIN TMP,,Minimum temperature.,atmosphere_bottom_air__min_of_temperature,C,,,,
cycles_precipitation,PRECIPITATION,PRECIPITATION,,Precipitation,atmosphere_water__time_integral_of_precipitation_leq_volume_flux,mm,,,,
cycles_reference_et,REFERENCE ET,REFERENCE ET,,Reference evapotranspiration calculated using the Penman-Monteith equation.,crop_water__penman-monteith_reference_evapotranspiration_volume_flux,mm/day,,,,
,,,,,,,,,,
cycles_avg_gross_n_min,AVG GROSS N MIN,AVG GROSS N MIN,,Average gross N mineralization rate over the duration of the simulation.,nitrogen__average_of_gross_mass_mineralization_rate,kg N/yr,,,,
cycles_avg_n_immob,AVG N IMMOB,AVG N IMMOB,,Average gross N immobilization rate over the duration of the simulation.,nitrogen__average_of_gross_mass_immobilization_rate,kg N/yr,,,,
cycles_avg_n2o_fr_deni,AVG N2O FR DENI,AVG N2O FR DENI,,Average nitrous oxide emission rate from denitrification over the duration of the simulation.,soil_nitrous-oxide-as-nitrogen__average_of_denitrification_mass_emission_rate,kg N/yr,,,,
cycles_avg_n2o_fr_nit,AVG N2O FR NIT,AVG N2O FR NIT,,Average nitrous oxide emission rate from nitrification over the duration of the simulation.,soil_nitrous-oxide-as-nitrogen__average_of_nitrification_mass_emission_rate,kg N/yr,,,,
cycles_avg_net_n_min,AVG NET N MIN,AVG NET N MIN,,Average net N mineralization rate over the duration of the simulation.,nitrogen__average_of_net_mass_mineralization_rate,kg N/yr,,,,
cycles_avg_nh3_volatil,AVG NH3 VOLATIL,AVG NH3 VOLATIL,,Average ammonia volatilization rate over the duration of the experiment.,ammonia-as-nitrogen__average_of_mass_volatilization_rate,kg N/yr,,,,
cycles_avg_nh4_leach,AVG NH4 LEACH,AVG NH4 LEACH,,Average ammonium leaching rate over the duration of the simulation.,ammonium-as-nitrogen__average_of_mass_leaching_rate,kg N/yr,,,,
cycles_avg_nh4_nitrif,AVG NH4 NITRIF,AVG NH4 NITRIF,,Average nitrification rate over the duration of the simulation.,soil_nitrogen__average_of_mass_nitrification_rate,kg N/yr,,,,
cycles_avg_no3_denit,AVG NO3 DENIT,AVG NO3 DENIT,,Average denitrification rate over the duration of the simulation.,soil_nitrogen__average_of_mass_denitrification_rate,kg N/yr,,,,
cycles_avg_no3_leach,AVG NO3 LEACH,AVG NO3 LEACH,,Average nitrate leaching rate over the duration of the simulation.,nitrate-as-nitrogen__average_of_mass_leaching_rate,kg N/yr,,,,
cycles_avg_tot_n2o_emi,AVG TOT N2O EMI,AVG TOT N2O EMI,,Average total nitrous oxide emissions over the duration of the simulation.,soil_nitrous-oxide-as-nitrogen__average_of_mass_emission_rate,kg N/yr,,,,
cycles_final_prof_c,FINAL PROF C,FINAL PROF C,,The C content in the stabilized soil C pool at the end of the simulation.,soil_carbon_pool~stabilized_carbon__final_mass,Mg C,,,,
cycles_humified_c,HUMIFIED C,HUMIFIED C,,The total quantity of decomposed C added to microbial and soil C pools over the duration of the simulation.,soil_pool-and-pool~microbial_carbon~decomposed__addition_mass,Mg C,,,,
cycles_init_prof_c,INIT PROF C,INIT PROF C,,The C content in the stabilized soil C pool at the beginning of the simulation.,soil_carbon_pool~stabilized_carbon__initial_mass,Mg C,,,,
cycles_produced_root,PRODUCED ROOT,PRODUCED ROOT,,The total quantity of roots and rhizodeposits produced over the duration of the simulation.,roots-and-rhizodeposits__time_integral_of_mass-per-area_production_rate,Mg/ha,,,,
cycles_prof_c_diff,PROF C DIFF,PROF C DIFF,,The change in C content of the stabilized soil C pool from the beginning to end of the simulation.,soil_carbon_pool~stabilized_carbon__change_of_mass,Mg C,,,,
cycles_res_c_input,RES C INPUT,RES C INPUT,,The total quantity of aboveground crop residues decomposed over the duration of the simulation.,ground~above_crop_residue-as-carbon__decomposition_mass,Mg C,,,,
cycles_resp_res_c,RESP RES C,RESP RES C,,The total quantity of C respired during decomposition of the residue pools over the duration of the simulation.,crop_residue_pool_carbon__time_integral_of_decomposition_respiration_mass_flux,Mg/ha,,,,
cycles_resp_soil_c,RESP SOIL C,RESP SOIL C,,The total quantity of C respired during decomposition of the microbial biomass and stabilized soil C pools over the duration of the simulation.,crop_biomass~microbial-and-soil_carbon__decomposition_respiration_mass,Mg C,,,,
cycles_retained_res,RETAINED RES,RETAINED RES,,The total quantity of aboveground crop residues retained in the field over the duration of the simulation.,ground~above_crop_residue~retained__mass-per-area_density,Mg/ha,,,,
cycles_root_c_input,ROOT C INPUT,ROOT C INPUT,,The total quantity of roots and rhizodeposits decomposed over the duration of the simulation.,ground~above_crop_roots-and-rhizodeposits-as-carbon__decomposition_mass,Mg C,,,,
cycles_soil_c_chg/yr,SOIL C CHG/YR,SOIL C CHG/YR,,The difference in the stabilized soil C pool size from the beginning to the end of the simulation divided by the number of years of the simulation.,soil_pool~stabilized_carbon__change_of_mass,kg C,,,,
,,,,,,,,,,
cycles_immobilization,IMMOBILIZATION,IMMOBILIZATION,,Gross N immobilization in microbial biomass or stabilized soil organic N pools.,biomass~microbial-or-soil_pool~organic~stabilized_nitrogen__gross_mass-per-area_immobilization_density,kg N/ha,,,,
cycles_mineralization,MINERALIZATION,MINERALIZATION,,Gross N mineralization from all decomposing organic substrates.,substrates~organic_nitrogen__gross_decomposition_mass-per-area_mineralization_density,kg N/ha,,,,
cycles_n2o_from_denit,N2O FROM DENIT,N2O FROM DENIT,,Nitrous oxide emissions from denitrification.,soil_nitrous-oxide-as-nitrogen__denitrification_mass-per-area_emission_density,kg N/ha,,,,
cycles_n2o_from_nitrif,N2O FROM NITRIF,N2O FROM NITRIF,,Nitrous oxide emissions from nitrification.,soil_nitrous-oxide-as-nitrogen__nitrification_mass-per-area_emission_density,kg N/ha,,,,
cycles_net_mineraliz,NET MINERALIZ,NET MINERALIZ,,Net N mineralization.,nitrogen__mass-per-area_mineralization_density,kg N/ha,,,,
cycles_nh4_leaching,NH4 LEACHING,NH4 LEACHING,,Ammonium leaching in drainage water at the bottom of the soil profile.,soil_profile_bottom_water_ammonium__time_integral_of_drainage_leaching_mass_flux,kg N/ha,,,,
cycles_nh4_nitrificat,NH4 NITRIFICAT,NH4 NITRIFICAT,,Nitrification of ammonium.,ammonium-as-nitrogen__mass-per-area_nitrification_density,kg N/ha,,,,
cycles_nh4_volatiliz,NH4 VOLATILIZ,NH4 VOLATILIZ,,Ammonia volatilization,ammonia-as-nitrogen__mass-per-area_volatilization_density,kg N/ha,,,,
cycles_no3_denitrif,NO3 DENITRIF,NO3 DENITRIF,,Denitrification of nitrate.,nitrate-as-nitrogen__mass-per-area_denitrification_density,kg N/ha,,,,
cycles_no3_leaching,NO3 LEACHING,NO3 LEACHING,,Nitrate leaching in drainage water at the bottom of the soil profile.,soil_profile_bottom_water_nitrate__time_integral_of_drainage_leaching_mass_flux,kg N/ha,,,,
cycles_org_soil_n,ORG SOIL N,ORG SOIL N,,The sum of microbial biomass N and stabilized soil organic N pools.,biomass~microbial-and-soil_pool~organic~stabilized-as-nitrogen__mass-per-area_density,kg N/ha,,,,
cycles_prof_soil_nh4,PROF SOIL NH4,PROF SOIL NH4,,Soil profile ammonium-N content.,soil_profile_ammonium-as-nitrogen__mass-per-area_density,kg N/ha,,,,
cycles_prof_soil_no3,PROF SOIL NO3,PROF SOIL NO3,,Soil profile nitrate-N content.,soil_profile_nitrate-as-nitrogen__mass-per-area_density,kg N/ha,,,,
,,,,,,,,,,
cycles_ag_biomass,AG BIOMASS,AG BIOMASS,,Aboveground dry biomass.,ground~above_crop_biomass~dry__mass-per-area_density,Mg/ha,,,,
cycles_ag_n,AG N,AG N,,Aboveground biomass N content.,ground~above_crop_nitrogen__mass-per-area_density,kg/ha,,,,
cycles_ag_n_concn,AG N CONCN,AG N CONCN,,Aboveground biomass N concentration.,ground~above_crop_nitrogen__mass_fraction,g/kg,,,,
cycles_crop,CROP,CROP,,The crop name.,crop__name,,,,,
cycles_cum._biomass,CUM. BIOMASS,CUM. BIOMASS,,"The cumulative total crop biomass, sum of aboveground and roots.",crop_biomass__mass-per-area_density,Mg/ha,,,,
cycles_frac_intercep,FRAC INTERCEP,FRAC INTERCEP,,The fraction of solar radiation intercepted by the crop canopy.,crop_canopy_radiation~solar__interception_energy_flux_fraction,,,,,
cycles_n_added,N ADDED,N ADDED,,Cumulative N added to crop biomass to sustain growth in autofertilize mode.,crop_biomass_nitrogen__mass-per-area_application_density,kg/ha,,,,
cycles_n_fixation,N FIXATION,N FIXATION,,Cumulative N fixation by legume crops.,crops~legume_nitrogen__mass-per-area_fixation_density,kg/ha,,,,
cycles_n_stress,N STRESS,N STRESS,,Daily N stress value of the crop.,crop_nitrogen__daily_stress_fraction,%,,,,
cycles_potential_tr,POTENTIAL TR,POTENTIAL TR,,Potential transpiration of the crop.,crop__potential_transpiration_volume_flux,mm/day,,,,
cycles_stage,STAGE,STAGE,,The phenological stage.,crop__phenological_stage,,,,,
cycles_thermal_time,THERMAL TIME,THERMAL TIME,,The cumulative thermal time since the crop was planted.,crop_from-planting__cumulative_thermal_time,C-day,,,,
cycles_water_stress,WATER STRESS,WATER STRESS,,Daily water stress value of the crop.,crop_water__daily_stress_fraction,%,,,,
,,,,,,,,,,
cycles_bulk_density,BULK DENSITY,BULK DENSITY,,The bulk density of each soil layer.,soil_layer__bulk_mass-per-volume_density,Mg/m3,,,,
cycles_c_sat._ratio,STAND. RESID. C:N,STAND. RESID. C:N,,The C:N ratio of standing residue on the soil surface.,soil_surface_residue~standing_carbon-to-nitrogen__mass_ratio,Cs/Cx,,,,
cycles_soil_c,SOIL ORG C,SOIL ORG C,,The C content of stabilized soil organic matter in each soil layer.,soil_layer_matter~organic~stabilized_carbon__mass_fraction,%,,,,
cycles_thickness,THICKNESS,THICKNESS,,The thickness of each soil layer.,soil_layer__thickness,m,,,,
cycles_year,YEAR,YEAR,,Year of the simulation.,,YYYY,,,,
,,,,,,,,,,
cycles_c_diff,C DIFF,C DIFF,,The change in the stabilized soil C pool size between the beginning and end of the year.,soil_carbon_pool~stabilized_carbon__one-year_change_of_mass,Mg C/year,,,,
cycles_final_c,FINAL C,FINAL C,,The pool size of stabilized soil C at the end of the year.,soil_carbon_pool~stabilized_carbon__year-end_mass,Mg C/year,,,,
cycles_humified_c2,HUMIFIED C,HUMIFIED C,,Quantity of decomposed C added to microbial and stabilized C pools.,soil_carbon_pool~microbial-and-stabilized_carbon~decomposed__mass_addition_rate,Mg C/year,,,,
cycles_init_c_mass,INIT C MASS,INIT C MASS,,The pool size of stabilized soil C at the beginning of the year.,soil_carbon_pool~stabilized_carbon__year-start_mass,Mg C/year,,,,
cycles_res_biomass_in,RES BIOMASS IN,RES BIOMASS IN,,Aboveground crop residue biomass added to the residue pool during the year.,ground~above_soil_residue_pool_crop_residue__mass-per-area_addition_density,Mg/ha,,,,
cycles_res_c_decomp,RES C DECOMP,RES C DECOMP,,"Quantity of C from the aboveground crop residue pool decomposed during the year. (Layer 1 includes decomposed surface residues, standing and flattened)",ground~above_crop_residue_pool_carbon__yearly_time_integral_of_decomposition_mass_flux,Mg/ha,,,,
cycles_respired_c,RESPIRED C,RESPIRED C,,Quantity of C respired from the decomposition of microbial biomass and stabilized soil C.,biomass~microbial-and-soil~stabilized_carbon__decomposition_mass_respiration_rate,Mg C/year,,,,
cycles_root_biomass_in,ROOT BIOMASS IN,ROOT BIOMASS IN,,Crop root and rhizodeposit biomass added to the residue pools during the year.,crop_residue_pool_root-and-rhizodeposit_biomass__yearly_time_integral_of_addition_mass_flux,Mg/ha,,,,
cycles_root_c_decomp,ROOT C DECOMP,ROOT C DECOMP,,Quantity of C from the crop root and rhizodeposit residue pools decomposed during the year.,crop_residue_pool_root-and-rhizodeposit_carbon__yearly_time_integral_of_decomposition_mass_flux,Mg/ha,,,,
