https://w3id.org/mint/modelCatalog#VariablePresentation,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/mint/modelCatalog#hasShortName,https://w3id.org/mint/modelCatalog#hasLongName,http://purl.org/dc/terms/description,https://w3id.org/mint/modelCatalog#hasStandardVariable,https://w3id.org/mint/modelCatalog#usesUnit,https://w3id.org/mint/modelCatalog#hasCanonicalName,https://w3id.org/mint/modelCatalog#hasMinimumAcceptedValue,https://w3id.org/mint/modelCatalog#hasMaximumAcceptedValue,https://w3id.org/mint/modelCatalog#hasDefaultValue
DSSAT_CR,CR,CR,crop id,Crop (or weed) species identifier,crop-or-weed__species_identification_code,code,,,,
DSSAT_INGENO,INGENO,INGENO,cultivar id,Cultivar or line or genotype identifier,cultivar__line-or-genotype_identification_code,code,,,,
DSSAT_PDATE,PDATE,PDATE,planting date,Planting or sowing date,crop__planting_or_sowing_date,date,,,,
DSSAT_PLDP,PLDP,PLDP,planting depth,Planting depth,crop__planting_depth,mm,,,,
DSSAT_PLRS,PLRS,PLRS,planting row spacing,Row spacing,crop_row__planting_separation_distance,cm,,,,
DSSAT_PPOP,PPOP,PPOP,planting density,Plant population at planting,crop__count-per-area_planting_density,number/m2,,,,
DSSAT_LAT,LAT,LAT,Weather station latitude,Latitude of station- degrees decimal with North as positive value,weather-station__latitude,decimal degrees,,,,
DSSAT_LONG,LONG,LONG,Weather station longitude,Longitude of station- degrees decimals with East as positive value,weather-station__longitude,decimal degrees,,,,
DSSAT_RAIN,RAIN,RAIN,precipitation,Rainfall (including moisture in snow) in one day,atmosphere_water__daily_time_integral_of_precipitation_leq_volume_flux,mm/day,,,,
DSSAT_SRAD,SRAD,SRAD,Solar radiation,Solar radiation,land_surface_radiation~solar__energy_flux,MJ/m2.d,,,,
DSSAT_TAV,TAV,TAV,mean annual temperature,Temperature average for whole year,air__yearly_average_of_temperature,C,,,,
DSSAT_TMAX,TMAX,TMAX,maximum air temperature,Temperature of air- maximum,atmosphere_air__daily_max_of_temperature,C,,,,
DSSAT_TMIN,TMIN,TMIN,minimum air temperature,Temperature of air- minimum,atmosphere_air__daily_min_of_temperature,C,,,,
DSSAT_WSTA,WSTA,WSTA,Weather station ID,Weather station identifier to link to site information,weather-station__identification_number,,,,,
DSSAT_SALB,SALB,SALB,albedo,Soil albedo- dry soil,land_soil~dry_surface__albedo,,,,,
DSSAT_SBDM,SBDM,SBDM,soil bulk density,Soil bulk density when moist for layer,soil~moist_layer__bulk_mass-per-volume_density,g/cm3,,,,
DSSAT_SDUL,SDUL,SDUL,soil drained upper limit,Soil water- drained upper limit,soil~drained_water__upper_limit_of_volume_fraction,cm3/cm3,,,,
DSSAT_SLB,SLB,SLB,Soil layer base depth,Soil layer base depth,soil_layer~base__depth,cm,,,,
DSSAT_SLCL,SLCL,SLCL,Soil clay percentage,Soil texture- clay (<0.002 mm) weight percent of fine earth,soil_clay__mass_fraction,%,,,,
DSSAT_SLLL,SLLL,SLLL,soil lower limit,Soil water- lower limit,soil_water__lower_limit_of_volume_fraction,cm3/cm3,,,,
DSSAT_SLOC,SLOC,SLOC,soil organic carbon,Total soil organic carbon by layer,soil_matter~organic__mass_fraction,g[C]/100g[soil],,,,
DSSAT_SLSI,SLSI,SLSI,Soil silt percentage,Soil texture- silt (0.05 to 0.002 mm) weight percent of fine earth,soil_silt__mass_fraction,%,,,,
DSSAT_SSAT,SSAT,SSAT,soil water content at saturation,Soil water- saturated,soil_water__saturated_volume_fraction,cm3/cm3,,,,
DSSAT_SSKS,SSKS,SSKS,Saturated hydraulic conductivity,Saturated hydraulic conductivity,soil_water__saturated_hydraulic_conductivity,cm/h,,,,
,,,,,,,,,,
econ_xbar1,xbar1,xbar1,land allocation,land area by crop (observed),land_crop__observed_allocated_area,ha,,,,
econ_xbar2,xbar2,xbar2,nitrogen fertilizer use,nitrogen fertilizer applications by crop (observed),crop_fertilizer~nitrogen__observed_applied_mass,kg,,,,
econ_ybar,ybar,ybar,crop yields,crop yields per unit land area (observed),land_crop__observed_mass-per-area_yield,kg/ha,crop__mass-per-area_yield,,,
econ_p,p,p,crop prices,crop prices received by farmer in USD,farmer_crop__received_price-per-mass,USD/kg,crop__price-per-mass,,,
econ_eta,eta,eta,supply elasticities,percent change in crop supply divided by percent change in crop price,crop__supply_elasticity,,,,,
econ_c1,c1,c1,land cost,costs of production per unit land area,land_crop__production_cost-per-area,USD/ha,,,,
econ_c2,c2,c2,nitrogen fertilizer cost,costs of fertilizer use per unit applied,fertilizer~nitrogen__usage-cost-per-applied-mass,USD/kg,fertilizer~nitrogen__usage-cost-per-applied-mass,,,
econ_ybarN,ybarN,ybarN,yield elasticity,percent change in crop yield divided by percent change in nitrogen fertilizer use (from Cycles),crop_fertilizer~nitrogen__yield_elasticity,,crop_fertilizer~nitrogen__yield_elasticity,,,
