full_name,variable_id,variable_label,object_cat,object_id,object_label,object_pref,quantity_id,quantity_label
atmosphere_air_radiation~incoming~longwave__reflectance,(atmosphere_air)@role~main_radiation~incoming~longwave@role~in_reflection__reflectance,atmosphere_air_radiation~incoming~longwave__reflectance,,(atmosphere_air)@role~main_radiation~incoming~longwave@role~in_reflection,atmosphere_air_radiation~incoming~longwave,phenomenon,reflectance,reflectance
atmosphere_air_radiation~incoming~longwave__transmittance,(atmosphere_air)@role~main_radiation~incoming~longwave@role~in_transmission__transmittance,atmosphere_air_radiation~incoming~longwave__transmittance,,(atmosphere_air)@role~main_radiation~incoming~longwave@role~in_transmission,atmosphere_air_radiation~incoming~longwave,phenomenon,transmittance,transmittance
atmosphere_air_radiation~incoming~shortwave__energy_intensity,atmosphere@context~in_radiation~incoming~shortwave__energy_intensity,atmosphere_air_radiation~incoming~shortwave__energy_intensity,,atmosphere@context~in_radiation~incoming~shortwave,atmosphere_air_radiation~incoming~shortwave,phenomenon,energy_intensity,energy_intensity
atmosphere_air_water~vapor__bubble_point_temperature,atmosphere@context~in_(air@medium_bubble-point_water~vapor)__bubble-point_temperature,atmosphere_air_water~vapor__bubble-point_temperature,,atmosphere@context~in_(air@medium_bubble-point_water~vapor),atmosphere_air_water~vapor,phenomenon,bubble-point_temperature,bubble-point_temperature
atmosphere_air_water~vapor__dew_point_temperature,atmosphere@context~in_(air@medium_dew-point_water~vapor)__dew-point_temperature,atmosphere_air_water~vapor__dew-point_temperature,,atmosphere@context~in_(air@medium_dew-point_water~vapor),atmosphere_air_water~vapor,phenomenon,dew-point_temperature,dew-point_temperature
atmosphere_air_water~vapor__equilibrium_partial_pressure,atmosphere@context~in_(air@medium_equilibrium_water~vapor)__equilibrium_partial_pressure,atmosphere_air_water~vapor__equilibrium_partial_pressure,,atmosphere@context~in_(air@medium_equilibrium_water~vapor),atmosphere_air_water~vapor,phenomenon,equilibrium_partial_pressure,equilibrium_partial_pressure
atmosphere_air_water~vapor__frost_point_temperature,atmosphere@context~in_(air@medium_frost-point_water~vapor)__frost-point_temperature,atmosphere_air_water~vapor__frost-point_temperature,,atmosphere@context~in_(air@medium_frost-point_water~vapor),atmosphere_air_water~vapor,phenomenon,frost-point_temperature,frost-point_temperature
atmosphere_air_water~vapor__mass-per-volume_density,atmosphere@context~in_water~vapor__mass-per-volume_density,atmosphere_air_water~vapor__mass-per-volume_density,,atmosphere@context~in_water~vapor,atmosphere_air_water~vapor,phenomenon,mass-per-volume_density,mass-per-volume_density
atmosphere_air_water~vapor__mixing_ratio,atmosphere@context~in_(air@medium_water~vapor)__mixing_ratio,atmosphere_air_water~vapor__mixing_ratio,,atmosphere@context~in_(air@medium_water~vapor),atmosphere_air_water~vapor,phenomenon,mixing_ratio,mixing_ratio
atmosphere_air_water~vapor__partial_pressure,atmosphere@context~in_(air@medium_water~vapor)__partial_pressure,atmosphere_air_water~vapor__partial_pressure,,atmosphere@context~in_(air@medium_water~vapor),atmosphere_air_water~vapor,phenomenon,partial_pressure,partial_pressure
atmosphere_air_water~vapor__psychrometric_constant,atmosphere@context~in_(air@medium_water~vapor)__psychrometric_constant,atmosphere_air_water~vapor__psychrometric_constant,,atmosphere@context~in_(air@medium_water~vapor),atmosphere_air_water~vapor,phenomenon,psychrometric_constant,psychrometric_constant
atmosphere_air_water~vapor__relative_saturation,atmosphere@context~in_(air@medium_water~vapor)__saturation_ratio,atmosphere_air_water~vapor__relative_saturation,,atmosphere@context~in_(air@medium_water~vapor),atmosphere_air_water~vapor,phenomenon,saturation_ratio,relative_saturation
atmosphere_air_water~vapor__saturated_partial_pressure,atmosphere@context~in_(air@medium_saturated_water~vapor)__saturated_partial_pressure,atmosphere_air_water~vapor__saturated_partial_pressure,,atmosphere@context~in_(air@medium_saturated_water~vapor),atmosphere_air_water~vapor,phenomenon,saturated_partial_pressure,saturated_partial_pressure
atmosphere_air_water~vapor__virtual_potential_temperature,atmosphere@context~in_water~vapor__virtual_potential_temperature,atmosphere_air_water~vapor__virtual_potential_temperature,,atmosphere@context~in_water~vapor,atmosphere_air_water~vapor,phenomenon,virtual_potential_temperature,virtual_potential_temperature
atmosphere_air_water~vapor__virtual_temperature,atmosphere@context~in_water~vapor__virtual_temperature,atmosphere_air_water~vapor__virtual_temperature,,atmosphere@context~in_water~vapor,atmosphere_air_water~vapor,phenomenon,virtual_temperature,virtual_temperature
atmosphere_ball__fall_speed,atmosphere@context~in_(ball_falling)__fall_speed,atmosphere_ball__fall_speed,,atmosphere@context~in_(ball_falling),atmosphere_ball,phenomenon,fall_speed,fall_speed
atmosphere_ball__terminal_fall_speed,atmosphere@context~in_(ball_falling)__terminal_fall_speed,atmosphere_ball__terminal_fall_speed,,atmosphere@context~in_(ball_falling),atmosphere_ball,phenomenon,terminal_fall_speed,terminal_fall_speed
atmosphere_bottom_air__brutsaert_emissivity_canopy_factor,(atmosphere_bottom)@context~in_(air@role~sink_canopy@role~main_radiation@role~out_emission)__brutsaert_emissivity_factor,atmosphere_bottom_air_canopy__brutsaert_emissivity_factor,,(atmosphere_bottom)@context~in_(air@role~sink_canopy@role~main_radiation@role~out_emission),atmosphere_bottom_air_canopy,phenomenon,brutsaert_emissivity_factor,brutsaert_emissivity_factor
atmosphere_bottom_air__brutsaert_emissivity_cloud_factor,(atmosphere_bottom)@context~in_(air@role~sink_cloud@role~main_radiation@role~out_emission)__brutsaert_emissivity_factor,atmosphere_bottom_air_cloud__brutsaert_emissivity_factor,,(atmosphere_bottom)@context~in_(air@role~sink_cloud@role~main_radiation@role~out_emission),atmosphere_bottom_air_cloud,phenomenon,brutsaert_emissivity_factor,brutsaert_emissivity_factor
atmosphere_bottom_air__bulk_latent_heat_aerodynamic_conductance,(atmosphere_bottom)@context~in_air__bulk_latent_heat_aerodynamic_conductance,atmosphere_bottom_air__bulk_latent_heat_aerodynamic_conductance,,(atmosphere_bottom)@context~in_air,atmosphere_bottom_air,phenomenon,bulk_latent_heat_aerodynamic_conductance,bulk_latent_heat_aerodynamic_conductance
atmosphere_bottom_air__bulk_latent_heat_transfer_coefficient,(atmosphere_bottom)@context~in_air__bulk_latent_heat_transfer_coefficient,atmosphere_bottom_air__bulk_latent_heat_transfer_coefficient,,(atmosphere_bottom)@context~in_air,atmosphere_bottom_air,phenomenon,bulk_latent_heat_transfer_coefficient,bulk_latent_heat_transfer_coefficient
atmosphere_bottom_air__bulk_momentum_aerodynamic_conductance,(atmosphere_bottom)@context~in_air__bulk_momentum_aerodynamic_conductance,atmosphere_bottom_air__bulk_momentum_aerodynamic_conductance,,(atmosphere_bottom)@context~in_air,atmosphere_bottom_air,phenomenon,bulk_momentum_aerodynamic_conductance,bulk_momentum_aerodynamic_conductance
atmosphere_bottom_air__bulk_momentum_transfer_coefficient,(atmosphere_bottom)@context~in_air__bulk_momentum_transfer_coefficient,atmosphere_bottom_air__bulk_momentum_transfer_coefficient,,(atmosphere_bottom)@context~in_air,atmosphere_bottom_air,phenomenon,bulk_momentum_transfer_coefficient,bulk_momentum_transfer_coefficient
atmosphere_bottom_air__bulk_sensible_heat_aerodynamic_conductance,(atmosphere_bottom)@context~in_air__bulk_sensible_heat_aerodynamic_conductance,atmosphere_bottom_air__bulk_sensible_heat_aerodynamic_conductance,,(atmosphere_bottom)@context~in_air,atmosphere_bottom_air,phenomenon,bulk_sensible_heat_aerodynamic_conductance,bulk_sensible_heat_aerodynamic_conductance
atmosphere_bottom_air__bulk_sensible_heat_transfer_coefficient,(atmosphere_bottom)@context~in_air__bulk_sensible_heat_transfer_coefficient,atmosphere_bottom_air__bulk_sensible_heat_transfer_coefficient,,(atmosphere_bottom)@context~in_air,atmosphere_bottom_air,phenomenon,bulk_sensible_heat_transfer_coefficient,bulk_sensible_heat_transfer_coefficient
atmosphere_bottom_air__emissivity,(atmosphere_bottom)@context~in_(air@role~main_radiation@role~out_emission)__emissivity,atmosphere_bottom_air__emissivity,,(atmosphere_bottom)@context~in_(air@role~main_radiation@role~out_emission),atmosphere_bottom_air,phenomenon,emissivity,emissivity
atmosphere_bottom_air__mass-per-volume_density,(atmosphere_bottom)@context~in_air__mass-per-volume_density,atmosphere_bottom_air__mass-per-volume_density,,(atmosphere_bottom)@context~in_air,atmosphere_bottom_air,phenomenon,mass-per-volume_density,mass-per-volume_density
