current label,current svo iri,provided label,provided svo iri,,
model__successive_time_step_multiplier,model__successive_time_step_multiplier,model__successive_time_step_multiplier,,,
groundwater__horizontal_anisotropy_factor,ground@medium_water__horizontal_aniosotropy_factor,groundwater__horizontal_anisotropy_factor,,,
groundwater__primary_storage_coefficient,ground@medium_water__primary_storage_coefficient,groundwater__primary_storage_coefficient,,,
groundwater__horizontal_transmissivity,ground@medium_water__horizontal_transmissivity,groundwater__horizontal_transmissivity,,,
groundwater__horizontal_hydraulic_conductivity,ground@medium_water__horizontal_hydraulic_conductivity,groundwater__horizontal_hydraulic_conductivity,,,
groundwater__vertical_hydraulic_conductivity,ground@medium_water__vertical_hydraulic_conductivity,groundwater__vertical_hydraulic_conductivity,,,
groundwater__secondary_storage_coefficient,ground@medium_water__secondary_storage_coefficient,groundwater__secondary_storage_coefficient,,,
groundwater_well__recharge_volume_flux,ground@role~source_well@role~sink_water@role~main_recharge__recharge_volume_flux,groundwater_well__recharge_volume_flux,,,
model_grid_cell_boundary_groundwater__interfacial_hydraulic_conductance,model@context~in_((grid@context~part_(cell_boundary))@context~at_(ground@medium_water))__interfacial_hydraulic_conductance,model_grid_cell_boundary_groundwater__interfacial_hydraulic_conductance,,,
ground_interbed_system__areal_extent,ground@context~part_(interbed_system)__areal_extent,ground_interbed_system__areal_extent,,,
ground__preconsolidation_head,ground@role~main_preconsolidation__preconsolidation_head,ground__preconsolidation_head,,,
ground_interbed_system~no-delay__elastic_skeletal_storage_coefficient,ground@context~part_(interbed_system~no-delay)__elastic_skeletal_storage_coefficient,ground_interbed_system~no-delay__elastic_skeletal_storage_coefficient,,,
ground_interbed_system~no-delay__inelastic_skeletal_storage_coefficient,ground@context~part_(interbed_system~no-delay)__inelastic_skeletal_storage_coefficient,ground_interbed_system~no-delay__inelastic_skeletal_storage_coefficient,,,
ground_interbed_system~no-delay__initial_compaction_volume-per-area_density,ground@context~part_((interbed_system~no-delay)@role~main_compaction)__initial_compaction_volume-per-area_density,ground_interbed_system~no-delay__initial_compaction_volume-per-area_density,,,
ground_interbed_system~delay_water__initial_head,ground@context~part_((interbed_system~delay)@medium_water)__initial_head,ground_interbed_system~delay_water__initial_head,,,
ground_interbed_system~delay_water__initial_preconsolidation_head,ground@context~part_(((interbed_system~delay)@role~main_preconsolidation)@medium_water)__initial_preconsolidation_head,ground_interbed_system~delay_water__initial_preconsolidation_head,,,
ground_interbed_system~delay__initial_compaction_volume-per-area_density,ground@context~part_((interbed_system~delay)@role~main_compaction)__initial_compaction_volume-per-area_density,ground_interbed_system~delay__initial_compaction_volume-per-area_density,,,
ground_interbed_system~delay__equivalent_thickness,ground@context~part_(interbed_system~delay)__equivalent_thickness,ground_interbed_system~delay__equivalent_thickness,,,
groundwater__constant_head,(land_surface)@context~below_(ground@context~in_water)__constant_head,groundwater__constant_head,,,
model_grid_cell~from-row-below_groundwater__volume_flux,model@context~in_((grid@context~part_cell)@role~sink_(grid@context~in_(ground@context~in_water))@role~main_flowing)__volume_flux,model_grid_cell~from-row-below_groundwater__volume_flux,,,
ground_interbed_water__instantaneous_storage_volume,ground@context~part_(interbed@medium_water)__instantaneous_storage_volume,ground_interbed_water__instantaneous_storage_volume,,,
groundwater__head,ground@context~in_water__head,groundwater__head,,,
groundwater_surface__reduction_of_elevation,ground@context~in_(water_surface)__reduction_of_elevation,groundwater_surface__reduction_of_elevation,,,
ground__subsidence_length,ground@role~main_subsidence__subsidence_length,ground__subsidence_length,,,
model_layer_ground__compaction_length,model@context~in_((grid_layer)@context~in_(ground@role~main_compaction))__compaction_length,model_layer_ground__compaction_length,,,
ground_interbed~no-delay__compaction_length,ground@context~part_(interbed~no-delay@role~main_compaction)__compaction_length,ground_interbed~no-delay__compaction_length,,,
ground_interbed~delay__compaction_length,ground@context~part_(interbed~delay@role~main_compaction)__compaction_length,ground_interbed~delay__compaction_length,,,
model_grid_layer_groundwater__vertical_displacement,model@context~in_((grid_layer)@context~in_((land_surface)@context~below_(ground@context~in_water)))__vertical_displacement,model_grid_layer_groundwater__vertical_displacement,,,
ground_interbed~no-delay_water__critical_head,ground@context~part_(interbed~no-delay@context~in_water)__critical_head,ground_interbed~no-delay_water__critical_head,,,
ground_interbed~delay_water__critical_head,ground@context~part_(interbed~delay@context~in_water)__critical_head,ground_interbed~delay_water__critical_head,,,
crop__seasonal_production_index,crop__seasonal_production_index,,,,
channel~stream_water__flow_duration_index,channel~stream@context~in_(water@role~main_flowing)__flow_duration_index,,,,
watershed_water_flow__geospatial_flood_depth_exceedance_index,watershed@context~in_(water@role~main_flowing)__geospatial_flood_depth_exceedance_index,,,,
