description,associated resource,current label,Current svo uri,current svo iri,provided label,provided svo iri,Unnamed: 4,Unnamed: 5,label change,iri change
Recharge Rate ,PIHM output,groundwater__recharge_volume_flux,%28ground%40medium_water%29%40role%7Emain_water%40role%7Ein_recharge__recharge_volume_flux,(ground@medium_water)@role~main_water@role~in_recharge__recharge_volume_flux,groundwater__recharge_volume_flux,(ground@medium_water)@role~main_water@role~in_recharge__recharge_volume_flux,,,FALSE,FALSE
Overland flow ,PIHM output,land_surface_water__volume_flow_rate,%28land_surface%29%40context%7Eon_water__volume_flow_rate,(land_surface)@context~on_(water@role~main_flowing)__volume_flow_rate,land_surface_water__volume_flow_rate,(land_surface)@context~on_(water@role~main_flowing)__volume_flow_rate,,,FALSE,FALSE
Subsurface flow ,PIHM output,land_subsurface_water__volume_flow_rate,%28land_subsurface%29%40context%7Ein_%28water%40role%7Emain_flowing%29__volume_flow_rate,(land_subsurface)@context~in_(water@role~main_flowing)__volume_flow_rate,land_subsurface_water__volume_flow_rate,(land_subsurface)@context~in_(water@role~main_flowing)__volume_flow_rate,,,FALSE,FALSE
River Stage,PIHM output,channel~river__stage_height,channel%7Eriver%40medium_water__stage_height,channel~river@medium_water__stage_height,channel~river__stage_height,channel~river__stage_height,,,FALSE,TRUE
Flux to upstream ,PIHM output,channel~river_water__upstream_volume_flow_rate,channel%7Eriver%40medium_water__upstream_volume_flow_rate,channel~river@context~in_(water@role~main_flowing)__upstream_volume_flow_rate,channel~river_water__upstream_volume_flow_rate,channel~river@context~in_(water@role~main_flowing)__upstream_volume_flow_rate,,,FALSE,FALSE
Flux to downstream ,PIHM output,channel~river_water__downstream_volume_flow_rate,channel%7Eriver%40medium_water__downstream_volume_flow_rate,channel~river@context~in_(water@role~main_flowing)__downstream_volume_flow_rate,channel~river_water__downstream_volume_flow_rate,channel~river@context~in_(water@role~main_flowing)__downstream_volume_flow_rate,,,FALSE,FALSE
Flux to landsurface ,PIHM output,channel~river_land_surface_water__volume_flow_rate,channel%7Eriver%40role%7Esource_%28land_surface%29%40role%7Esink_water%40role%7Emain_flowing__volume_flow_rate,channel~river@role~source_(land_surface)@role~sink_water@role~main_flowing__volume_flow_rate,channel~river_land_surface_water__volume_flow_rate,channel~river@role~source_(land_surface)@role~sink_water@role~main_flowing__volume_flow_rate,,,FALSE,FALSE
Flux to subsurface ,PIHM output,channel~river_land_subsurface_water__volume_flow_rate,channel%7Eriver%40role%7Esource_%28land_subsurface%29%40role%7Esink_water%40role%7Emain_flowing__volume_flow_rate,channel~river@role~source_(land_subsurface)@role~sink_water@role~main_flowing__volume_flow_rate,channel~river_land_subsurface_water__volume_flow_rate,channel~river@role~source_(land_subsurface)@role~sink_water@role~main_flowing__volume_flow_rate,,,FALSE,FALSE
initial head,MODFLOW input/output,groundwater__initial_head,%28land_surface%29%40context%7Ebelow_%28ground%40context%7Ein_water%29__initial_head,(land_surface)@context~below_(ground@context~in_water)__initial_head,groundwater__initial_head,,,,FALSE,FALSE
recharge flux,MODFLOW input/output,groundwater__recharge_volume_flux,%28ground%40medium_water%29%40role%7Emain_water%40role%7Ein_recharge__recharge_volume_flux,(ground@medium_water)@role~main_water@role~in_recharge__recharge_volume_flux,groundwater__recharge_volume_flux,,,,FALSE,FALSE
number of layers,MODFLOW input/output,model_grid_layer__count,model%40context%7Ein_%28grid_layer%29__count,model@context~in_(grid_layer)__count,model_grid_layer__count,,,,FALSE,FALSE
number of rows,MODFLOW input/output,model_grid_row__count,model%40context%7Ein_%28grid_row%29__count,model@context~in_(grid_row)__count,model_grid_row__count,,,,FALSE,FALSE
number of columns,MODFLOW input/output,model_grid_column__count,model%40context%7Ein_%28grid_column%29__count,model@context~in_(grid_column)__count,model_grid_column__count,,,,FALSE,FALSE
number of stress periods,MODFLOW input/output,model__stress_period_count,model%40context%7Ein_water__stress_period_count,model@context~in_water__stress_period_count,model__stress_period_count,,,,FALSE,FALSE
cell width along rows,MODFLOW input/output,model_grid_cell_edge~along-row__length,model%40context%7Ein_%28grid_cell_edge%7Ealong-row%29__length,model@context~in_(grid@context~part_(cell_edge~along-row))__length,model_grid_cell_edge~along-row__length,,,,FALSE,FALSE
cell width along columns,MODFLOW input/output,model_grid_cell_edge~along-column__length,model%40context%7Ein_%28grid_cell_edge%7Ealong-column%29__length,model@context~in_(grid@context~part_(cell_edge~along-column))__length,model_grid_cell_edge~along-column__length,,,,FALSE,FALSE
top elevation of layer 1,MODFLOW input/output,model_grid_layer~topmost_top__elevation,model%40context%7Ein_%28grid_layer%7Etopmost_top%29__elevation,model@context~in_(grid_layer~topmost_top)__elevation,model_grid_layer~topmost_top__elevation,,,,FALSE,FALSE
bottom elevation of each model layer,MODFLOW input/output,model_grid_layer_bottom__elevation,model%40context%7Ein_%28grid_layer_bottom%29__elevation,model@context~in_(grid_layer_bottom)__elevation,model_grid_layer_bottom__elevation,,,,FALSE,FALSE
length of a stress period,MODFLOW input/output,model__stress_period_duration,model%40context%7Ein_water__stress_period_duration,model@context~in_water__stress_period_duration,model__stress_period_duration,,,,FALSE,FALSE
number of time steps in a stress period,MODFLOW input/output,model__stress_period_time_step_count,model%40context%7Ein_water__stress_period_time_step_count,model@context~in_water__stress_period_time_step_count,model__stress_period_time_step_count,,,,FALSE,FALSE
multiplier for the length of successive time steps,MODFLOW input/output,model__successive_time_step_multiplier,model__successive_time_step_multiplier,model__successive_time_step_multiplier,model__successive_time_step_multiplier,,,,FALSE,FALSE
horizontal anisotropy factor for each layer,MODFLOW input/output,groundwater__horizontal_anisotropy_factor,ground%40medium_water__horizontal_anisotropy_factor,ground@medium_water__horizontal_aniosotropy_factor,groundwater__horizontal_anisotropy_factor,,,,FALSE,FALSE
primary storage coefficient,MODFLOW input/output,groundwater__primary_storage_coefficient,ground%40medium_water__primary_storage_coefficient,ground@medium_water__primary_storage_coefficient,groundwater__primary_storage_coefficient,,,,FALSE,FALSE
transmissivity along rows,MODFLOW input/output,groundwater__horizontal_transmissivity,ground%40medium_water__horizontal_transmissivity,ground@medium_water__horizontal_transmissivity,groundwater__horizontal_transmissivity,,,,FALSE,FALSE
hydraulic conductivity along rows,MODFLOW input/output,groundwater__horizontal_hydraulic_conductivity,ground%40medium_water__horizontal_hydraulic_conductivity,ground@medium_water__horizontal_hydraulic_conductivity,groundwater__horizontal_hydraulic_conductivity,,,,FALSE,FALSE
vertical hydraulic conductivity,MODFLOW input/output,groundwater__vertical_hydraulic_conductivity,ground%40medium_water__vertical_hydraulic_conductivity,ground@medium_water__vertical_hydraulic_conductivity,groundwater__vertical_hydraulic_conductivity,,,,FALSE,FALSE
secondary storage coefficient,MODFLOW input/output,groundwater__secondary_storage_coefficient,ground%40medium_water__secondary_storage_coefficient,ground@medium_water__secondary_storage_coefficient,groundwater__secondary_storage_coefficient,,,,FALSE,FALSE
volumetric recharge rate,MODFLOW input/output,groundwater_well__recharge_volume_flux,ground%40role%7Esource_well%40role%7Esink_water%40role%7Emain_recharge__recharge_volume_flux,ground@role~source_well@role~sink_water@role~main_recharge__recharge_volume_flux,groundwater_well__recharge_volume_flux,,,,FALSE,FALSE
hydraulic conductance of the interface between the aquifer cell and the boundary,MODFLOW input/output,model_grid_cell_boundary_groundwater__interfacial_hydraulic_conductance,model%40context%7Ein_%28%28grid%40context%7Epart_%28cell_boundary%29%29%40context%7Eat_%28ground%40medium_water%29%29__interfacial_hydraulic_conductance,model@context~in_((grid@context~part_(cell_boundary))@context~at_(ground@medium_water))__interfacial_hydraulic_conductance,model_grid_cell_boundary_groundwater__interfacial_hydraulic_conductance,,,,FALSE,FALSE
areal extent of each system of interbeds,MODFLOW input/output,ground_interbed_system__areal_extent,ground%40context%7Epart_%28interbed_system%29__areal_extent,ground@context~part_(interbed_system)__areal_extent,ground_interbed_system__areal_extent,,,,FALSE,FALSE
preconsolidation head or stress,MODFLOW input/output,ground__preconsolidation_head,ground%40role%7Emain_preconsolidation__preconsolidation_head,ground@role~main_preconsolidation__preconsolidation_head,ground__preconsolidation_head,,,,FALSE,FALSE
elastic skeletal storage coefficient for systems of no-delay interbeds,MODFLOW input/output,ground_interbed_system~no-delay__elastic_skeletal_storage_coefficient,ground%40context%7Epart_%28interbed_system%7Eno-delay%29__elastic_skeletal_storage_coefficient,ground@context~part_(interbed_system~no-delay)__elastic_skeletal_storage_coefficient,ground_interbed_system~no-delay__elastic_skeletal_storage_coefficient,,,,FALSE,FALSE
inelastic skeletal storage coefficient for systems of no-delay interbeds,MODFLOW input/output,ground_interbed_system~no-delay__inelastic_skeletal_storage_coefficient,ground%40context%7Epart_%28interbed_system%7Eno-delay%29__inelastic_skeletal_storage_coefficient,ground@context~part_(interbed_system~no-delay)__inelastic_skeletal_storage_coefficient,ground_interbed_system~no-delay__inelastic_skeletal_storage_coefficient,,,,FALSE,FALSE
starting compaction in each system of no-delay interbeds,MODFLOW input/output,ground_interbed_system~no-delay__initial_compaction_volume-per-area_density,ground%40context%7Epart_%28%28interbed_system%7Eno-delay%29%40role%7Emain_compaction%29__initial_compaction_volume-per-area_density,ground@context~part_((interbed_system~no-delay)@role~main_compaction)__initial_compaction_volume-per-area_density,ground_interbed_system~no-delay__initial_compaction_volume-per-area_density,,,,FALSE,FALSE
starting head in interbeds for systems of delay interbeds,MODFLOW input/output,ground_interbed_system~delay_water__initial_head,ground%40context%7Epart_%28%28interbed_system%7Edelay%29%40context%7Ein_water%29__initial_head,ground@context~part_((interbed_system~delay)@medium_water)__initial_head,ground_interbed_system~delay_water__initial_head,,,,FALSE,FALSE
starting preconsolidation head in interbeds for systems of delay interbeds,MODFLOW input/output,ground_interbed_system~delay_water__initial_preconsolidation_head,ground%40context%7Epart_%28%28%28interbed_system%7Edelay%29%40role%7Emain_preconsolidation%29%40context%7Ein_water%29__initial_preconsolidation_head,ground@context~part_(((interbed_system~delay)@role~main_preconsolidation)@medium_water)__initial_preconsolidation_head,ground_interbed_system~delay_water__initial_preconsolidation_head,,,,FALSE,FALSE
starting compaction in each system of delay interbeds,MODFLOW input/output,ground_interbed_system~delay__initial_compaction_volume-per-area_density,ground%40context%7Epart_%28%28interbed_system%7Edelay%29%40role%7Emain_compaction%29__initial_compaction_volume-per-area_density,ground@context~part_((interbed_system~delay)@role~main_compaction)__initial_compaction_volume-per-area_density,ground_interbed_system~delay__initial_compaction_volume-per-area_density,,,,FALSE,FALSE
equivalent thickness for a system of delay interbeds,MODFLOW input/output,ground_interbed_system~delay__equivalent_thickness,ground%40context%7Epart_%28interbed_system%7Edelay%29__equivalent_thickness,ground@context~part_(interbed_system~delay)__equivalent_thickness,ground_interbed_system~delay__equivalent_thickness,,,,FALSE,FALSE
constant head,MODFLOW input/output,groundwater__constant_head,%28land_surface%29%40context%7Ebelow_%28ground%40context%7Ein_water%29__constant_head,(land_surface)@context~below_(ground@context~in_water)__constant_head,groundwater__constant_head,,,,FALSE,FALSE
flow front face,MODFLOW input/output,model_grid_cell~from-row-below_groundwater__volume_flux,model%40context%7Ein_%28%28grid%40context%7Epart_cell%29%40role%7Esink_%28grid%40context%7Ein_%28ground%40context%7Ein_water%29%29%40role%7Emain_flowing%29__volume_flux,model@context~in_((grid@context~part_cell)@role~sink_(grid@context~in_(ground@context~in_water))@role~main_flowing)__volume_flux,model_grid_cell~from-row-below_groundwater__volume_flux,,,,FALSE,FALSE
instantaneous interbed storage,MODFLOW input/output,ground_interbed_water__instantaneous_storage_volume,ground%40context%7Epart_%28interbed%40context%7Ein_water%29__instantaneous_storage_volume,ground@context~part_(interbed@medium_water)__instantaneous_storage_volume,ground_interbed_water__instantaneous_storage_volume,,,,FALSE,FALSE
head,MODFLOW input/output,groundwater__head,%28land_surface%29%40context%7Ebelow_%28ground%40context%7Ein_water%29__head,(land_surface)@context~below_(ground@context~in_water)__head,groundwater__head,,,,FALSE,FALSE
